SIRET DESTINATAIRE;CODE EPCI;SIRET EPCI;ANNEE;CODE DSF;CODE COMMUNE;CODE VOIE;PREFIXE DE SECTION;SECTION CADASTRALE;NUMERO DE PLAN;NUMERO DE BATIMENT;NUMERO D ENTREE/D ESCALIER;ETAGE;NUMERO DE PORTE;NUMERO DE VOIRIE;CODE INDICE DE REPETITION;ADRESSE;CODE POSTAL;LIBELLE COMMUNE;PROPRIETAIRE;INVARIANT DU LOCAL;CODE NATURE DU LOCAL;CODE AFFECTATION DU LOCAL;CATEGORIE REVISEE;VALEUR LOCATIVE REVISEE DU DESCRIPTIF;CODE SIE                                   
21930010000019;863;20005787500011;2021;930;010;7165;;AZ;0231;B;01;00;01001;2;;RUE DE LA PHILOSOPHIE;93140;BONDY;COMMUNE DE BONDY;930100983688;CB;C;MAG1;25500;9300300;                                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;8172;;AT;0210;A;04;00;01001;154;;RUE ROGER SALENGRO;93140;BONDY;COMMUNE DE BONDY;930100990530;CB;C;MAG1;11985;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;8172;;AT;0210;A;03;00;01001;160;;RUE ROGER SALENGRO;93140;BONDY;COMMUNE DE BONDY;930100990534;CB;C;MAG1;34680;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;3115;;AM;0043;B;01;00;01001;129;;RUE EDOUARD VAILLANT;93140;BONDY;COMMUNE DE BONDY;930100997366;CB;C;BUR1;50544;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;0068;;J;0236;A;03;81;01001;1;;PL ARTHUR RIMBAUD;93140;BONDY;COMMUNE DE BONDY;930100998386;CB;C;DEP2;71919;9300300;                                                                                                                                                                                                                                                                                                       
21930010000019;863;20005787500011;2021;930;010;6651;;V;0127;A;01;00;01001;9003;;PL NICOLE NEUBURGER;93140;BONDY;COMMUNE DE BONDY;930101001039;CB;C;DEP4;2440;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;6640;;Q;0005;B;02;00;01001;2;;RUE NEUVE;93140;BONDY;COMMUNE DE BONDY;930101003609;CB;C;MAG1;10710;9300300;                                                                                                                                                                                                                                                                                                               
21930010000019;863;20005787500011;2021;930;010;8880;;A;0220;B;01;00;01001;9001;;AV SUZANNE BUISSON;93140;BONDY;COMMUNE DE BONDY;930101004818;CB;C;MAG7;68670;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;7165;;AZ;0231;C;01;00;01001;4;;RUE DE LA PHILOSOPHIE;93140;BONDY;COMMUNE DE BONDY;930101006045;CB;C;BUR1;12552;9300300;                                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;7130;;N;0034;B;01;00;01001;60;;AV PASTEUR;93140;BONDY;COMMUNE DE BONDY;930101015201;CB;C;BUR1;8368;9300300;                                                                                                                                                                                                                                                                                                              
21930010000019;863;20005787500011;2021;930;010;4743;;B;0132;A;01;00;01001;1;;AV JEAN LEBAS;93140;BONDY;COMMUNE DE BONDY;930101016048;CB;C;SPE7;40228;9300300;                                                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;9645;;AT;0189;D;01;00;01001;21;;RUE DU VIEUX MOULIN;93140;BONDY;COMMUNE DE BONDY;930101019166;CB;C;BUR1;115060;9300300;                                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;4485;;AD;0151;B;01;00;01001;9001;;SQ DU HUIT MAI 1945;93140;BONDY;COMMUNE DE BONDY;930101020618;CB;C;BUR1;11664;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;4485;;AD;0151;B;01;00;02001;9001;;SQ DU HUIT MAI 1945;93140;BONDY;COMMUNE DE BONDY;930101020619;CB;C;BUR1;47822;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;6175;;C;0169;A;01;00;01001;7;;AV MARX DORMOY;93140;BONDY;COMMUNE DE BONDY;930101020636;CB;C;MAG1;13515;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;3110;;L;0045;A;02;01;03001;6;;RUE DES ECOLES;93140;BONDY;COMMUNE DE BONDY;930101022091;CB;C;BUR1;14917;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;4485;;AD;0151;C;01;00;01001;5;;SQ DU HUIT MAI 1945;93140;BONDY;COMMUNE DE BONDY;930101025210;CB;C;BUR1;107892;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;5132;;A;0280;B;01;00;01001;18;;AV LEON BLUM;93140;BONDY;COMMUNE DE BONDY;930101025213;CB;C;BUR1;10460;9300300;                                                                                                                                                                                                                                                                                                           
21930010000019;863;20005787500011;2021;930;010;3580;;AF;0230;B;01;00;01001;11;;RUE FREMIN;93140;BONDY;COMMUNE DE BONDY;930101025222;CB;C;BUR1;9720;9300300;                                                                                                                                                                                                                                                                                                             
