"","NATURE","NOM","NOM_1_G","usage","nom"
"303","R","PEUPLIERS","R DES PEUPLIERS",public,"Rachid"
"304","12","12","ALL LOUISE MICHEL","piéton","Rachid"
"306","ALL","MUGUET","ALL DU MUGUET",public,"Rachid"
"308","R","CHAMPART","R DU CHAMPART",public,"Rachid"
"310","ALL","CORNEILLE","ALL CORNEILLE",public,"Rachid"
"311","8","8","ALL WATTEAU","privé","Rachid"
"313","ALL","VICTOHUGO","ALL VICTOR HUGO","privé","Rachid"
"317","ALL","ORME","ALL DE L'ORME",public,"Rachid"
"322.1","R","CHARLES FERDINAND","R CHARLES FERDINAND",public,"Rachid"
"330","ALL","GABRIEL FAURE","ALL GABRIEL FAURE","privé","Rachid"
"331","ALL","HECTOBERLIOZ","ALL HECTOR BERLIOZ","privé","Rachid"
"337","R","ETIENNE DOLET","R ETIENNE DOLET",public,"Rachid"
"338","R","BONDY","R DE BONDY",public,"Rachid"
"340","R","SAINT-LOUIS PROLONGEE","R SAINT-LOUIS PROLONGEE",public,"Rachid"
"341","CH","CARROUGES","CH DES CARROUGES",public,"Rachid"
"357.1","R","LOUIS AUGUSTE BLANQUI","R LOUIS AUGUSTE BLANQUI",public,"Rachid"
"358","R","LIBERTE","R DE LA LIBERTE",public,"Rachid"
"359","R","SERGENT BOBILLOT","R DU SERGENT BOBILLOT",public,"Rachid"
"360","CH","MARE A LA VEUVE","CH DE LA MARE A LA VEUVE",public,"Rachid"
"364","VOIE","COULEE VERTE","VOIE TRAM TRAIN","piéton","Rachid"
"366","6","6","ALL GOYA","privé","Rachid"
