"","NOM_1_G","case","creche"
"349","R DES 5 ORMES","4C","Crèche Arc en Ciel"
"350","R DES DROITS DE L'HOMME","2C","Crèche Arc en Ciel"
"351","R DES ECOLES","3D","Maison de la petite enfance"
"352","R DES ESCHOLIERS","2F","Maison de la petite enfance"
"353","R DES FLORALIES","2E","Maison de la petite enfance"
"354","R DES FRANCS AUBIERS","2F","Maison de la petite enfance"
"356","R DES FRERES DARTY","2C","Crèche Arc en Ciel"
"359","R DES GAZELLES","3D","Crèche Arc en Ciel"
"361","R DES PEUPLIERS","2B","Cabane des petits"
"362","R DESIRE LEON","4B","Cabane des petits"
"363","R DU 4 SEPTEMBRE","3E","Maison de la petite enfance"
"364","R DU BEL AIR","4B","Cabane des petits"
"365","R DU BON AIR","2F","Maison de la petite enfance"
"366","R DU BREUIL","2C","Crèche Arc en Ciel"
"368","R DU CHALET","4C","Crèche Arc en Ciel"
"369","R DU CHAMPART","2C","Cabane des petits"
"370","R DU CHEMIN DE FER PROLONGEE","3A","Cabane des petits"
"374","R DU CLOS VAILLANT","2B","Cabane des petits"
"375","R DU CYCLE","4D","Crèche Arc en Ciel"
"376","R DU FER A CHEVAL","3F","Maison de la petite enfance"
"377","R DU LEVANT","3B","Cabane des petits"
"379","R DU LION","2B","Cabane des petits"
"380","R DU MIDI","2A","Cabane des petits"
"382","R DU MOLERET","3B","Cabane des petits"
"383","R DU POTAGER","1C","Crèche Arc en Ciel"
"385","R DU PROFESSEUR VAILLANT","3C","Crèche Arc en Ciel"
"387","R DU PROGRES","4B","Cabane des petits"
"388","R DU SERGENT BOBILLOT","1B","Cabane des petits"
"390","R DU VERGER","2F","Maison de la petite enfance"
"391","R DU VIEUX CHATEAU","2B","Cabane des petits"
"392","R DU VIEUX MOULIN","1B","Cabane des petits"
"395","R EDOUARD VAILLANT","2B","Cabane des petits"
"398","R EMILE ZOLA","3E","Maison de la petite enfance"
"399","R EMMANUEL FAIRON","3D","Crèche Arc en Ciel"
"401","R ERIC TABARLY","2E","Maison de la petite enfance"
"403","R ETIENNE DOLET","2A","Cabane des petits"
"405","R EUGENE MASSON","4B","Crèche Arc en Ciel"
"407","R EUGENE VARLIN","2F","Maison de la petite enfance"
"408","R FONTAINE","3D","Maison de la petite enfance"
"410","R FRANCOIS COLLET","3B","Cabane des petits"
"411","R FRANCOIS MARTIN","2D","Maison de la petite enfance"
"412","R FRANCOIS VILLON","3E","Maison de la petite enfance"
"413","R FRANCOISE HERITIER","2D","Maison de la petite enfance"
"414","R FREMIN","1C","Crèche Arc en Ciel"
"417","R GARGANTUA","2F","Maison de la petite enfance"
"418","R GASTON DEFFERRE","3C","Crèche Arc en Ciel"
"419","R GATINE","2D","Crèche Arc en Ciel"
"420","R GEORGES ELIE","3D","Crèche Arc en Ciel"
"422","R GEORGES GRAFF","4B","Cabane des petits"
"423","R GERMAINE TILLION","2E","Maison de la petite enfance"
"424","R GISELE HALIMI","2D","Maison de la petite enfance"
"425","R GUILLAUME APOLLINAIRE","2C","Crèche Arc en Ciel"
"427","R GUY DE MAUPASSANT","4C","Crèche Arc en Ciel"
"428","R HELENE BOUCHER","2D","Crèche Arc en Ciel"
"430","R HENRI ALPY","3C","Crèche Arc en Ciel"
"431","R HENRI DOUILLOT","4C","Crèche Arc en Ciel"
"433","R HENRI DUNANT","3B","Cabane des petits"
"435","R HENRI MOULY","2E","Maison de la petite enfance"
"436","R HENRI ROL TANGUY","2E","Maison de la petite enfance"
"437","R HENRY ESPAULLARD","1C","Cabane des petits"
"438","R JACQUELINE AURIOL","3B","Cabane des petits"
"440","R JEAN JACQUES ROUSSEAU","2E","Maison de la petite enfance"
"441","R JEAN JAURES","2C","Crèche Arc en Ciel"
"443","R JEAN MONNET","3A","Cabane des petits"
"444","R JEAN PIERRE LEVY","2E","Maison de la petite enfance"
"445","R JEAN-MARIE TJIBAOU","3E","Maison de la petite enfance"
"446","R JOE CARMAN","2A","Cabane des petits"
"447","R JULES AUFFRET","3C","Crèche Arc en Ciel"
"449","R JULES GUESDE","2C","Crèche Arc en Ciel"
"454","R JULES LECOMTE","2F","Maison de la petite enfance"
"455","R JULES LELONG","2B","Cabane des petits"
"456","R JULIE VICTOIRE DAUBIE","2D","Crèche Arc en Ciel"
"458","R LAUG","3D","Maison de la petite enfance"
"459","R LOUIS AUGUSTE BLANQUI","4B","Cabane des petits"
"463","R LOUIS AUGUSTE BLANQUI IMPAIR","2C","Crèche Arc en Ciel"
"466","R LOUIS LEON COLLIGNON","3B","Cabane des petits"
"468","R LUCIE AUBRAC","2E","Maison de la petite enfance"
"469","R LUCIEN CHAPELAIN","3E","Maison de la petite enfance"
"470","R MARCEL DASSAULT","2A","Cabane des petits"
"472","R MARCEL PAUL","3A","Cabane des petits"
"473","R MARCELLIN BERTHELOT","4D","Crèche Arc en Ciel"
"474","R MARGUERITE DURAS","3B","Cabane des petits"
"475","R MARTIN LUTHER KING","3B","Cabane des petits"
"477","R MICHELET","1C","Crèche Arc en Ciel"
"479","R NADIA MURAD","2D","Maison de la petite enfance"
"480","R NEUVE","3C","Crèche Arc en Ciel"
"481","R NOEMIE","3C","Crèche Arc en Ciel"
"482","R ODETTE PAIN","2E","Maison de la petite enfance"
"483","R PAUL ELUARD","3C","Cabane des petits"
"484","R PAUL RENAUD","2E","Maison de la petite enfance"
"485","R PAUL VAILLANT COUTURIER","2C","Crèche Arc en Ciel"
"486","R PAULINE ROGER","3A","Cabane des petits"
"489","R PHILEAS COLLARDEAU","1C","Crèche Arc en Ciel"
"491","R PIERRE BROSSOLETTE","3C","Crèche Arc en Ciel"
"492","R PIERRE DE RONSARD","3E","Maison de la petite enfance"
"493","R RABELAIS","3F","Maison de la petite enfance"
"494","R RAOUL","4C","Crèche Arc en Ciel"
"495","R RENE CHAR","3A","Cabane des petits"
"497","R ROBERT BONNET","3D","Crèche Arc en Ciel"
"499","R ROBERT DOUVILLEZ","4D","Crèche Arc en Ciel"
"500","R ROGER PANNEQUIN","2E","Maison de la petite enfance"
"501","R ROGER SALENGRO","2C","Crèche Arc en Ciel"
"502","R ROGER SALENGRO (A PARTIR DE 31 et 68)","2B","Cabane des petits"
"504","R RUDYARD KIPLING","3B","Cabane des petits"
"505","R SAINTE-BARBE","2C","Crèche Arc en Ciel"
"506","R SAINT-LOUIS PROLONGEE","3A","Cabane des petits"
"508","R SIMONE DE BEAUVOIR","3B","Cabane des petits"
"509","R SIMONE VEIL","2D","Maison de la petite enfance"
"510","R SUZANNE BLIN","2E","Maison de la petite enfance"
"511","R TRINQUAMELLE","2F","Maison de la petite enfance"
"512","R YVONNE (37 et 39 uniquement)","2C","Cabane des petits"
"513","R YVONNE (JUSQU'AU 31 / 36)","2C","Crèche Arc en Ciel"
"514","R. ARETHA FRANKLIN","2D","Maison de la petite enfance"
"515","RLE SAINTE-BARBE","2C","Crèche Arc en Ciel"
"516","RPE DU PONT","2B","Cabane des petits"
"517","RPT DU VERGER","2F","Maison de la petite enfance"
"518","RPT JOUHAUX","2F","Maison de la petite enfance"
"519","RTE D'AULNAY","2D","Maison de la petite enfance"
"521","RTE DE STAINS","1D","Maison de la petite enfance"
"522","RTE DE VILLEMOMBLE","3A","Cabane des petits"
"525","SEN BLERIOT","3B","Cabane des petits"
"527","SEN RENE CHAR","3A","Cabane des petits"
"528","SQ DU 8 MAI 1945","2C","Crèche Arc en Ciel"
"529","VLA CARNOT","2C","Cabane des petits"
"530","VLA DES ABEILLES","1B","Cabane des petits"
"531","VLA DES CERISES","4D","Crèche Arc en Ciel"
"532","VLA DES MARRONNIERS","2B","Cabane des petits"
"534","VLA DU BRECHET","2B","Cabane des petits"
"535","VLA DU BREUIL","2C","Crèche Arc en Ciel"
"536","VLA FLEURY","2D","Crèche Arc en Ciel"
"537","VLA GABRIEL SEAILLES","1C","Crèche Arc en Ciel"
"538","VLA LAVIGNE","2C","Cabane des petits"
"539","VLA MADELEINE","2B","Cabane des petits"
"541","VLA PARMENTIER","2C","Cabane des petits"
"542","VLA THOREL","2D","Crèche Arc en Ciel"
