"","cle","appartement","etage","Nom.du.Programme","Année.de.construction"
"1","1-3-5RUEDU BREUIL",48,6,"RES. DU BREUIL","1995"
"2","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","2018"
"3","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","1969"
"4","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","1969"
"5","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","2018"
"6","103 avenue Carnot",3,3,"RESIDENCE CARNOT","2015"
"7","107AVCARNOT",44,4,"RESIDENCE CARNOT","2015"
"8","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 123","1991"
"9","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 122","1991"
"10","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 102","1991"
"11","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 133","1991"
"12","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 143","1991"
"13","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 101","1991"
"14","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 152","1991"
"15","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 114","1991"
"16","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 121","1991"
"17","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 113","1991"
"18","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 132","1991"
"19","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 151","1991"
"20","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 144","1991"
"21","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 141","1991"
"22","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 124","1991"
"23","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 154","1991"
"24","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 134","1991"
"25","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 153","1991"
"26","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 103","1991"
"27","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 142","1991"
"28","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 131","1991"
"29","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 111","1991"
"30","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 112","1991"
"31","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 242","1991"
"32","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 223","1991"
"33","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 211","1991"
"34","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 253","1991"
"35","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 241","1991"
"36","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 251","1991"
"37","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 212","1991"
"38","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 221","1991"
"39","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 201","1991"
"40","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 243","1991"
"41","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 252","1991"
"42","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 231","1991"
"43","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 233","1991"
"44","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 222","1991"
"45","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 202","1991"
"46","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 213","1991"
"47","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 232","1991"
"48","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 203","1991"
"49","10ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"50","10ALLDES ANEMONES",10,4,"CITE DU STADE","1955"
"51","10ALLDES RENONCULES",10,4,"CITE DU STADE","1955"
"52","10ALLEEPAUL LAFARGUE",3,1,"BONDY - TERRAIN RFF","2011"
"53","10AVDE LATTRE DE TASSIGNY",10,4,"DE LATTRE DE TASSIGNY","1957"
"54","10AVENUEMAX DORMOY",22,10,"BONDY LES MERISIER","1962"
"55","10AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"56","10AVJEAN MOULIN",10,4,"","1955"
"57","10AVS. BUISSON",10,5,"QUARTIER NOUE CAILLET","1961"
"58","10PLA. THOMAS",17,5,"RESIDENCE ALBERT THOMAS","1933"
"59","10PLG. LYSSANDRE",11,4,"RES. HENRI BARBUSSE","1954"
"60","10RUEDE LA TERRE SAINT BLAISE",7,3,"BONDY 2rue de Meaux","2018"
"61","10RUEDES FRANCS AUBIERS",12,5,"BONDY 3 NOUE CAILL","1964"
"62","10RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"63","10RUEFRANCOIS VILLON",6,2,"BONDY 14 Juillet ANRU","2012"
"64","10RUEGASTON DEFFERRE",10,4,"BONDY CUB av. Gaston Deferre","1974"
"65","10RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"66","10RUEHENRI ROL-TANGUY",8,4,"","1955"
"67","10RUELUCIE AUBRAC",10,4,"","1955"
"68","10RUEMARTIN LUTHER KING",43,10,"RESIDENCES RUE BLANQUI","1950"
"69","10RUEMAURICE BENHAMOU",23,5,"BONDY","1996"
"70","10RUEPAUL ELUARD",21,10,"RESIDENCES RUE BLANQUI","1950"
"71","10RUESIMONE DE BEAUVOIR",10,4,"RESIDENCES RUE BLANQUI","1950"
"72","10VILLADES CERISES",1,0,"1039","1985"
"73","115RUEROGER SALENGRO - L'EUROPE PAVILLONS",4,0,"NUMERO 303","1991"
"74","115RUEROGER SALENGRO - L'EUROPE PAVILLONS",4,0,"NUMERO 301","1991"
"75","115RUEROGER SALENGRO - L'EUROPE PAVILLONS",4,0,"NUMERO 304","1991"
"76","115RUEROGER SALENGRO - L'EUROPE PAVILLONS",4,0,"NUMERO 302","1991"
"77","11ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"78","11ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"79","11AVCARNOT",7,2,"RESIDENCE CARNOT","2002"
"80","11AVENUELEON JOUHAUX",11,5,"BONDY 3 NOUE CAILL","1964"
"81","11AVJEAN LEBAS",54,12,"QUARTIER NOUE CAILLET","1961"
"82","11AVJEAN MOULIN",17,8,"","1955"
"83","11AVLEON BLUM",56,12,"QUARTIER NOUE CAILLET","1961"
"84","11AVMAURICE BENHAMOU",24,5,"BENHAMOU VARAGNAT","1997"
"85","11AVS. BUISSON",11,5,"QUARTIER NOUE CAILLET","1961"
"86","11PLA. THOMAS",10,5,"RESIDENCE ALBERT THOMAS","1933"
"87","11PLN. NEUBURGER",16,4,"RES. HENRI BARBUSSE","1954"
"88","11RUEDES ESCHOLIERS",12,3,"BONDY Terre St Blaise Lot B","2014"
"89","11RUELUCIE AUBRAC",10,4,"","1955"
"90","121AVENUEHENRI BARBUSSE",34,3,"BONDY AV HENRI BARBUSSE","2010"
"91","125ruelouis auguste blanqui",200,4,"résidence les saules","1954"
"92","125ruelouis auguste blanqui",200,4,"RESIDENCE LES SAULES","1954"
"93","128RUEL.A. BLANQUI",19,4,"RESIDENCES RUE BLANQUI","1950"
"94","12ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"95","12ALLDES ANEMONES",10,4,"CITE DU STADE","1955"
"96","12ALLDES RENONCULES",10,4,"CITE DU STADE","1955"
"97","12ALLEEPAUL LAFARGUE",3,2,"BONDY - TERRAIN RFF","2011"
"98","12AVDE LATTRE DE TASSIGNY",10,4,"DE LATTRE DE TASSIGNY","1957"
"99","12AVENUEMAX DORMOY",22,10,"BONDY LES MERISIER","1962"
"100","12AVHENRI VARAGNAT",22,5,"BENHAMOU VARAGNAT","1997"
"101","12AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"102","12AVJULES FERRY",99,5,"RES. JULES FERRY","2018"
"103","12AVS. BUISSON",10,5,"QUARTIER NOUE CAILLET","1961"
"104","12PLA. THOMAS",16,5,"RESIDENCE ALBERT THOMAS","1933"
"105","12PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"106","12RUEDES FRANCS AUBIERS",6,2,"BONDY 3 NOUE CAILL","1964"
"107","12RUEDU POTAGER",18,9,"RESIDENCE LE POTAGER","1971"
"108","12RUEDU POTAGER      BAT.A",1,0,"RESIDENCE LE POTAGER","1971"
"109","12RUEFRANCOIS VILLON",6,2,"BONDY 14 Juillet ANRU","2012"
"110","12RUEGASTON DEFFERRE",10,4,"BONDY CUB av. Gaston Deferre","1974"
"111","12RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"112","12RUEMAURICE BENHAMOU",24,5,"BONDY","1996"
"113","12RUEPAUL ELUARD",21,10,"RESIDENCES RUE BLANQUI","1950"
"114","12RUEPAUL RENAUD",10,4,"","1955"
"115","12RUESIMONE DE BEAUVOIR",10,4,"RESIDENCES RUE BLANQUI","1950"
"116","12VILLADES CERISES",1,0,"1039","1985"
"117","130RUEL.A. BLANQUI",20,4,"RESIDENCES RUE BLANQUI","1950"
"118","132  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"119","132RUEL.A. BLANQUI",20,4,"RESIDENCES RUE BLANQUI","1950"
"120","134  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"121","136  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"122","138  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"123","13ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"124","13ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"125","13AVENUELEON JOUHAUX",12,5,"BONDY 3 NOUE CAILL","1964"
"126","13AVJEAN MOULIN",17,8,"","1955"
"127","13AVLEON BLUM",56,12,"QUARTIER NOUE CAILLET","1961"
"128","13AVMAURICE BENHAMOU",24,5,"BENHAMOU VARAGNAT","1997"
"129","13AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"130","13PLA. THOMAS",15,5,"RESIDENCE ALBERT THOMAS","1933"
"131","13PLN. NEUBURGER",15,4,"RES. HENRI BARBUSSE","1954"
"132","13RUELUCIE AUBRAC",9,4,"","1955"
"133","140  RTE DE VILLEMOMBLE",10,4,"BONDY","1962"
"134","140RUELOUIS BLANQUI",18,3,"BONDY - RUE BLANQUI","2011"
"135","142  RTE DE VILLEMOMBLE",10,4,"BONDY","1962"
"136","144  RTE DE VILLEMOMBLE",10,4,"BONDY","1962"
"137","144AVENUEGALLIENI",47,7,"BONDY 140 Av Gallieni","2018"
"138","146  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"139","148  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"140","14ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"141","14ALLDES RENONCULES",10,4,"CITE DU STADE","1955"
"142","14ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"143","14AVDE LATTRE DE TASSIGNY",9,4,"DE LATTRE DE TASSIGNY","1957"
"144","14AVENUEMAX DORMOY",22,10,"BONDY LES MERISIER","1962"
"145","14AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"146","14AVS. BUISSON",4,2,"QUARTIER NOUE CAILLET","1961"
"147","14PLA. THOMAS",12,5,"RESIDENCE ALBERT THOMAS","1933"
"148","14PLG. LYSSANDRE",11,4,"RES. HENRI BARBUSSE","1954"
"149","14RUEDES FRANCS AUBIERS",6,2,"BONDY 3 NOUE CAILL","1964"
"150","14RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"151","14RUEGASTON DEFFERRE",10,4,"BONDY CUB av. Gaston Deferre","1974"
"152","14RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"153","14RUELUCIE AUBRAC",9,4,"","1955"
"154","14RUEPAUL ELUARD",21,10,"RESIDENCES RUE BLANQUI","1950"
"155","14RUERUE JEAN JAURES",8,3,"BONDY - JEAN JAURES","1897"
"156","14VILLADES CERISES",1,0,"1039","1985"
"157","150  RTE DE VILLEMOMBLE",20,10,"BONDY","1962"
"158","152  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"159","153RUEEDOUARD VAILLANT",45,4,"BONDY rue Edouard Vaillant","2013"
"160","154  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"161","156  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"162","156RUER. SALENGRO",10,5,"RUE ROGER SALENGRO","1992"
"163","158  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"164","158 Avenue Gallieni",18,6,"RES. HANNAH ARENDT","2018"
"165","158 Avenue Gallieni",18,6,"RES. HANNAH ARENDT","1969"
"166","15ALLDES PRIMEVERES",6,2,"CITE DU STADE","1955"
"167","15ALLÉEDES ARTS",11,3,"BONDY 13","1985"
"168","15ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"169","15AVENUELEON JOUHAUX",12,5,"BONDY 3 NOUE CAILL","1964"
"170","15AVJEAN MOULIN",17,8,"","1955"
"171","15AVLEON BLUM",54,12,"QUARTIER NOUE CAILLET","1961"
"172","15AVMAURICE BENHAMOU",11,5,"BENHAMOU VARAGNAT","1997"
"173","15AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"174","15PLA. THOMAS",12,5,"RESIDENCE ALBERT THOMAS","1933"
"175","15PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"176","15RUEJULES GUESDE",21,10,"RESIDENCE JULES GUESDE","1975"
"177","15VILLADES CERISES",1,0,"1039","1985"
"178","160  RTE DE VILLEMOMBLE",21,10,"BONDY","1962"
"179","162  RTE DE VILLEMOMBLE",20,10,"BONDY","1962"
"180","164  RTE DE VILLEMOMBLE",21,10,"BONDY","1962"
"181","164RUER. SALENGRO",38,5,"RUE ROGER SALENGRO","1992"
"182","166  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"183","166 Rue Edouard Vaillant",18,4,"Rés. GABRIELLE","1995"
"184","168  RTE DE VILLEMOMBLE",22,10,"BONDY","1962"
"185","168 Rue Edouard Vaillant",17,4,"Rés. GABRIELLE","1995"
"186","16ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"187","16ALLDES RENONCULES",6,2,"CITE DU STADE","1955"
"188","16ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"189","16AVDE LATTRE DE TASSIGNY",10,4,"DE LATTRE DE TASSIGNY","1957"
"190","16AVENUEMAX DORMOY",22,10,"BONDY LES MERISIER","1962"
"191","16AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"192","16AVS. BUISSON",4,2,"QUARTIER NOUE CAILLET","1961"
"193","16PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"194","16RUEDES FRANCS AUBIERS",7,2,"BONDY 3 NOUE CAILL","1964"
"195","16RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"196","16RUEDU SGT BOBILLOT",42,10,"RUE DU SERGENT BOBILLOT","1960"
"197","16RUEGASTON DEFFERRE",10,4,"BONDY CUB av. Gaston Deferre","1974"
"198","16RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"199","16RUELUCIE AUBRAC",9,4,"","1955"
"200","16RUEPAUL ELUARD",21,10,"RESIDENCES RUE BLANQUI","1950"
"201","16RUERUE JEAN JAURES",6,2,"BONDY - JEAN JAURES","1897"
"202","170 Rue Edouard Vaillant",14,3,"Rés. GABRIELLE","1995"
"203","173 RUE E.VAILLANT",1,1,"RUE EDOUARD VAILLANT","1974"
"204","175 RUE E.VAILLANT",1,1,"RUE EDOUARD VAILLANT","1974"
"205","177RUEE.VAILLANT",1,1,"RUE EDOUARD VAILLANT","1974"
"206","179RUEE.VAILLANT",1,1,"RUE EDOUARD VAILLANT","1974"
"207","17ALLDES PRIMEVERES",6,2,"CITE DU STADE","1955"
"208","17ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"209","17AVENUELEON JOUHAUX",12,5,"BONDY 3 NOUE CAILL","1964"
"210","17AVLEON BLUM",53,12,"QUARTIER NOUE CAILLET","1961"
"211","17AVMAURICE BENHAMOU",22,5,"BENHAMOU VARAGNAT","1997"
"212","17AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"213","17PLA. THOMAS",12,5,"RESIDENCE ALBERT THOMAS","1933"
"214","17PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"215","17RUEA. POLISSARD",25,5,"RESIDENCE POLLISSARD","1989"
"216","17RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"217","17RUEJULES GUESDE",20,10,"RESIDENCE JULES GUESDE","1975"
"218","17RUELUCIEN CHAPELAIN",100,2,"RES. VARAGNAT","2013"
"219","17VILLADES CERISES",1,0,"1039","1985"
