"","cle","appartement","etage","Nom.du.Programme","Année.de.construction"
"412","32PLG. LYSSANDRE",18,9,"RES. HENRI BARBUSSE","1954"
"413","33ALLDE LA PAIX",9,2,"RESID ALLEE DE LA PAIX","2010"
"414","33AVENUEJEAN MOULIN",6,0,"BONDY - JEAN MOULIN","2020"
"415","33AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"416","33PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"417","33RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"418","33RUEFONTAINE",59,5,"","2018"
"419","33RUEFRANCOIS VILLON",10,4,"BONDY 14 JUILLET 1","1961"
"420","34 AVE DE LATTRE DE TAS.BAT.E3",12,4,"DE LATTRE DE TASSIGNY","1957"
"421","34PLG. LYSSANDRE",18,9,"RES. HENRI BARBUSSE","1954"
"422","34RUEDE VARSOVIE",20,4,"VARSOVIE","2013"
"423","34RUEROGER SALENGRO",20,4,"ROGER SALENGRO","1980"
"424","34RUEROGER SALENGRO",20,4,"ROGER SALENGRO","1958"
"425","34RUEROGER SALENGRO",20,4,"ROGER SALENGRO","2012"
"426","35 COURS DE LA REPUBLIQUE",13,3,"REPUBLIQUE","2012"
"427","35AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"428","35PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"429","35RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"430","35RUEFRANCOIS VILLON",10,4,"BONDY 14 JUILLET 1","1961"
"431","35RUEL.A. BLANQUI",11,4,"RESIDENCES RUE BLANQUI","1950"
"432","36 AVE DE LATTRE DE TAS.BAT.E3",12,4,"DE LATTRE DE TASSIGNY","1957"
"433","36PLG. LYSSANDRE",18,9,"RES. HENRI BARBUSSE","1954"
"434","37 RUE EDOUARD VAILLANT",1,0,"PAVILLON VAILLANT","1928"
"435","37AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"436","37PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"437","37RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"438","37RUEL.A. BLANQUI",11,4,"RESIDENCES RUE BLANQUI","1950"
"439","38AVDE LATTRE DE TASSIGNY",43,10,"DE LATTRE DE TASSIGNY","1957"
"440","38PLG. LYSSANDRE",18,9,"RES. HENRI BARBUSSE","1954"
"441","38RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"442","38RUELUCIEN CHAPELAIN",15,4,"BONDY 14 Juillet ANRU","2012"
"443","39AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"444","39PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"445","39RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"446","39RUEL.A. BLANQUI",12,4,"RESIDENCES RUE BLANQUI","1950"
"447","3ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"448","3ALLDES ORCHIDEES",10,4,"CITE DU STADE","1955"
"449","3ALLDES PAQUERETTES",10,4,"CITE DU STADE","1955"
"450","3ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"451","3AlleeALLEE GOYA",1,0,"BONDY Le Hameau de la Forge","1982"
"452","3AlleeALLEE MANET",1,0,"BONDY Le Hameau de la Forge","1982"
"453","3AlleeALLEE MIGNARD",1,0,"BONDY Le Hameau de la Forge","1982"
"454","3ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"455","3AVENUELEON JOUHAUX",17,5,"BONDY 3 NOUE CAILL","1964"
"456","3AVJEAN LEBAS",54,12,"QUARTIER NOUE CAILLET","1961"
"457","3AVJEAN MOULIN",10,4,"","1955"
"458","3AVLEON BLUM",56,12,"QUARTIER NOUE CAILLET","1961"
"459","3AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"460","3IMPDES VIOLETTES",6,2,"CITE DU STADE","1955"
"461","3PLA. THOMAS",10,5,"RESIDENCE ALBERT THOMAS","1933"
"462","3PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"463","3RUEARTHUR GROUSSIER",10,4,"BONDY LES MERISIER","1962"
"464","3RUEDE LA TERRE ST BLAISE",6,2,"BONDY 3 NOUE CAILL","1964"
"465","3RUEGERMAINE TILLION",20,5,"RUE GERMAINE TILLION","2013"
"466","3RUELUCIE AUBRAC",10,4,"","1955"
"467","3RUERABELAIS",4,2,"BONDY 3 NOUE CAILL","1964"
"468","3RUESIMONE DE BEAUVOIR",12,4,"RESIDENCES RUE BLANQUI","1950"
"469","3VILLADES CERISES",1,0,"1039","1985"
"470","4 RUE DE L'EGALITE.APT.BAT.B",8,2,"RESID RUE DE L' EGALITE","1991"
"471","40 AVE DE LATTRE DE TAS.BAT.D1",1,7,"DE LATTRE DE TASSIGNY","1957"
"472","40ALLCHARLES MAGNE",1,0,"","1994"
"473","40AVDE LATTRE DE TASSIGNY",41,10,"DE LATTRE DE TASSIGNY","1957"
"474","40PLG. LYSSANDRE",20,4,"RES. HENRI BARBUSSE","1954"
"475","40RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"476","40RUELUCIEN CHAPELAIN",19,4,"BONDY 14 Juillet ANRU","2012"
"477","41AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"478","41PLN. NEUBURGER",16,4,"RES. HENRI BARBUSSE","1954"
"479","41RUEL.A. BLANQUI",12,4,"RESIDENCES RUE BLANQUI","1950"
"480","42AVDE LATTRE DE TASSIGNY",42,10,"DE LATTRE DE TASSIGNY","1957"
"481","42AVENUEH. BARBUSSE",20,4,"BONDY H. BARBUSSE","2001"
"482","42PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"483","42RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"484","42RUELUCIEN CHAPELAIN",19,4,"BONDY 14 Juillet ANRU","2012"
"485","43AVENUEHENRI VARAGNAT",25,4,"BONDY 2rue de Meaux","2018"
"486","43AVLEON BLUM",15,5,"QUARTIER NOUE CAILLET","1961"
"487","43PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"488","43RUEL.A. BLANQUI",10,4,"RESIDENCES RUE BLANQUI","1950"
"489","44AVDE LATTRE DE TASSIGNY",43,10,"DE LATTRE DE TASSIGNY","1957"
"490","44AVENUEH. BARBUSSE",20,4,"BONDY H. BARBUSSE","2001"
"491","44PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"492","44RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"493","44RUELUCIEN CHAPELAIN",19,4,"BONDY 14 Juillet ANRU","2012"
"494","45ALLÉEDU RENDEZ-VOUS",15,0,"BONDY CLOS RENDEZ-VOUS","1980"
"495","45AVENUEDES SCIENCES",1,0,"BONDY Avenue des Sciences","1996"
"496","45PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"497","45RUELOUIS AUGUSTE BLANQUI",10,3,"Louis Auguste Blanqui","2012"
"498","46 AVE DE LATTRE DE TAS.BAT.D1",13,10,"DE LATTRE DE TASSIGNY","1957"
"499","46AVDE LATTRE DE TASSIGNY",30,10,"DE LATTRE DE TASSIGNY","1957"
"500","46AVENUEH. BARBUSSE",20,4,"BONDY H. BARBUSSE","2001"
"501","46PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"502","46RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"503","46RUELUCIEN CHAPELAIN",19,4,"BONDY 14 Juillet ANRU","2012"
"504","47PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"505","47RUELOUIS AUGUSTE BLANQUI",18,3,"Louis Auguste Blanqui","2012"
"506","48 AVE DE LATTRE DE TAS.BAT.D1",24,10,"DE LATTRE DE TASSIGNY","1957"
"507","48 rue Jules Guesde",20,5,"JULES GUESDE","1920"
"508","48AVDE LATTRE DE TASSIGNY",9,5,"DE LATTRE DE TASSIGNY","1957"
"509","48AVENUEH. BARBUSSE",10,4,"BONDY H. BARBUSSE","2001"
"510","48PLG. LYSSANDRE",20,4,"RES. HENRI BARBUSSE","1954"
"511","48RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"512","49-53  RUE JULES GUESDE",12,4,"BONDY RUE JULES GUESDE","2011"
"513","49PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"514","49RUELOUIS AUGUSTE BLANQUI",12,3,"Louis Auguste Blanqui","2012"
"515","4ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"516","4ALLDES ANEMONES",11,4,"CITE DU STADE","1955"
"517","4ALLDES IRIS",6,2,"CITE DU STADE","1955"
"518","4ALLDES LILAS",10,4,"CITE DU STADE","1955"
"519","4ALLDES PENSEES",10,4,"CITE DU STADE","1955"
"520","4ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"521","4ALLDES RENONCULES",10,4,"CITE DU STADE","1955"
"522","4AlleeALLEE GOYA",1,0,"BONDY Le Hameau de la Forge","1982"
"523","4AlleeALLEE MIGNARD",1,0,"BONDY Le Hameau de la Forge","1982"
"524","4ALLEEGEORGES SAND",23,4,"FRERE DARTY I - I'","2017"
"525","4ALLEEPAUL LAFARGUE",14,3,"BONDY - TERRAIN RFF","2011"
"526","4AVDE LATTRE DE TASSIGNY",49,4,"DE LATTRE DE TASSIGNY","1957"
"527","4AVDE LATTRE DE TASSIGNY",49,4,"DE LATTRE DE TASSIGNY","2011"
"528","4AvenueAVENUE BARRILLIET",1,0,"BONDY Le Hameau de la Forge","1982"
"529","4AVENUELEON JOUHAUX",11,4,"BONDY Lot A Terre St Blaise","2015"
"530","4AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"531","4AVJEAN MOULIN",10,4,"","1955"
"532","4AVLEON BLUM",21,5,"","2018"
"533","4AVS. BUISSON",10,5,"QUARTIER NOUE CAILLET","1961"
"534","4PLA. THOMAS",10,5,"RESIDENCE ALBERT THOMAS","1933"
"535","4PLACEEUDEMON",12,2,"BONDY - TERRE ST BLAISE","2014"
"536","4PlacePLACE GAUGUIN",1,0,"BONDY Le Hameau de la Forge","1982"
"537","4PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"538","4RUEDE L'EGALITE",4,0,"RESID RUE DE L' EGALITE","1991"
