"","categ","commune","numINSEE","lat","long","nb","an","categ1"
"230","pop2020","POINSON LES FAYL",52394,"47.74794744","5.60335384","0","2020","pop"
"231","pop2020","CUCHERY",51199,"49.12728089","3.827030254","0.02","2020","pop"
"232","pop2020","REUIL",51457,"49.0833","3.8","0.02","2020","pop"
"233","pop2020","ROMIGNY",51466,"49.17324233","3.76861197","0.02","2020","pop"
"234","pop2020","SOUAIN",51553,"49.18710192","4.573799876","0.02","2020","pop"
"235","pop2020","VILLENEUVE SAINT VISTRE",51628,"48.63748539","3.761359944","0.02","2020","pop"
"236","pop2020","SAINT HILAIRE AU TEMPLE",51485,"49.05804038","4.375029464","0.03","2020","pop"
"237","pop2020","DOSCHES",10129,"48.29490333","4.290440475","0.04","2020","pop"
"238","pop2020","JOINVILLE",52250,"48.43312078","5.12769633","0.04","2020","pop"
"239","pop2020","CHAUDEFONTAINE",51139,"49.10044055","4.870609684","0.04","2020","pop"
"240","pop2020","FAUX FRESNAY",51243,"48.65240673","3.949466565","0.04","2020","pop"
"241","pop2020","MORSAINS",51386,"48.80126359","3.548292859","0.04","2020","pop"
"242","pop2020","RETHEL",8362,"49.53173632","4.376618841","0.04","2020","pop"
"243","pop2020","BOUY",51078,"49.08710987","4.363514878","0.06","2020","pop"
"244","pop2020","VIENNE LE CH¬TEAU",51621,"49.19647165","4.925109103","0.06","2020","pop"
"245","pop2020","VILLENEUVE SAINT VISTRE",51628,"48.63748539","3.761359944","0.06","2020","pop"
"246","pop2020","VAL DE VIERES",51218,"48.81956957","4.745493599","0.07","2020","pop"
"247","pop2020","VAL DE MEUSE",52332,"47.95276029","5.579821978","0.08","2020","pop"
"248","pop2020","CHAMPIGNY SUR AUBE",10077,"†48.5572815057603","4.056998917","0.12","2020","pop"
"249","pop2020","CHALINDREY",52093,"47.816532","5.423328","0.12","2020","pop"
"250","pop2020","ANTE",51537,"49.00132103","4.893365205","0.12","2020","pop"
"251","pop2020","VILLERS",51637,"49.1667","4.0167","0.12","2020","pop"
"252","pop2020","BARBY",8048,"49.52406118","4.287855334","0.12","2020","pop"
"253","pop2020","SAINT MARD SUR LE MONT",51500,"48.92335722","4.852336315","0.14","2020","pop"
"254","pop2020","ROMIGNY",51466,"49.17324233","3.76861197","0.18","2020","pop"
"255","pop2020","JONCREUIL",10180,"48.5270754","4.624057261","0.2","2020","pop"
"256","pop2020","THILLOIS",51569,"49.25845789","3.94508474","0.25","2020","pop"
"257","pop2020","MAIZIERES",52302,"48.49240823","5.066450457","0.32","2020","pop"
"258","pop2020","HERMONVILLE",51291,"49.33201092","3.914400565","0.3","2020","pop"
"259","pop2020","VIRGINY",51646,"49.16711652","4.758673279","0.66","2020","pop"
"260","pop2020","CHARLEVILLE",51129,"48.80171848","3.658149968","0.01","2020","pop"
"261","pop2020","COURVILLE",51194,"49.27179557","3.709491832","0","2020","pop"
"262","pop2020","LAGERY",51314,"49.20708829","3.732625139","0","2020","pop"
"263","pop2020","LES ESSARTS LE VICOMTE",51236,"48.66147","3.55622","0.07","2020","pop"
"264","pop2020","ORBAIS L ABBAYE",51416,"48.94346696","3.700243055","0.05","2020","pop"
"265","pop2020","PLIVOT",51434,"49.01081466","4.076534182","0","2020","pop"
"266","pop2020","VAUCHAMPS",51596,"48.88101554","3.625933477","0.06","2020","pop"
"267","pop2020","BOURGUIGNON SOUS COUCY",2107,"49.54293111","3.154495675","0","2020","pop"
"268","pop2020","CHEZY SUR MARNE",2190,"48.98413954","3.382034581","0.09","2020","pop"
"269","pop2020","BELLEAU",2062,"49.1","3.3","0.05","2020","pop"
"270","pop2020","RAILLIMONT",2634,"49.70194405","4.159531126","0.18","2020","pop"
"271","pop2020","SAINT GOBAIN",2680,"49.59534727","3.394202288","0.1","2020","pop"
"272","pop2020","VILLE EN SELVE ",51623,"49.12299988","4.079022523","0.05","2020","pop"
"273","pop2020","LECHEROLLES",77247,"48.7628","3.3474","0.06","2020","pop"
