"eclat","statut","rue","double"
13,"CONFORME","Avenue Versailles ","non"
32,"CONFORME","Rue de Meaux","non"
20,"CONFORME","verdun","non"
18,"CONFORME","verdun","non"
1,"CONFORME","fremin","non"
14,"CONFORME","jean jaurès","non"
25,"CONFORME","alice","non"
2,"CONFORME","emmanuel fairon","non"
42,"CONFORME","georges elie","non"
13,"CONFORME","chalet","non"
27,"CONFORME","chalet","non"
34,"CONFORME","chalet","non"
11,"CONFORME","aviation","non"
22,"CONFORME","aviation","non"
6,"CONFORME","eugene masson","non"
23,"CONFORME","eugene masson","non"
12,"CONFORME","trémeuge","non"
32,"CONFORME","trémeuge","non"
45,"CONFORME","alpy","non"
38,"CONFORME","henri douillot","non"
50,"CONFORME","henri douillot","non"
29,"CONFORME","beranger","non"
4,"CONFORME","rulihère","non"
9,"CONFORME","rulihère","non"
7,"CONFORME","p/collardeau","non"
3,"CONFORME","cesar delaine","non"
10,"CONFORME","cours de la république","non"
146,"COUSSIN.BERLINOIS","carnot","non"
119,"COUSSIN.BERLINOIS","carnot","non"
87,"COUSSIN.BERLINOIS","carnot","non"
78,"COUSSIN.BERLINOIS","salengro","non"
174,"COUSSIN.BERLINOIS","route de villemomble","non"
176,"COUSSIN.BERLINOIS","route de villemomble","non"
244,"COUSSIN.BERLINOIS","blanqui","non"
137,"COUSSIN.BERLINOIS","edouard vaillant","non"
137,"COUSSIN.BERLINOIS","edouard vaillant","non"
133,"COUSSIN.BERLINOIS","edouard vaillant","non"
133,"COUSSIN.BERLINOIS","edouard vaillant","non"
29,"COUSSIN.BERLINOIS","etienne dolet","non"
32,"COUSSIN.BERLINOIS","etienne dolet","non"
39,"COUSSIN.BERLINOIS","etienne dolet","non"
39,"COUSSIN.BERLINOIS","etienne dolet","non"
16,"COUSSIN.BERLINOIS","jaqueline auriol","non"
6,"COUSSIN.BERLINOIS","jaqueline auriol","non"
7,"COUSSIN.BERLINOIS","Avenue Léon Blum","non"
34,"COUSSIN.BERLINOIS","Avenue Jean Moulin","non"
4,"COUSSIN.BERLINOIS","Germain Tillon","non"
2,"COUSSIN.BERLINOIS","Avenue Marx Dormoy","double"
4,"COUSSIN.BERLINOIS","Avenue Marx Dormoy","double"
13,"COUSSIN.BERLINOIS","Rue des Escholiers","double"
4,"COUSSIN.BERLINOIS","Jean Marie Djibaou","double"
2,"COUSSIN.BERLINOIS","Av de la Parisienne","double"
33,"COUSSIN.BERLINOIS","Av de la Parisienne","double"
50,"COUSSIN.BERLINOIS","Rue Fontaine","non"
46,"COUSSIN.BERLINOIS","Rue Fontaine","non"
38,"COUSSIN.BERLINOIS","Lucien Chapelain","double"
15,"COUSSIN.BERLINOIS","Lucien Chapelain","double"
26,"COUSSIN.BERLINOIS","Lucien Chapelain","double"
13,"COUSSIN.BERLINOIS","verdun","non"
4,"COUSSIN.BERLINOIS","verdun","non"
11,"COUSSIN.BERLINOIS","verdun","non"
9,"COUSSIN.BERLINOIS","verdun","non"
33,"COUSSIN.BERLINOIS","pasteur","non"
32,"COUSSIN.BERLINOIS","pasteur","non"
3,"COUSSIN.BERLINOIS","pasteur","non"
2,"COUSSIN.BERLINOIS","pasteur","non"
4,"COUSSIN.BERLINOIS","fremin","non"
32,"COUSSIN.BERLINOIS","georges elie","non"
4,"COUSSIN.BERLINOIS","mal delattre de tassigny","non"
2,"PLATEAU.SURELEVE","carnot","non"
18,"PLATEAU.SURELEVE","route de villemomble","non"
22,"PLATEAU.SURELEVE","route de villemomble","non"
82,"PLATEAU.SURELEVE","route de villemomble","non"
106,"PLATEAU.SURELEVE","route de villemomble","non"
114,"PLATEAU.SURELEVE","route de villemomble","non"
128,"PLATEAU.SURELEVE","route de villemomble","non"
125,"PLATEAU.SURELEVE","blanqui","non"
114,"PLATEAU.SURELEVE","baudin","non"
34,"PLATEAU.SURELEVE","Avenue Jean Moulin","non"
6,"PLATEAU.SURELEVE","Av Léon Jouhaux","non"
18,"PLATEAU.SURELEVE","Av Léon Jouhaux","non"
23,"PLATEAU.SURELEVE","Av Léon Jouhaux","non"
40,"PLATEAU.SURELEVE","Lucien Chapelain","non"
95,"PLATEAU.SURELEVE","jules guesde","non"
93,"PLATEAU.SURELEVE","jules guesde","non"
1,"PLATEAU.SURELEVE","pierre brossolette","non"
53,"PLATEAU.SURELEVE","alice","non"
8,"PLATEAU.SURELEVE","eugene masson","non"
34,"PLATEAU.SURELEVE","eugene masson","non"
7,"PLATEAU.SURELEVE","frère darty","non"
41,"PLATEAU.SURELEVE","pollissard","non"
4,"PLATEAU.SURELEVE","georges sand","non"
6,"PLATEAU.SURELEVE","georges sand","non"
8,"PLATEAU.SURELEVE","georges sand","non"
12,"PLATEAU.SURELEVE","georges sand","non"
10,"PLATEAU.SURELEVE","georges sand","non"
75,"PASSAGE.PIETON.SURELEVE","liberté","non"
77,"PASSAGE.PIETON.SURELEVE","liberté","non"
67,"PASSAGE.PIETON.SURELEVE","liberté","non"
43,"PASSAGE.PIETON.SURELEVE","liberté","non"
35,"PASSAGE.PIETON.SURELEVE","liberté","non"
12,"PASSAGE.PIETON.SURELEVE","liberté","non"
6,"PASSAGE.PIETON.SURELEVE","liberté","non"
4,"PASSAGE.PIETON.SURELEVE","route de villemomble","non"
26,"PASSAGE.PIETON.SURELEVE","route de villemomble","non"
106,"PASSAGE.PIETON.SURELEVE","blanqui","non"
212,"PASSAGE.PIETON.SURELEVE","blanqui","non"
36,"PASSAGE.PIETON.SURELEVE","edouard vaillant","non"
24,"PASSAGE.PIETON.SURELEVE","metz","non"
5,"PASSAGE.PIETON.SURELEVE","varsovie","non"
10,"PASSAGE.PIETON.SURELEVE","m luther king","non"
27,"PASSAGE.PIETON.SURELEVE","solidarité","non"
1,"PASSAGE.PIETON.SURELEVE","allée du vieux moulin","non"
1,"PASSAGE.PIETON.SURELEVE","bobillot","non"
2,"PASSAGE.PIETON.SURELEVE","Avenue Suzanne Buisson","non"
14,"PASSAGE.PIETON.SURELEVE","Avenue Suzanne Buisson","non"
1,"PASSAGE.PIETON.SURELEVE","Rue Suzanne Blin","non"
3,"PASSAGE.PIETON.SURELEVE","Rue Suzanne Blin","non"
41,"PASSAGE.PIETON.SURELEVE","Avenue Marx Dormoy","non"
14,"PASSAGE.PIETON.SURELEVE","Avenue Marx Dormoy","non"
23,"PASSAGE.PIETON.SURELEVE","Avenue Marx Dormoy","non"
19,"PASSAGE.PIETON.SURELEVE","Avenue Marx Dormoy","non"
4,"PASSAGE.PIETON.SURELEVE","Avenue Marx Dormoy","non"
1,"PASSAGE.PIETON.SURELEVE","Rue des Escholiers","non"
15,"PASSAGE.PIETON.SURELEVE","Rue des Escholiers","non"
1,"PASSAGE.PIETON.SURELEVE","Av Léon Jouhaux","non"
9,"PASSAGE.PIETON.SURELEVE","Av Léon Jouhaux","non"
21,"PASSAGE.PIETON.SURELEVE","Av Léon Jouhaux","non"
13,"PASSAGE.PIETON.SURELEVE","Rue Francois Villon","non"
35,"PASSAGE.PIETON.SURELEVE","Rue Francois Villon","non"
2,"PASSAGE.PIETON.SURELEVE","Maurice Benhamou","non"
2,"PASSAGE.PIETON.SURELEVE","Jean Marie Djibaou","non"
2,"PASSAGE.PIETON.SURELEVE","Panurge","non"
