"","NATURE","NOM","NOM_1_G","usage","nom"
"55","R","GEORGES ELIE","R GEORGES ELIE",NA,"Habib"
"61","RLE","SAINTE-BARBE","RLE SAINTE-BARBE","piéton","Habib"
"62","R","BAUDIN","R BAUDIN",NA,"Habib"
"66","R","PROFESSEUR VAILLANT","R DU PROFESSEUR VAILLANT",NA,"Habib"
"70.1","AV","GALLIENI","AV GALLIENI",NA,"Habib"
"76.1","R","ECOLES","R DES ECOLES",NA,"Habib"
"77.1","AV","MARGUERITE","AV MARGUERITE",NA,"Habib"
"78","R","AVIATION","R DE L'AVIATION",NA,"Habib"
"82","ALL","BOILEAU","ALL BOILEAU",NA,"Habib"
"85","ALL","CHENES","ALL DES CHENES",NA,"Habib"
"87","R","TREMEUGE","R DE TREMEUGE",NA,"Habib"
"88","PL","NICOLE NEUBURGER","PL NICOLE NEUBURGER",NA,"Habib"
"90","R","PARIS","R DE PARIS",NA,"Habib"
"91","R","BERANGER","R BERANGER",NA,"Habib"
"94","PL","FLEURS","PL DES FLEURS",NA,"Habib"
"96","CRS","REPUBLIQUE","CRS DE LA REPUBLIQUE",NA,"Habib"
"97","ALL","THERESE","ALL THERESE",NA,"Habib"
"98","ALL","LEON","ALL LEON",NA,"Habib"
"103.1","RTE","STAINS","RTE DE STAINS",NA,"Habib"
"104","R","PAUL VAILLANT COUTURIER","R PAUL VAILLANT COUTURIER",NA,"Habib"
"105","VLA","FLEURY","VLA FLEURY",NA,"Habib"
"106","R","MICHELET","R MICHELET",NA,"Habib"
"107","AV","CARNOT","AV CARNOT",NA,"Habib"
"111","R","FREMIN","R FREMIN",NA,"Habib"
"114","ALL","MOLIERE","ALL MOLIERE",NA,"Habib"
"115","R","BERNARD DE JUSSIEU","R BERNARD DE JUSSIEU",NA,"Habib"
"116","ALL","MARCEL SEMBAT","ALL MARCEL SEMBAT",NA,"Habib"
"118","PAS","MICHELET","PAS MICHELET","privé","Habib"
"126","AV","ROSNY","AV DE ROSNY",NA,"Habib"
"132","R","PHILEAS COLLARDEAU","R PHILEAS COLLARDEAU",NA,"Habib"
"133","PL","DIVISION LECLERC","PL DE LA DIVISION LECLERC",NA,"Habib"
"134","ALL","GEORGES SAND","ALL GEORGES SAND",NA,"Habib"
"137","R","CRONSTADT","R DE CRONSTADT",NA,"Habib"
"138","R","GATINE","R GATINE",NA,"Habib"
"139","R","GAZELLES","R DES GAZELLES",NA,"Habib"
"143","R","BEAUREGARD","R BEAUREGARD",NA,"Habib"
"145","ALL","RENDEZ VOUS","ALL DU RENDEZ VOUS",NA,"Habib"
"148","ALL","PENSEES","ALL DES PENSEES","privé","Habib"
"156","IMP","VIOLETTES","IMP DES VIOLETTES","privé","Habib"
"163","ALL","ANEMONES","ALL DES ANEMONES","privé","Habib"
"165","R","ARTHUR RIMBAUD","R ARTHUR RIMBAUD",NA,"Habib"
"171","AV","VERDUN","AV DE VERDUN",NA,"Habib"
"173","ALL","LILAS","ALL DES LILAS","privé","Habib"
"175","ALL","CONCORDE","ALL DE LA CONCORDE",NA,"Habib"
"177","R","BREUIL","R DU BREUIL",NA,"Habib"
"184","R","PIERRE BROSSOLETTE","R PIERRE BROSSOLETTE",NA,"Habib"
"188","R","EGALITE","R DE L'EGALITE",NA,"Habib"
"189","R","COMPAGNON","R COMPAGNON",NA,"Habib"
"191","ALL","ALICE","ALL ALICE",NA,"Habib"
"192","R","POTAGER","R DU POTAGER","privé","Habib"
"194","R","CYCLE","R DU CYCLE",NA,"Habib"
"195","R","YVONNE","R YVONNE",NA,"Habib"
"206","ALL","PAIX","ALL DE LA PAIX",NA,"Habib"
"212","IMP","FERNAND POTTIER","IMP FERNAND POTTIER",NA,"Habib"
"213","R","ROBERT DOUVILLEZ","R ROBERT DOUVILLEZ",NA,"Habib"
"222","ALL","ANDREA","ALL ANDREA",NA,"Habib"
"223","R","DROITS DE L'HOMME","R DES DROITS DE L'HOMME",NA,"Habib"
"227","AV","ALBERT THOMAS","AV ALBERT THOMAS",NA,"Habib"
"232.1","R","BOREL","R BOREL",NA,"Habib"
"233","R","EUGENE MASSON","R EUGENE MASSON",NA,"Habib"
"235","ALL","VOLTAIRE","ALL VOLTAIRE",NA,"Habib"
"239","R","FRATERNITE","R DE LA FRATERNITE",NA,"Habib"
"240","R","HELENE BOUCHER","R HELENE BOUCHER","privé","Habib"
