"","NATURE","NOM_1_G","NOM2"
"116","VLA","VLA DES ABEILLES","ABEILLES"
"117","ALL","ALL MOLIERE","MOLIERE"
"118","R","R BERNARD DE JUSSIEU","BERNARD DE JUSSIEU"
"119","ALL","ALL MARCEL SEMBAT","MARCEL SEMBAT"
"120","R","R DE LA PHILOSOPHIE","PHILOSOPHIE"
"121","PAS","PAS MICHELET","MICHELET"
"122","3","3","3"
"123","ALL","ALL DES GLAIEULS","GLAIEULS"
"124","IMP","IMP DE LA PARISIENNE","PARISIENNE"
"125","R","R DU CLOS VAILLANT","CLOS VAILLANT"
"126","AV","AV MARIE CURIE","MARIE CURIE"
"127","R","R DU BEL AIR","BEL AIR"
"128","R","R DES FLORALIES","FLORALIES"
"129","AV","AV DE ROSNY","ROSNY"
"130","R","R JEAN-MARIE TJIBAOU","JEAN-MARIE TJIBAOU"
"131","IMP","IMP GEORGES BRASSENS","GEORGES BRASSENS"
"132","ALL","ALL DES HORTENSIAS","HORTENSIAS"
"133","VLA","VLA LAVIGNE","LAVIGNE"
"134","AV","AV DE L'EST","EST"
"135","R","R PHILEAS COLLARDEAU","PHILEAS COLLARDEAU"
"136","PL","PL DE LA DIVISION LECLERC","DIVISION LECLERC"
"137","ALL","ALL GEORGES SAND","GEORGES SAND"
"138","ALL","ALL CLAUDE DEBUSSY","CLAUDE DEBUSSY"
"139","ALL","ALL PABLO NERUDA","PABLO NERUDA"
"140","R","R DE CRONSTADT","CRONSTADT"
"141","R","R GATINE","GATINE"
"142","R","R DES GAZELLES","GAZELLES"
"143","SEN","SEN BLERIOT","BLERIOT"
"144","ALL","ALL DES AZALEES","AZALEES"
"145","PL","PL DE LA REPUBLIQUE","REPUBLIQUE"
"146","R","R BEAUREGARD","BEAUREGARD"
"147","R","R DU LEVANT","LEVANT"
"148","ALL","ALL DU RENDEZ VOUS","RENDEZ VOUS"
"149","AV","AV DE METZ","METZ"
"150","ALL","ALL LOUISE","LOUISE"
"151","16","16","16"
"152","PAS","PAS DES DEUX VILLES","DEUX VILLES"
"153","R","R JACQUELINE AURIOL","JACQUELINE AURIOL"
"154","R","R FRANCOIS COLLET","FRANCOIS COLLET"
