"Nom court","NATURE","case"
"RENONCULES","ALL","3C 3D"
"REPUBLIQUE","PL","2B 2C"
"REPUBLIQUE","AV","2B 2C"
"REPUBLIQUE","CRS","2B 2C"
"ROBERT BONNET","R","3D 4D"
"ROBERT DOUVILLEZ","R","4D"
"ROGEPANNEQUIN","R","2E"
"ROGER SALENGRO","R","2B 2C"
"ROMAIN ROLLAND","R","4F"
"ROSES","ALL","2D"
"ROSNY","AV","1C 1D"
"ROUGET DE LISLE","AV","3B"
"RUDYARD KIPLING","R","3B"
"RULHIERE","ALL","1C 2C"
"SAINT-LOUIS","R","4A"
"SAINT-LOUIS PROLONGEE","R","3A 4A"
"SAINTE-BARBE","R","2C"
"SAINTE-BARBE","RLE","2C"
"SAN MARTIN","ALL","3F"
"SAULES","CITE","3C"
"SCHOELCHER","PL","3F"
"SCIENCES","AV","4B"
"SERGENT BOBILLOT","R","1B 2B"
"SIMON BOLIVAR","ALL","3F"
"SIMONE DE BEAUVOIR","R","3B"
"SIMONE VEIL","R","2D"
"SIRE LEON","R","4B"
"SOLIDARITE","R","3B 3C"
"SOLIDARITE","IMP","3B 3C"
"SORBIERS","ALL","2F"
"STAINS","RTE","1D"
"SURCOUF","ALL","2B"
"SUZANNE BLIN","R","2E"
"SUZANNE BUISSON","AV","2E 3E"
"SYCOMORES","ALL","2F"
"SYLPHES","ALL","3B"
"TERRE SAINT-BLAISE","R","2F 3F"
"THEODORE MONOD","R","3B"
"THERESE","ALL","4C 4D"
"THOREL","VLA","2D"
"TILLEULS","ALL","3B"
"TREMEUGE","R","4C"
"TRINQUAMELLE","R","2F"
"TULIPES","ALL","2D 2E"
"UNION","R","3B"
"VARSOVIE","R","2B"
"VERCORS","PAS","2E"
"VERDUN","AV","4C 3D 4D"
"VERGER","R","2F"
"VERGER","RPT","2F"
"VERSAILLES","R","2E 3E"
"VICTOR HUGO","ALL","3B"
"VIEUX CHATEAU","R","2B"
"VIEUX MOULIN","R","1B 2B 2C"
"VIGNES","ALL","2F"
"VILLA JEANNETTE","ALL","3B 3C"
"VILLAGEOISE","AV","3E"
"VILLEGIATURE","AV","3E"
"VILLEMOMBLE","RTE","2B 3B 3A 4A"
"VIOLETTES","IMP","3D"
"VOLTAIRE","ALL","3C"
"WATTEAU","ALL","3B"
"YVONNE","R","2C"
