"","X","Rue","Peri","rueCourte","rue"
"1",2,"AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair v","AULNAY","ROUTE D'AULNAY "
"2",3,"AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cdté impair","AULNAY","ROUTE D'AULNAY "
"3",5,"AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le coté impair \/","AURIOL","RUE JACQUELINE AURIOL"
"4",6,"AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cdté impair","AURIOL","RUE JACQUELINE AURIOL"
"5",8,"AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cote impair","AVIATION","RUE DE L'AVIATION"
"6",9,"AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le coté impair","AVIATION","RUE DE L'AVIATION"
"7",13,"AZALEES ALLEE DES AZALEES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","AZALEES","ALLEE DES AZALEES"
"8",16,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmétre Elémentaire Guillaume Apollinaire leone pair allant des n° 2 a 38 et cété impair allant des n° 1 a 28 |","BARBUSSE","AVENUE HENRI BARBUSSE"
"9",17,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Guillaume Apollinaire Cété pair allant des n° 2 a 38 et cété impair allant des n° 1 a 29","BARBUSSE","AVENUE HENRI BARBUSSE"
"10",18,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n?42 4 998 et cété impair allant des n° 79 a 999","BARBUSSE","AVENUE HENRI BARBUSSE"
"11",19,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Coté pair allant des n°(42 a 998 et coté impair sans les n°","BARBUSSE","AVENUE HENRI BARBUSSE"
"12",20,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Camille Claudel Cété pair sans les n° et coté impair allant des n° 31 a3 Vv","BARBUSSE","AVENUE HENRI BARBUSSE"
"13",21,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair sans les n° et coté impair allant des n° 37 a 999 a FO 4","BARBUSSE","AVENUE HENRI BARBUSSE"
"14",22,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair sans les n° et cété impair allant des n° 37 a 772","BARBUSSE","AVENUE HENRI BARBUSSE"
"15",23,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Camille Claudel Cété pair sans les n° et cdté impair allant des n 31a 35 > r/","BARBUSSE","AVENUE HENRI BARBUSSE"
"16",25,"BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","BASTIE","ALLEE MARYSE BASTIE"
"17",26,"BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","BASTIE","ALLEE MARYSE BASTIE"
"18",29,"BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Maternelle Olympe de Gouges Tout le cété pair et tout le cote impair","BAUDELAIRE","RUE BAUDELAIRE"
"19",30,"BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le cété pair et tout le cété impair","BAUDELAIRE","RUE BAUDELAIRE"
"20",32,"BAUDIN RUE BAUDIN","Périmétre : Périmetre Eleémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair","BAUDIN","RUE BAUDIN"
"21",33,"BAUDIN RUE BAUDIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","BAUDIN","RUE BAUDIN"
"22",35,"BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair /","BEAUREGARD","RUE BEAUREGARD . "
"23",36,"BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdtée impair","BEAUREGARD","RUE BEAUREGARD . "
"24",38,"BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair V","BEAUVOIR","RUE SIMONE DE BEAUVOIR"
"25",39,"BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","BEAUVOIR","RUE SIMONE DE BEAUVOIR"
"26",41,"BECQUEREL ALLEE BECQUEREL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","BECQUEREL","ALLEE BECQUEREL"
"27",42,"BECQUEREL ALLEE BECQUEREL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","BECQUEREL","ALLEE BECQUEREL"
"30",48,"BELFORT AVENUE DE BELFORT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","BELFORT","AVENUE DE BELFORT"
"31",49,"BELFORT AVENUE DE BELFORT","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","BELFORT","AVENUE DE BELFORT"
"32",56,"FREMIN RUE FREMIN","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","FREMIN","RUE FREMIN"
"33",57,"FREMIN RUE FREMIN","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cdté impair","FREMIN","RUE FREMIN"
"34",59,"FRENES ALLEE DES FRENES","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","FRENES","ALLEE DES FRENES"
"35",60,"FRENES ALLEE DES FRENES","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","FRENES","ALLEE DES FRENES"
"36",62,"FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair \ |","FURCI","ALLEE DE FURCI ‘"
"37",63,"FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair )","FURCI","ALLEE DE FURCI ‘"
"38",65,"GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","GABRIELLE","ALLEE GABRIELLE"
"39",66,"GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","GABRIELLE","ALLEE GABRIELLE"
"40",70,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmétre Elémentaire Mainguy/Guehenno y, Cété pair allant des n° 2 4 102 et cdté impair sans les n° |","GALLIENI","AVENUE GALLIENI ;"
"41",71,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmetre Elémentaire Léo Lagrange ‘, Cété pair allant des n° 104 a 998 et cété impair sans lesn®* ~>","GALLIENI","AVENUE GALLIENI ;"
"42",72,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmetre Maternelle Léo Lagrange } Cété pair allant des n° 104 a 998 et coté impair sans les n° |","GALLIENI","AVENUE GALLIENI ;"
"43",73,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmétre Elémentaire Louis Pasteur “ Cété pair sans les n° et cdté impair allant des n° 107 4211 »","GALLIENI","AVENUE GALLIENI ;"
"44",74,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmetre Maternelle Pasteur , Cété pair sans les n° et coté impair allant des n° 107 a 211 E","GALLIENI","AVENUE GALLIENI ;"
"45",76,"GARGANTUA RUE GARGANTUA","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","GARGANTUA","RUE GARGANTUA"
"46",77,"GARGANTUA RUE GARGANTUA","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","GARGANTUA","RUE GARGANTUA"
"47",83,"GAUGUIN PLACE PAUL GAUGUIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","GAUGUIN","PLACE PAUL GAUGUIN"
"48",84,"GAUGUIN PLACE PAUL GAUGUIN","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","GAUGUIN","PLACE PAUL GAUGUIN"
"49",87,"GAZELLES RUE DES GAZELLES","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","GAZELLES","RUE DES GAZELLES"
"50",89,"GLAIEULS ALLEE DES GLAIEULS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cdté impair","GLAIEULS","ALLEE DES GLAIEULS"
"51",90,"GLAIEULS ALLEE DES GLAIEULS","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","GLAIEULS","ALLEE DES GLAIEULS"
"52",92,"GLYCINES ALLEE DES GLYCINES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","GLYCINES","ALLEE DES GLYCINES"
"53",93,"GLYCINES ALLEE DES GLYCINES","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","GLYCINES","ALLEE DES GLYCINES"
"54",95,"GOUNOD ALLEE CHARLES GOUNOD","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","GOUNOD","ALLEE CHARLES GOUNOD"
"55",96,"GOUNOD ALLEE CHARLES GOUNOD","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le coté impair","GOUNOD","ALLEE CHARLES GOUNOD"
"56",98,"GOYA _ ALLEE FRANCISCO GOYA","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cote impair","GOYA","_ ALLEE FRANCISCO GOYA"
"57",101,"GRAFF RUE GEORGES GRAFF","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","GRAFF","RUE GEORGES GRAFF"
"58",102,"GRAFF RUE GEORGES GRAFF","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","GRAFF","RUE GEORGES GRAFF"
"59",108,"GRANDET AVENUE CLARA GRANDET » 7","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair \","GRANDET","AVENUE CLARA GRANDET » 7"
"60",111,"GRANDGOUSIER RUE GRANDGOUSIER","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","GRANDGOUSIER","RUE GRANDGOUSIER"
"61",112,"GRANDGOUSIER RUE GRANDGOUSIER","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cdté impair","GRANDGOUSIER","RUE GRANDGOUSIER"
"62",114,"GROS BUISSSON ALLEE DU GROS BUISSSON","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cdté pair et tout le cété impair","GROS","BUISSSON ALLEE DU GROS BUISSSON"
"63",117,"GROSLAY CHEMIN DE GROSLAY YL ,","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et cété impair sans les n° V/","GROSLAY","CHEMIN DE GROSLAY YL ,"
"64",118,"GROSLAY CHEMIN DE GROSLAY YL ,","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et cdté impair sans les n° .","GROSLAY","CHEMIN DE GROSLAY YL ,"
"65",121,"GROUSSIER RUE ARTHUR GROUSSIER _","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et cdté impair allant des nS a 999 ,","GROUSSIER","RUE ARTHUR GROUSSIER _"
"66",122,"GROUSSIER RUE ARTHUR GROUSSIER _","Périmétre : Périmetre Maternelle Jean Zay Cété pair sans les n° et cdté impair allant des n° 1a3 f","GROUSSIER","RUE ARTHUR GROUSSIER _"
"67",123,"GROUSSIER RUE ARTHUR GROUSSIER _","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cété pair sans les n° et coté impair allant des n° 1a 3 #,","GROUSSIER","RUE ARTHUR GROUSSIER _"
"68",128,"GUESDE RUE JULES GUESDE /","Périmétre : Périmeétre Elementaire Mainguy/Guehenno | Tout le cété pair et tout le cété impair ;","GUESDE","RUE JULES GUESDE "
"69",130,"GUEUGNON AVENUE GUEUGNON F","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cote impair wy","GUEUGNON","AVENUE GUEUGNON F"
"70",131,"GUEUGNON AVENUE GUEUGNON F","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair .","GUEUGNON","AVENUE GUEUGNON F"
"71",134,"GUYARD RUE AMEDEE GUYARD","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","GUYARD","RUE AMEDEE GUYARD"
"72",136,"HARENDT ALLEE HANNAH HARENDT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","HARENDT","ALLEE HANNAH HARENDT"
"73",139,"HAYDN IMPASSE HAYDN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","HAYDN","IMPASSE HAYDN"
"74",142,"HETRES ALLEE DES HETRES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","HETRES","ALLEE DES HETRES"
"75",144,"HORTENSIAS ALLEE DES HORTENSIAS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","HORTENSIAS","ALLEE DES HORTENSIAS"
"76",145,"HORTENSIAS ALLEE DES HORTENSIAS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","HORTENSIAS","ALLEE DES HORTENSIAS"
"77",147,"HUGO ALLEE VICTOR HUGO","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le c6té impair","HUGO","ALLEE VICTOR HUGO"
"80",151,"HUIT MAI 1945 SQUARE DU HUIT MAI 1945","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cdté impair","HUIT","MAI 1945 SQUARE DU HUIT MAI 1945"
"81",152,"HUIT MAI 1945 SQUARE DU HUIT MAI 1945","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","HUIT","MAI 1945 SQUARE DU HUIT MAI 1945"
"82",154,"IDEAL AVENUE DE L'IDEAL","Périmétre : Périmetre Maternelle Henri Sellier Tout le cdté pair et tout le cété impair","IDEAL","AVENUE DE L'IDEAL"
"83",162,"IDEAL AVENUE DE L'IDEAL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","IDEAL","AVENUE DE L'IDEAL"
"84",167,"INGRES ALLEE INGRES","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cdté impair","INGRES","ALLEE INGRES"
"85",170,"IRIS ALLEE DES IRIS","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","IRIS","ALLEE DES IRIS"
"86",175,"JARDINIERE IMPASSE DE LA JARDINIERE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cdté impair","JARDINIERE","IMPASSE DE LA JARDINIERE"
"87",177,"JARDINIERE IMPASSE DE LA JARDINIERE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cdté pair et tout le cété impair","JARDINIERE","IMPASSE DE LA JARDINIERE"
"88",180,"JARDINIERE ALLEE DE LA JARDINIERE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le coté impair , /","JARDINIERE","ALLEE DE LA JARDINIERE"
"89",182,"JARDINIERE ALLEE DE LA JARDINIERE","Périmétre : Périmetre Maternelle Pasteur Tout le cdté pair et tout le c6té impair V","JARDINIERE","ALLEE DE LA JARDINIERE"
"90",185,"JAURES RUE JEAN JAURES","Périmétre : Périmétre Elementaire Mainguy/Guehenno Tout le cété pair et tout le coté impair","JAURES","RUE JEAN JAURES"
"91",187,"JAURES RUE JEAN JAURES","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","JAURES","RUE JEAN JAURES"
"92",190,"JEANNETTE ALLEE DE LAVILLA JEANNETTE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","JEANNETTE","ALLEE DE LAVILLA JEANNETTE"
"93",192,"JEANNETTE ALLEE DE LAVILLA JEANNETTE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","JEANNETTE","ALLEE DE LAVILLA JEANNETTE"
"94",199,"JOUHAUX AVENUE LEON JOUHAUX *","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","JOUHAUX","AVENUE LEON JOUHAUX *"
"95",202,"JUSSIEU RUE BERNARD DE JUSSIEU","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","JUSSIEU","RUE BERNARD DE JUSSIEU"
"96",207,"KIPLING RUE RUDYARD KIPLING","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","KIPLING","RUE RUDYARD KIPLING"
"97",209,"KIPLING RUE RUDYARD KIPLING","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","KIPLING","RUE RUDYARD KIPLING"
"98",214,"LAFARGUE ALLEE PAUL LAFARGUE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","LAFARGUE","ALLEE PAUL LAFARGUE"
"99",217,"LATERAL CHEMIN LATERAL","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair 4 j","LATERAL","CHEMIN LATERAL"
"100",224,"LAUG RUE LAUG","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair","LAUG","RUE LAUG"
"101",229,"LAURENCIN SQUARE MARIE LAURENCIN","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","LAURENCIN","SQUARE MARIE LAURENCIN"
"102",234,"LAURIERS ALLEE DES LAURIERS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","LAURIERS","ALLEE DES LAURIERS"
"103",237,"LAVIGNE VILLA LAVIGNE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair","LAVIGNE","VILLA LAVIGNE"
"104",248,"LEBAS AVENUE JEAN LEBAS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","LEBAS","AVENUE JEAN LEBAS"
"105",250,"LEBAS AVENUE JEAN LEBAS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le caté pair et tout le cdté impair","LEBAS","AVENUE JEAN LEBAS"
"106",257,"LECOMTE RUE JULES LECOMTE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le c6té impair","LECOMTE","RUE JULES LECOMTE"
"107",261,"LEDER RUE DAVID LEDER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","LEDER","RUE DAVID LEDER"
"108",263,"LEDER RUE DAVID LEDER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","LEDER","RUE DAVID LEDER"
"109",268,"LELONG RUE JULES LELONG","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cdté impair","LELONG","RUE JULES LELONG"
"110",270,"LELONG RUE JULES LELONG","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair","LELONG","RUE JULES LELONG"
"113",283,"LEON ALLEE LEON","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","LEON","ALLEE LEON"
"114",285,"LEON ALLEE LEON","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cété impair","LEON","ALLEE LEON"
"115",289,"LETTRES ALLEE DES LETTRES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","LETTRES","ALLEE DES LETTRES"
"116",291,"LETTRES ALLEE DES LETTRES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","LETTRES","ALLEE DES LETTRES"
"117",307,"LIBERTE RUE DE LALIBERTE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","LIBERTE","RUE DE LALIBERTE"
"118",309,"LIBERTE RUE DE LALIBERTE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair","LIBERTE","RUE DE LALIBERTE"
"119",313,"LILAS ALLEE DES LILAS","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair","LILAS","ALLEE DES LILAS"
"120",318,"LILAS ALLEE DES LILAS","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","LILAS","ALLEE DES LILAS"
"121",323,"LIMITES RUE DES LIMITES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","LIMITES","RUE DES LIMITES"
"122",325,"LIMITES RUE DES LIMITES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","LIMITES","RUE DES LIMITES"
"123",329,"LION RUE DU LION |","Périmétre : Périmetre Eleémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair |","LION","RUE DU LION "
"124",335,"LOUISE ALLEE LOUISE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","LOUISE","ALLEE LOUISE"
"125",341,"LOUISE MICHEL ALLEE LOUISE MICHEL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","LOUISE","MICHEL ALLEE LOUISE MICHEL"
"126",343,"LOUISE MICHEL ALLEE LOUISE MICHEL","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","LOUISE","MICHEL ALLEE LOUISE MICHEL"
"127",352,"LUTHER KING RUE MARTIN LUTHER KING J","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","LUTHER","KING RUE MARTIN LUTHER KING J"
"128",353,"LUTHER KING RUE MARTIN LUTHER KING J","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdté impair","LUTHER","KING RUE MARTIN LUTHER KING J"
"129",355,"LYSSANDRE PLACE GEORGES LYSSANDRE","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n° 12 a 38 et cdté impair sans les n° \/","LYSSANDRE","PLACE GEORGES LYSSANDRE"
"130",359,"LYSSANDRE PLACE GEORGES LYSSANDRE","Périmétre : Périmetre Maternelle Camille Claudel 6té pair allant des n° 4 a 10 et cdté impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE"
"131",361,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Maternelle Camille Claudel été pair allant des n° 40 a 56 et cété impair sans les n° /","LYSSANDRE","PLACE GEORGES LYSSANDRE "
"132",362,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Elémentaire Camille Claudel 6té pair allant des n° 40 2 56 et cété impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE "
"133",363,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand, Cété pair allant des n° 58 a 998 et cété impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE "
"134",364,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n° 58 a 998 et cdté impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE "
"135",366,"MADELEINE VILLA MADELEINE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","MADELEINE","VILLA MADELEINE"
"136",367,"MADELEINE VILLA MADELEINE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","MADELEINE","VILLA MADELEINE"
"137",369,"MANET ALLEE EDOUARD MANET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","MANET","ALLEE EDOUARD MANET"
"138",370,"MANET ALLEE EDOUARD MANET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","MANET","ALLEE EDOUARD MANET"
"139",372,"MARAICHERS RUE DES MARAICHERS","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","MARAICHERS","RUE DES MARAICHERS"
"140",373,"MARAICHERS RUE DES MARAICHERS","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cote impair","MARAICHERS","RUE DES MARAICHERS"
"141",376,"MARE ALA VEUVE CHEMIN DE LAMARE ALA VEUVE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","MARE","ALA VEUVE CHEMIN DE LAMARE ALA VEUVE"
"142",378,"MARE ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON .","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","MARE","ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON ."
"143",379,"MARE ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON .","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","MARE","ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON ."
"144",381,"MARGUERITE AVENUE MARGUERITE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair","MARGUERITE","AVENUE MARGUERITE"
"145",382,"MARGUERITE AVENUE MARGUERITE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair","MARGUERITE","AVENUE MARGUERITE"
"146",384,"MARIE ALLEE MARIE LAURENCIN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","MARIE","ALLEE MARIE LAURENCIN"
"147",387,"MARRONNIERS VILLA MARRONNIERS","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair","MARRONNIERS","VILLA MARRONNIERS"
"148",388,"MARRONNIERS VILLA MARRONNIERS","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair","MARRONNIERS","VILLA MARRONNIERS"
"149",390,"MARTHE ALLEE ALEXANDRE MARTHE","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair","MARTHE","ALLEE ALEXANDRE MARTHE"
"150",391,"MARTHE ALLEE ALEXANDRE MARTHE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","MARTHE","ALLEE ALEXANDRE MARTHE"
"151",397,"MARTIN RUE FRANCOIS MARTIN","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","MARTIN","RUE FRANCOIS MARTIN"
"152",404,"MASSON RUE EUGENE MASSON","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair","MASSON","RUE EUGENE MASSON"
