"","X","Rue","Peri","rueCourte","rue"
"439",1088,"COURTADE ALLEE JEAN COURTADE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","COURTADE","ALLEE JEAN COURTADE"
"440",1089,"COURTADE ALLEE JEAN COURTADE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le caté impair","COURTADE","ALLEE JEAN COURTADE"
"441",1092,"COURTS SILLONS ALLEE DES COURTS SILLONS","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le caté impair","COURTS","SILLONS ALLEE DES COURTS SILLONS"
"442",1096,"CRONSTADT RUE DE CRONSTADT","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair","CRONSTADT","RUE DE CRONSTADT"
"443",1097,"CRONSTADT RUE DE CRONSTADT","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cdté impair","CRONSTADT","RUE DE CRONSTADT"
"444",1100,"CURIE AVENUE MARIE CURIE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","CURIE","AVENUE MARIE CURIE"
"445",1101,"CURIE AVENUE MARIE CURIE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","CURIE","AVENUE MARIE CURIE"
"447",1105,"CYCLE RUE DU CYCLE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","CYCLE","RUE DU CYCLE"
"448",1109,"DAHLIAS ALLEE DES DAHLIAS .","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair V","DAHLIAS","ALLEE DES DAHLIAS ."
"449",1110,"DAHLIAS ALLEE DES DAHLIAS .","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","DAHLIAS","ALLEE DES DAHLIAS ."
"450",1117,"DARTY RUE DES FRERES DARTY","Périmétre : Périmetre Guillaume Apollinaire Tout le c6té pair et tout le cété impair","DARTY","RUE DES FRERES DARTY"
"451",1118,"DARTY RUE DES FRERES DARTY","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair","DARTY","RUE DES FRERES DARTY"
"452",1120,"DASSAULT RUE MARCEL DASSAULT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","DASSAULT","RUE MARCEL DASSAULT"
"453",1124,"DAUBIE RUE JULIE-VICTOIRE DAUBIE","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cété impair","DAUBIE","RUE JULIE-VICTOIRE DAUBIE"
"457",1130,"DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair allant des n° 2 48 et coté impair allantdesn°1a1 | i","DE","LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY"
"458",1131,"DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair allant des n° 2 a 8 et cdté impair allant des n° 1 a 1 |","DE","LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY"
"459",1132,"DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 10 a 68 et cdté impair allant des n° 9 a 51","DE","LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY"
"460",1135,"DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Guillaume Apollinaire _ ___Cété pair allant des n° 70 a 72 et cdté impair sans les n° rd,","DE","LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY"
"461",1138,"DEBUSSY ALL (7,","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","DEBUSSY","ALL 7,"
"462",1139,"DEBUSSY ALL (7,","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","DEBUSSY","ALL 7,"
"463",1142,"DEFFERRE RUE GASTON DEFFERRE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","DEFFERRE","RUE GASTON DEFFERRE"
"464",1144,"DELACROIX ALLEE EUGENE DELACROIX","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","DELACROIX","ALLEE EUGENE DELACROIX"
"465",1145,"DELACROIX ALLEE EUGENE DELACROIX","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","DELACROIX","ALLEE EUGENE DELACROIX"
"466",1147,"DELAINE RUE CESAR DELAINE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","DELAINE","RUE CESAR DELAINE"
"467",1148,"DELAINE RUE CESAR DELAINE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","DELAINE","RUE CESAR DELAINE"
"468",1150,"DENISE AVENUE DENISE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","DENISE","AVENUE DENISE"
"469",1151,"DENISE AVENUE DENISE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","DENISE","AVENUE DENISE"
"470",1153,"DENYS-COCHIN RUE DENYS-COCHIN","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","DENYS-COCHIN","RUE DENYS-COCHIN"
"471",1154,"DENYS-COCHIN RUE DENYS-COCHIN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","DENYS-COCHIN","RUE DENYS-COCHIN"
"472",1156,"DERAIMES ALLEE MARIA DERAIMES","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","DERAIMES","ALLEE MARIA DERAIMES"
"473",1159,"DEVINIERE ALLEE DE LA DEVINIERE ,","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair ‘ /","DEVINIERE","ALLEE DE LA DEVINIERE ,"
"474",1162,"DJIBAOU AVENUE JEAN MARIE DJIBAOU )","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le c6té pair et tout le cété impair","DJIBAOU","AVENUE JEAN MARIE DJIBAOU "
"475",1169,"DJIBAOU AVENUE JEAN MARIE DJIBAOU v?)","Périmétre : Périmetre Maternelle Olympe de Gouges Tout le cété pair et tout le cote impair ,","DJIBAOU","AVENUE JEAN MARIE DJIBAOU ?"
"476",1172,"DOLET RUE ETIENNE DOLET","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","DOLET","RUE ETIENNE DOLET"
"477",1173,"DOLET RUE ETIENNE DOLET","Périmétre : Périmétre Elamentaire Pierre Curie Tout le cété pair et tout le cété impair","DOLET","RUE ETIENNE DOLET"
"478",1175,"DORMOY AVENUE MARX DORMOY -","Périmétre : Périmétre Elementaire Louis Pasteur Tout le cété pair et cdté impair sans les n° : |","DORMOY","AVENUE MARX DORMOY -"
"479",1178,"DORMOY AVENUE MARX DORMOY -","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et cdté impair sans les n°","DORMOY","AVENUE MARX DORMOY -"
"480",1180,"DOUILLOT RUE HENRI DOUILLOT","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","DOUILLOT","RUE HENRI DOUILLOT"
