"","NOM_1_G","NOM","NATURE","usage","longueur","aire"
"297","R JEAN JAURES","JEAN JAURES","R","public",481,NA
"298","R JEAN MONNET","JEAN MONNET","R","public",384,NA
"299","R JEAN PIERRE LEVY","JEAN PIERRE LEVY","R","public",140,NA
"300","R JOE CARMAN","JOE CARMAN","R","public",204,NA
"301","R JULES AUFFRET","JULES AUFFRET","R","public",355,NA
"302","R JULES GUESDE","JULES GUESDE","R","public",769,NA
"303","R JULES LECOMTE","JULES LECOMTE","R","public",191,NA
"304","R JULES LELONG","JULES LELONG","R","public",114,NA
"305","R JULIE VICTOIRE DAUBIE","JULIE VICTOIRE DAUBIE","R","public",70,NA
"306","R LAUG","LAUG","R","public",116,NA
"307","R LOUIS AUGUSTE BLANQUI","LOUIS AUGUSTE BLANQUI","R","public",1673,NA
"308","R LOUIS LEON COLLIGNON","LOUIS LEON COLLIGNON","R","public",200,NA
"309","R LUCIE AUBRAC","LUCIE AUBRAC","R","public",168,NA
"310","R LUCIEN CHAPELAIN","LUCIEN CHAPELAIN","R","public",642,NA
"311","R MARCEL DASSAULT","MARCEL DASSAULT","R","public",648,NA
"312","R MARCEL PAUL","MARCEL PAUL","R","public",339,NA
"313","R MARCELLIN BERTHELOT","MARCELLIN BERTHELOT","R","public",110,NA
"314","R MARGUERITE DURAS","MARGUERITE DURAS","R","public",166,NA
"315","R MARTIN LUTHER KING","MARTIN LUTHER KING","R","privé",266,NA
"316","R MICHELET","MICHELET","R","public",394,NA
"317","R NADIA MURAD","NADIA MURAD","R","public",282,NA
"318","R NEUVE","NEUVE","R","privé",98,NA
"319","R NOEMIE","NOEMIE","R","public",161,NA
"320","R ODETTE PAIN","ODETTE PAIN","R","public",215,NA
"321","R PAUL ELUARD","PAUL ELUARD","R","privé",178,NA
"322","R PAUL RENAUD","PAUL RENAUD","R","public",301,NA
"323","R PAUL VAILLANT COUTURIER","PAUL VAILLANT COUTURIER","R","public",411,NA
"324","R PAULINE ROGER","PAULINE ROGER","R","public",217,NA
"325","R PHILEAS COLLARDEAU","PHILEAS COLLARDEAU","R","public",213,NA
"326","R PIERRE BROSSOLETTE","PIERRE BROSSOLETTE","R","public",112,NA
"327","R PIERRE DE RONSARD","PIERRE DE RONSARD","R","public",58,NA
"328","R RABELAIS","RABELAIS","R","privé",179,NA
"329","R RAOUL","RAOUL","R","public",241,NA
"330","R RENE CHAR","RENE CHAR","R","public",523,NA
"331","R RENE DUMONT","RENE DUMONT","R","public",114,NA
"332","R ROBERT BONNET","ROBERT BONNET","R","public",203,NA
"333","R ROBERT DOUVILLEZ","ROBERT DOUVILLEZ","R","public",350,NA
"334","R ROGER PANNEQUIN","ROGER PANNEQUIN","R","public",50,NA
"335","R ROGER SALENGRO","ROGER SALENGRO","R","public",1131,NA
"336","R ROMAIN ROLLAND","ROMAIN ROLLAND","R","public",58,NA
"337","R RUDYARD KIPLING","RUDYARD KIPLING","R","public",56,NA
"338","R SAINT-LOUIS","SAINT-LOUIS","R","public",96,NA
"339","R SAINT-LOUIS PROLONGEE","SAINT-LOUIS PROLONGEE","R","public",422,NA
"340","R SAINTE-BARBE","SAINTE-BARBE","R","public",121,NA
"341","R SERGE RAVANEL","SERGE RAVANEL","R","public",157,NA
"342","R SIMONE DE BEAUVOIR","SIMONE DE BEAUVOIR","R","privé",328,NA
"343","R SIMONE VEIL","SIMONE VEIL","R","public",160,NA
"344","R SUZANNE BLIN","SUZANNE BLIN","R","public",74,NA
"345","R THEODORE MONOD","THEODORE MONOD","R","public",128,NA
"346","R TRINQUAMELLE","TRINQUAMELLE","R","privé",192,NA
"347","R YVONNE","YVONNE","R","public",258,NA
"348","RLE SAINTE-BARBE","SAINTE-BARBE","RLE","public",66,NA
"349","RPT BUISSON","BUISSON","RPT","public",80,NA
"350","RPT DU VERGER","VERGER","RPT","public",129,NA
"351","RPT JOUHAUX","JOUHAUX","RPT","public",129,NA
"352","RTE D'AULNAY","AULNAY","RTE","public",731,NA
