"","cle","depcom","id_ea","principal","numero","repetition","complement","type_voie","libelle","rivoli","categorie","type","nombre_logements","actualité","numero_permis","commentaire"
"21","28",93010,930100001079925,"O",20,NA,NA,"R","BOREL",750,"HABIT",23,85,2,"PC9301022B0016","MAIRIE 31/10/2023: travaux non commencés"
"22","29",93010,930100001079916,"O",1,NA,NA,"ALL","DES HETRES",4450,"HABIT",23,15,3,"PC9301021B0078","MAIRIE 31/10/2023: aucun travaux¶MAIRIE 04/04/2023: travaux non commencés¶INSEE 09/12/2022: Une EA existe déjà à cette adresse. Le PC indique 'construction nouvelle : construction d'un immeuble de 15 logements sur 5 étages'. Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires."
"23","3",93010,930100000003900,"O",19,NA,NA,"R","BORDIER",740,"HABIT",22,2,3,NA,"MAIRIE 24/10/2023: travaux : surélévation étage. 6 mois.¶MAIRIE 03/03/2023: travaux mais habitation¶INSEE 13/02/2023: Suite fiche navette RP 2023"
"24","30",93010,930100001079828,"O",19,NA,"PC9301021B0034","CHE","DE LA MARE A LA VEUVE",6150,"HABIT",21,1,3,"PC9301021B0034","MAIRIE 31/10/2023: vu le propriétaire. le pc porte une maison mais il en a construit 3. pb finalisation chantier car viabilisation coûteuse. Les adresses sont bien 19 - 21 - 23.¶MAIRIE 04/04/2023: travaux en cours d'achèvement (6 mois)¶INSEE 08/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée."
"25","31",93010,930100001016978,"O",2,NA,NA,"AV","DE LA VILLAGEOISE",9650,"HABIT",21,1,3,"PC9301020B0041","MAIRIE 31/10/2023: travaux commencés¶MAIRIE 11/04/2023: idem¶MAIRIE 15/11/2022: idem¶MAIRIE 30/03/2022: rien (pelouse)¶INSEE 11/02/2022: Suite PC 3ème flux 21-22 création de l'EA sur existant.¶D'après descriptif : Construction d'une maison individuelle de 190 m² habitables sur trois niveaux (R+2) - Que devient l'ancien bâti au 2 avenue de la Villageoise ? détruite ? rénovation ? si pas habitable il faudra la périmer et garder l'EA avec le PC|"
"26","32",93010,930100000907995,"O",6,NA,NA,"R","DU QUATRE SEPTEMBRE",7950,"HABIT",21,1,3,"PC9301019B0056","MAIRIE 31/10/2023: 2 étages dressés (immobilière 3 F)¶MAIRIE 11/04/2023: idem¶MAIRIE 19/05/2022: idem¶MAIRIE 03/03/2021:  PC 9301019B0035 travaux pas commencés¶INSEE 05/11/2020: Suite PC 2E FLUX 20-21 création EA sur existant  - d'après descriptif des travaux : DEMOLITION DE 2 BATIMENTS EXISTANTS - CONSTRUCTION D'UNE MAISON SUR 4 NIVEAUX - A Vérifier - ATTENTION EA échantillonnée -"
"27","33",93010,930100000997693,"O",25,NA,NA,"R","FONTAINE",3550,"HABIT",23,9,2,"PC9301020B0048","MAIRIE 12/04/2023: idem¶MAIRIE 15/11/2022: immeubles muré squatté¶MAIRIE 30/03/2022: idem"
"28","34",93010,930100001085138,"O",42,NA,NA,"R","ETIENNE DOLET",3160,"HABIT",22,2,3,"PC9301022B0037","MAIRIE 31/10/2023: monceaux de gravats¶MAIRIE 04/04/2023: travaux¶INSEE 10/02/2023: Une EA existe déjà à cette adresse. Le permis indique 'nombre de logements démolis=1' et la 'construction de deux maisons individuelles'. Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires."
"29","35",93010,930100001079920,"O",36,NA,NA,"R","FONTAINE",3550,"HABIT",23,15,3,"PC9301021B0055","MAIRIE 31/10/2023: immobilière 3F travaux en cours¶MAIRIE 12/04/2023: travaux en cours. la maison a été détruite.¶INSEE 09/12/2022: Une EA existe déjà à cette adresse. Le PC indique qu''une opération de démolition d'une maison individuelle est prévue pour permettre l'opération d'habitations collectives de 15 logements'. ¶Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires."
"30","36",93010,930100001122504,"O",14,NA,NA,"R","LUCIEN CHAPELAIN",5600,"HABIT",23,2,2,"PC9301022B0072","MAIRIE 31/10/2023: permis affichés"
"31","37",93010,930100000892555,"O",7,NA,NA,"R","JOE CARMAN",4760,"HABIT",21,1,2,"PC9301019B0063","MAIRIE 02/12/2022: Travaux abandonnés¶MAIRIE 10/03/2021:  PC affiché¶MAIRIE 22/10/2020:  pc AFFICHE PAS DE TRAVAUX VISIBLE TERRAIN ABANDONNE¶INSEE 24/08/2020: Suite PC 1ER FLUX 20-21 EA créée remplace EA existante? que devient l'ancien bâti ?¶si destruction"
"32","38",93010,930100001085152,"O",15,NA,"15-21","AV","JULES FERRY",4770,"HABIT",23,136,3,"PC9301021B0102","MAIRIE 04/04/2023: démolition effectuée¶INSEE 10/02/2023: Plusieurs EA existent aux adresses du PC"
"33","39",93010,930100000997705,"O",49,NA,NA,"R","DU QUATRE SEPTEMBRE",7950,"HABIT",21,1,2,"PC9301019B0066","MAIRIE 11/04/2023: idem¶MAIRIE 09/12/2022: Une seule bal¶INSEE 23/09/2021: Suite PC 1ER FLUX 21-22 EA créée remplace EA existante ? D'après descriptif des travaux : rajout d'un appartement à la construction existante - donc peut-être 2 logts 1 fois les travaux terminés. A vérifier à la fin des travaux."
"34","4",93010,930100001063715,"O",103,NA,"103 - 113","R","EDOUARD VAILLANT",3115,"HABIT",23,56,3,"PC9301021B0060","MAIRIE 24/10/2023: travaux reste 1 an¶MAIRIE 03/03/2023: EA périmées 103 107 109 111 ¶MAIRIE 10/11/2022: en construction¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour la construction de 56 logts et la destruction de 6 logts"
"35","40",93010,930100001079782,"O",25,NA,NA,"R","DU CYCLE",1590,"HABIT",21,1,4,"PC9301022B0001","INSEE 03/08/2023: Cette EA correspond à la nouvelle construction. Si elle est habitable"
"36","41",93010,930100001137274,"O",5,NA,"HALL LIBERTE","ALL","GEORGES SAND",4152,"HABIT",23,187,3,"PC9301019B0065","INSEE 02/11/2023: Merci de nous indiquer la répartition des 187 logements quand elle sera connue. Par défaut"
"37","42",93010,930100001137275,"O",2,NA,"HALL AFFLUENCE","R","JULIE-VICTOIRE DAUBIE",NA,"HABIT",23,0,3,"PC9301019B0065","INSEE 02/11/2023: Merci de nous indiquer la répartition des 187 logements quand elle sera connue. Par défaut"
"38","43",93010,930100001137276,"O",4,NA,"HALL CONFIANCE","R","JULIE-VICTOIRE DAUBIE",NA,"HABIT",23,0,3,"PC9301019B0065","INSEE 02/11/2023: Merci de nous indiquer la répartition des 187 logements quand elle sera connue. Par défaut"
"39","44",93010,930100001137277,"O",42,NA,"HALL EQUILIBRE","AV","DU MAL DE LATTRE DE TASSIGNY",6155,"HABIT",23,0,3,"PC9301019B0065","INSEE 02/11/2023: Merci de nous indiquer la répartition des 187 logements quand elle sera connue. Par défaut"
"40","45",93010,930100001137278,"O",38,NA,"38-40 -HALLS FRATERNITE HARMONIE","AV","DU MAL DE LATTRE DE TASSIGNY",6155,"HABIT",23,0,3,"PC9301019B0065","INSEE 02/11/2023: Merci de nous indiquer la répartition des 187 logements quand elle sera connue. Par défaut"
"41","46",93010,930100001137279,"O",34,NA,"34-36  HALLS PARTAGE & SYMPHONIE","AV","DU MAL DE LATTRE DE TASSIGNY",6155,"HABIT",23,0,3,"PC9301019B0065","INSEE 02/11/2023: Merci de nous indiquer la répartition des 187 logements quand elle sera connue. Par défaut"
"42","47",93010,930100000273006,"O",20,NA,NA,"R","NOEMIE",6660,"HABIT",23,4,0,"PC9301014B0057","INSEE 02/11/2023: Vous indiquez 1 BAL en commentaire"
"43","48",93010,930100000000938,"O",25,NA,NA,"R","FONTAINE",3550,"HABIT",23,13,0,NA,NA
"44","49",93010,930100000000939,"O",25,"BIS",NA,"R","FONTAINE",3550,"HABIT",21,1,1,NA,"INSEE 02/11/2023: Les travaux concernent normalement l'immeuble du 25 rue Fontaine. Vous avez périmé le 25bis (maison d'1 logement). Confirmez-vous cette péremption ?¶¶MAIRIE 31/10/2023: travaux commencés"
"45","5",93010,930100001016986,"O",55,NA,"55-57","AV","CARNOT",1430,"HABIT",23,49,3,"PC9301020B0036","MAIRIE 24/10/2023: 6 mois de travaux encore. 1 seule entrée. 2 halls. pas d'accès actuellement.¶INSEE 15/05/2023: Merci de nous indiquer la répartition des 49 logements par hall d'entrée.¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_051 du 27 février 2023"
"46","50",93010,930100001073574,"O",11,NA,NA,"ALL","DE LA REGALE",8140,"HABIT",21,1,4,"PC9301021B0051","MAIRIE 25/10/2023: travaux terminés. le mur est commun au 11 et 13. mais 2 EA séparés (neuve et vieille)¶MAIRIE 12/04/2023: travaux non commencés¶INSEE 09/11/2022: PC 2ème vague : il s'agirait de la construction d'un pavillon sur vide technique type R+1+Combles amenages.  Il existe déjà 1 EA à cette adresse (au 11-13 allée Régale).  Merci de vérifier l'adressage"
"47","51",93010,930100001079833,"O",7,NA,"PC9301021B0097","ALL","DE LA JARDINIERE",4710,"HABIT",23,2,4,"PC9301021B0097","MAIRIE 31/10/2023: travaux non commencés donc pas d'EA à périmer.¶MAIRIE 12/04/2023: travaux non commencés¶INSEE 08/12/2022: Il existe déjà une EA à cette adresse. Le PC (sur construction existante) indique 'création de 2 logements supplémentaires dans un pavillon...'.¶Faut-il modifier le nombre de logement de l'EA existante"
"48","52",93010,930100001079961,"O",113,NA,NA,"AV","HENRI BARBUSSE",4436,"HABIT",22,3,3,"PC9301021B0106","MAIRIE 25/10/2023: doublement de la surface. mais une seule EA.¶MAIRIE 11/04/2023: pas de travaux¶INSEE 09/12/2022: Une EA existe déjà à cette adresse. Le PC indique 'extension et surélévation d'une construction d'habitation pour créer 2 logements supplémentaires'.¶Faut-il périmer l'ancienne EA et conserver la nouvelle ? Faut-il modifier le nombre de logements de l'EA existante"
"49","53",93010,930100001079846,"O",15,NA,"PC930102200041","AV","DES PLATANES",7190,"HABIT",23,3,3,"PC930102200041","MAIRIE 04/04/2023: permis affiché mais pas de travaux¶INSEE 08/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée."
