"","Rue","Peri"
"1032","CHEMIN DE FER RUE DU CHEMIN DE FER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"1034","CHEMIN DE FER PROL' RUE DU CHEMIN DE FER PROLONGEE","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"1035","CHEMIN DE FER PROL' RUE DU CHEMIN DE FER PROLONGEE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"1037","CHENES ALLEE DES CHENES","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cédté pair et tout le coté impair"
"1038","CHENES ALLEE DES CHENES","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le coté impair"
"1044","CLOS RUE DU CLOS VAILLANT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cété impair"
"1051","COLLARDEAU RUE PHILEAS COLLARDEAU","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"1052","COLLARDEAU RUE PHILEAS COLLARDEAU","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"1055","COLLET RUE FRANCOIS COLLET","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"1056","COLLET RUE FRANCOIS COLLET","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"1059","COLLIGNON RUE LOUIS LEON COLLIGNON","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair"
"1060","COLLIGNON RUE LOUIS LEON COLLIGNON","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair"
"1063","COMMUNES ALLEE DES DEUX COMMUNES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"1064","COMMUNES ALLEE DES DEUX COMMUNES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"1067","COMPAGNON RUE COMPAGNON","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"1068","COMPAGNON RUE COMPAGNON","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"1071","CONCORDE ALLEE DE LA CONCORDE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"1075","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cété impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cété impair"
"1076","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cété impair","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"1077","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cété impair","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"1080","COQ GAULOIS RUE DU COQ GAULOIS","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cdté impair"
"1081","COQ GAULOIS RUE DU COQ GAULOIS","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cdété impair"
"1084","CORNEILLE ALLEE CORNEILLE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cdté impair"
"1085","CORNEILLE ALLEE CORNEILLE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"1088","COURTADE ALLEE JEAN COURTADE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"1089","COURTADE ALLEE JEAN COURTADE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le caté impair"
"1092","COURTS SILLONS ALLEE DES COURTS SILLONS","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le caté impair"
"1096","CRONSTADT RUE DE CRONSTADT","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"1097","CRONSTADT RUE DE CRONSTADT","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cdté impair"
"1100","CURIE AVENUE MARIE CURIE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"1101","CURIE AVENUE MARIE CURIE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"1102","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le caté pair et tout le cdété impair |","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le caté pair et tout le cdété impair |"
"1105","CYCLE RUE DU CYCLE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"1109","DAHLIAS ALLEE DES DAHLIAS .","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair V"
"1110","DAHLIAS ALLEE DES DAHLIAS .","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"1117","DARTY RUE DES FRERES DARTY","Périmétre : Périmetre Guillaume Apollinaire Tout le c6té pair et tout le cété impair"
"1118","DARTY RUE DES FRERES DARTY","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"1120","DASSAULT RUE MARCEL DASSAULT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"1124","DAUBIE RUE JULIE-VICTOIRE DAUBIE","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cété impair"
"1126","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair"
"1127","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"1128","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"1130","DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair allant des n° 2 48 et coté impair allantdesn°1a1 | i"
"1131","DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair allant des n° 2 a 8 et cdté impair allant des n° 1 a 1 |"
"1132","DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 10 a 68 et cdté impair allant des n° 9 a 51"
"1135","DE LATTRE DE TASSIG AVENUE DE LATTRE DE TASSIGNY","Périmétre : Périmetre Guillaume Apollinaire _ ___Cété pair allant des n° 70 a 72 et cdté impair sans les n° rd,"
"1138","DEBUSSY ALL (7,","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"1139","DEBUSSY ALL (7,","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"1142","DEFFERRE RUE GASTON DEFFERRE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair"
"1144","DELACROIX ALLEE EUGENE DELACROIX","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"1145","DELACROIX ALLEE EUGENE DELACROIX","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"1147","DELAINE RUE CESAR DELAINE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"1148","DELAINE RUE CESAR DELAINE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"1150","DENISE AVENUE DENISE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair"
"1151","DENISE AVENUE DENISE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"1153","DENYS-COCHIN RUE DENYS-COCHIN","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"1154","DENYS-COCHIN RUE DENYS-COCHIN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"1156","DERAIMES ALLEE MARIA DERAIMES","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"1159","DEVINIERE ALLEE DE LA DEVINIERE ,","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair ‘ /"
"1162","DJIBAOU AVENUE JEAN MARIE DJIBAOU )","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le c6té pair et tout le cété impair"
"1169","DJIBAOU AVENUE JEAN MARIE DJIBAOU v?)","Périmétre : Périmetre Maternelle Olympe de Gouges Tout le cété pair et tout le cote impair ,"
"1172","DOLET RUE ETIENNE DOLET","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"1173","DOLET RUE ETIENNE DOLET","Périmétre : Périmétre Elamentaire Pierre Curie Tout le cété pair et tout le cété impair"
"1175","DORMOY AVENUE MARX DORMOY -","Périmétre : Périmétre Elementaire Louis Pasteur Tout le cété pair et cdté impair sans les n° : |"
"1178","DORMOY AVENUE MARX DORMOY -","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et cdté impair sans les n°"
"1180","DOUILLOT RUE HENRI DOUILLOT","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"1181","DOUILLOT RUE HENRI DOUILLOT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"1184","DOUVILLEZ RUE ROBERT DOUVILLEZ","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cdté pair et tout le céte impair"
"1187","DROITS DE L'HOMME RUE DES DROITS DE L'HOMME","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair \J"
"1188","DROITS DE L'HOMME RUE DES DROITS DE L'HOMME","Périmétre : Périmétre Elementaire Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"1190","DU BELLAY ALLEE JOACHIM DU BELLAY —","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"1191","DU BELLAY ALLEE JOACHIM DU BELLAY —","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"1193","DUMESNIL AVENUE DUMESNIL","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"1194","DUMESNIL AVENUE DUMESNIL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Toutle cété pair et tout le coté impair"
"1195","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair"
"1198","DUMONT RUE RENE DUMONT","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"1200","DUNANT RUE HENRI DUNANT C","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair \/"
"1201","DUNANT RUE HENRI DUNANT C","Périmétre : Périmetre Maternelle Henri Sellier Tout le cdté pair et tout le cété impair"
"1204","DURAS RUE MARGUERITE DURAS","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"1205","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair"
"1208","ECOLES RUE DES ECOLES","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le coté impair"
"1210","EDOUARD VAILLANT RUE EDOUARD VAILLANT ie :","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Cété pair allant des n° 2 a 70 et cote impair allant des n° 1.81"
"1212","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Cété pair allant des n° 72 a 998 et cote impair allant des n° 83 a 999","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Cété pair allant des n° 72 a 998 et cote impair allant des n° 83 a 999"
"1213","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Cété pair allant des n° 72 a 998 et cote impair allant des n° 83 a 999","Périmétre : Périmetre Maternelle Jules Ferry Cété pair allant des n° 72 a 174 et cdté impair allant des n° 83 a 189"
"1214","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Cété pair allant des n° 72 a 998 et cote impair allant des n° 83 a 999","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Cété pair allant des n° 72 a 999 et cdté impair allant des n° 83 a 999"
"1223","EGALITE RUE DE L'EGALITE ‘ (","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"1224","EGALITE RUE DE L'EGALITE ‘ (","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cdté pair et tout le cété impair"
"1226","EGALITE ALLEE DE L'EGALITE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"1227","EGALITE ALLEE DE L'EGALITE","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair"
"1229","ELIE RUE GEORGES ELIE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"1230","ELIE RUE GEORGES ELIE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"1232","ELUARD RUE PAUL ELUARD","Périmétre : Périmetre Maternelle Camille Claudel Tout le cdté pair et tout le cété impair"
"1236","ELUARD RUE PAUL ELUARD","Périmétre : Périmetre Elementaire Camille Claudel Tout le cété pair et tout le coté impair"
"1237","ELUARD RUE PAUL ELUARD","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cote impair"
"1239","ERABLES ALLEE DES ERABLES CP  f","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair ft L f"
"1240","ERABLES ALLEE DES ERABLES CP  f","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le coté impair"
"1243","ESCHOLIERS RUE DES ESCHOLIERS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair \V"
"1244","ESCHOLIERS RUE DES ESCHOLIERS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cdté pair et tout le cété impair :"
"1246","ESPERANCE AVENUE DE L'ESPERANCE ‘, \ ERK","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdté impair /"
"1247","ESPERANCE AVENUE DE L'ESPERANCE ‘, \ ERK","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair j"
"1250","ESPERANTO ALLEE DE L'ESPERANTO . f oP","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair ."
"1252","EST AVENUE DE L'EST","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"1253","EST AVENUE DE L'EST","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cdté impair"
"1255","ETOILE ALLEE DE L'ETOILE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"1256","ETOILE ALLEE DE L'ETOILE","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le c6té impair"
"1258","EUDEMON PLACE EUDEMON","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le coté impair \/"
"1259","EUDEMON PLACE EUDEMON","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair ."
"1264","FAURE ALLEE GABRIEL FAURE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair"
"1265","FAURE ALLEE GABRIEL FAURE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair"
"1267","FAUVETTE ALLEE DE LAFAUVETTE","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le c6té impair"
"1268","FAUVETTE ALLEE DE LAFAUVETTE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"1270","FER A CHEVAL RUE DU FER A CHEVAL \ /","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cdté impair \ }"
"1279","FER A CHEVAL RUE DU FER ACHEVAL \U","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"1284","FERDINAND RUE CHARLES FERDINAND |","Périmétre : Périmetre Elementaire Camille Claudel Tout le cété pair et tout le cété impair VV"
"1288","FERNAND POTTIER IMPASSE FERNAND POTTIER hod","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"1292","FERRY AVENUE JULES FERRY","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdété impair \ /"
"1295","FERRY AVENUE JULES FERRY","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"1298","FLEURS PLACE DES FLEURS .","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair Vv"
"1299","FLEURS PLACE DES FLEURS .","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair"
"1304","FLEURY VILLA FLEURY \ /","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair V"
"1305","FLEURY VILLA FLEURY \ /","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"1308","FLORALIES RUE DES FLORALIES","Périmétre : Périmeétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair \"
"1312","FONTAINE RUE FONTAINE","Périmétre : Périmétre Elementaire Louis Pasteur Tout le cété pair et tout le cété impair \ /"
"1313","FONTAINE RUE FONTAINE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair"
"1317","FORET PONT DE LAFORET ena hiny clbs ite ()","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le coté impair» \"
"1318","FORET PONT DE LAFORET ena hiny clbs ite ()","Périmétre : Périmetre Maternelle Pasteur Tout le cdté pair et tout le cété impair"
"1321","FOSSEY SQUARE DIANE FOSSEY Q","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le coté impair ."
"1322","FOSSEY SQUARE DIANE FOSSEY Q","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair 8"
"1325","FOUGERES ALLEE DES FOUGERES /","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair i /"
"1329","FOURCADE ALLEE MARIE-MADELEINE FOURCADE +","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cote impair A"
"1330","FOURCADE ALLEE MARIE-MADELEINE FOURCADE +","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"1334","FRANCK ALLEE ANNE FRANCK","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cdté impair"
"1337","FRANCS AUBIERS RUE DES FRANCS AUBIERS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"1338","FRANCS AUBIERS RUE DES FRANCS AUBIERS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"1341","FRANK ALLEE ANNE FRANK","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
