"","Rue","Peri"
"187","JAURES RUE JEAN JAURES","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"190","JEANNETTE ALLEE DE LAVILLA JEANNETTE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"192","JEANNETTE ALLEE DE LAVILLA JEANNETTE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"199","JOUHAUX AVENUE LEON JOUHAUX *","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"202","JUSSIEU RUE BERNARD DE JUSSIEU","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"207","KIPLING RUE RUDYARD KIPLING","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"209","KIPLING RUE RUDYARD KIPLING","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"214","LAFARGUE ALLEE PAUL LAFARGUE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair"
"217","LATERAL CHEMIN LATERAL","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair 4 j"
"224","LAUG RUE LAUG","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair"
"229","LAURENCIN SQUARE MARIE LAURENCIN","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"234","LAURIERS ALLEE DES LAURIERS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"237","LAVIGNE VILLA LAVIGNE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair"
"248","LEBAS AVENUE JEAN LEBAS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"250","LEBAS AVENUE JEAN LEBAS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le caté pair et tout le cdté impair"
"257","LECOMTE RUE JULES LECOMTE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le c6té impair"
"261","LEDER RUE DAVID LEDER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"263","LEDER RUE DAVID LEDER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"268","LELONG RUE JULES LELONG","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cdté impair"
"270","LELONG RUE JULES LELONG","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair"
"277","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cdté impair f","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cdté impair f"
"279","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cdté impair f","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"283","LEON ALLEE LEON","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"285","LEON ALLEE LEON","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cété impair"
"289","LETTRES ALLEE DES LETTRES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair"
"291","LETTRES ALLEE DES LETTRES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"307","LIBERTE RUE DE LALIBERTE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"309","LIBERTE RUE DE LALIBERTE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair"
"313","LILAS ALLEE DES LILAS","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair"
"318","LILAS ALLEE DES LILAS","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair"
"323","LIMITES RUE DES LIMITES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"325","LIMITES RUE DES LIMITES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
