"","NATURE","NOM","QUARTIER","NA","NA","NA","NA","NA"
"117","le Mainguy : le Moulin à vent","PL","5",NA,"ARTHURIMBAUD","PL ARTHUR RIMBAUD","public","Mainguy"
"122","le Mainguy : le Moulin à vent","PL","5",NA,"CHARLES DE GAULLE","PL CHARLES DE GAULLE","public","Mainguy"
"148","le Mainguy : le Moulin à vent","PL","6",NA,"DIVISION LECLERC","PL DE LA DIVISION LECLERC","public","Mainguy"
"152","le Mainguy : le Moulin à vent","PL","4",NA,"REPUBLIQUE","PL DE LA REPUBLIQUE","public","Mainguy"
"175","le Mainguy : le Moulin à vent","PL","5",NA,"ALBERT THOMAS","PL ALBERT THOMAS","public","Mainguy"
"185","le Mainguy : le Moulin à vent","PL","6",NA,"11 NOVEMBRE 1918","PL DU 11 NOVEMBRE 1918","public","Mainguy"
"194","le Mainguy : le Moulin à vent","PL","parking",NA,"CHARLES DE GAULLE","PL CHARLES DE GAULLE","public","Mainguy"
"213","le Saule Blanc","PL","5",NA,"ECOLES","PL DES ECOLES","public","Saule"
"230","le Saule Blanc","PL","parking",NA,"NICOLE NEUBURGER","PL NICOLE NEUBURGER","public","Saule"
"233","le Saule Blanc","PL","5",NA,"FLEURS","PL DES FLEURS","privé","Saule"
"281","le Saule Blanc","PL","5",NA,"GEORGES LYSSANDRE","PL GEORGES LYSSANDRE","privé","Saule"
"312","les Merisiers","PL","5",NA,"SCHOELCHER","PL SCHOELCHER","public","Merisiers"
"372","Noue Caillet : Terre-Saint-Blaise","PL","6",NA,"EUDEMON","PL EUDEMON","public","NC-TSB"
"348","les Merisiers","QUAI","6",NA,"HUBERTINE AUCLERT","QUAI HUBERTINE AUCLERT","public","Merisiers"
"428","Noue Caillet : Terre-Saint-Blaise","QUAI","6",NA,"HUBERTINE AUCLERT","QUAI HUBERTINE AUCLERT","public","NC-TSB"
"3","la mare à la Veuve : la remise à Jorelle","R","5",NA,"CHEMIN DE FEPROLONGEE","R DU CHEMIN DE FER PROLONGEE","public","MVeuve"
"5","la mare à la Veuve : la remise à Jorelle","R","5",NA,"MIDI","R DU MIDI","public","MVeuve"
"11","la mare à la Veuve : la remise à Jorelle","R","5",NA,"VARSOVIE","R DE VARSOVIE","public","MVeuve"
"18","la mare à la Veuve : la remise à Jorelle","R","6",NA,"JEAN MONNET","R JEAN MONNET","public","MVeuve"
"30","la mare à la Veuve : la remise à Jorelle","R","5",NA,"PHILOSOPHIE","R DE LA PHILOSOPHIE","public","MVeuve"
"32","la mare à la Veuve : la remise à Jorelle","R","5",NA,"CLOS VAILLANT","R DU CLOS VAILLANT","privé","MVeuve"
"34","la mare à la Veuve : la remise à Jorelle","R","5",NA,"BEL AIR","R DU BEL AIR","public","MVeuve"
"40","la mare à la Veuve : la remise à Jorelle","R","5",NA,"FRANCOIS COLLET","R FRANCOIS COLLET","public","MVeuve"
"41","la mare à la Veuve : la remise à Jorelle","R","5",NA,"VIEUX CHATEAU","R DU VIEUX CHATEAU","public","MVeuve"
"44","la mare à la Veuve : la remise à Jorelle","R","4",NA,"SOLIDARITE","R DE LA SOLIDARITE","public","MVeuve"
"45","la mare à la Veuve : la remise à Jorelle","R","5","R RENE DUMONT","14","14","public","MVeuve"
"47","la mare à la Veuve : la remise à Jorelle","R","5",NA,"RUDYARD KIPLING","R RUDYARD KIPLING","public","MVeuve"
"50","la mare à la Veuve : la remise à Jorelle","R","5",NA,"RENE CHAR","R RENE CHAR","public","MVeuve"
"51","la mare à la Veuve : la remise à Jorelle","R","5",NA,"MARCEL DASSAULT","R MARCEL DASSAULT","public","MVeuve"
"55","la mare à la Veuve : la remise à Jorelle","R","6",NA,"MARGUERITE DURAS","R MARGUERITE DURAS","public","MVeuve"
"57","la mare à la Veuve : la remise à Jorelle","R","5","R THEODORE MONOD","13","13","public","MVeuve"
"59","la mare à la Veuve : la remise à Jorelle","R","5",NA,"PAULINE ROGER","R PAULINE ROGER","public","MVeuve"
"62","la mare à la Veuve : la remise à Jorelle","R","5",NA,"SIRE LEON","R DESIRE LEON","public","MVeuve"
"64","la mare à la Veuve : la remise à Jorelle","R","5",NA,"DAVID LEDER","R DAVID LEDER","public","MVeuve"
