"NOM_1_G","NOM","NATURE","usage","longueur"
"AV DE METZ","METZ","AV","public",447
"R MICHELET","MICHELET","R","public",394
"PAS MICHELET","MICHELET","PAS","privé",102
"R DU MIDI","MIDI","R","public",313
"ALL MIGNARD","MIGNARD","ALL","privé",23
"ALL MILLET","MILLET","ALL","privé",63
"R DU MOLERET","MOLERET","R","public",62
"ALL MOLIERE","MOLIERE","ALL","public",100
"ALL MONTPLAISIR","MONTPLAISIR","ALL","public",169
"CH DE MONTREUIL A CLAYE","MONTREUIL A CLAYE","CH","public",241
"ALL DU MOULIN","MOULIN","ALL","public",166
"ALL MOZART","MOZART","ALL","public",98
"ALL DU MUGUET","MUGUET","ALL","public",129
"R NADIA MURAD","NADIA MURAD","R","public",282
"AV DE NANCY","NANCY","AV","public",229
"R NEUVE","NEUVE","R","privé",98
"PL NICOLE NEUBURGER","NICOLE NEUBURGER","PL","privé",950
"R NOEMIE","NOEMIE","R","public",161
"R DENYS COCHIN","NYS COCHIN","R","public",282
"R ODETTE PAIN","ODETTE PAIN","R","public",215
"ALL DES ORCHIDEES","ORCHIDEES","ALL","privé",217
"ALL DE L'ORME","ORME","ALL","public",361
"ALL PABLO NERUDA","PABLO NERUDA","ALL","public",189
"ALL DE LA PAIX","PAIX","ALL","public",281
"MAIL PANTAGRUEL","PANTAGRUEL","MAIL","public",141
"R DE PANURGE","PANURGE","R","public",103
"ALL DES PAQUERETTES","PAQUERETTES","ALL","privé",140
"R DE PARIS","PARIS","R","public",71
"IMP DE LA PARISIENNE","PARISIENNE","IMP","privé",72
"AV DE LA PARISIENNE","PARISIENNE","AV","public",265
"VLA PARMENTIER","PARMENTIER","VLA","privé",115
"AV PASTEUR","PASTEUR","AV","public",635
"R PAUL ELUARD","PAUL ELUARD","R","privé",178
"ALL PAUL LAFARGUE","PAUL LAFARGUE","ALL","privé",208
"R PAUL RENAUD","PAUL RENAUD","R","public",301
"R PAUL VAILLANT COUTURIER","PAUL VAILLANT COUTURIER","R","public",411
"R PAULINE ROGER","PAULINE ROGER","R","public",217
"ALL DES PENSEES","PENSEES","ALL","privé",75
"R DES PEUPLIERS","PEUPLIERS","R","public",186
"R PHILEAS COLLARDEAU","PHILEAS COLLARDEAU","R","public",213
"R DE LA PHILOSOPHIE","PHILOSOPHIE","R","public",205
"SEN PIERRE BOURDIEU","PIERRE BOURDIEU","SEN","privé",104
"R PIERRE BROSSOLETTE","PIERRE BROSSOLETTE","R","public",112
"R PIERRE DE RONSARD","PIERRE DE RONSARD","R","public",58
"ALL DES PINSONS","PINSONS","ALL","public",141
"R DE PLAISANCE","PLAISANCE","R","public",176
"AV DES PLATANES","PLATANES","AV","public",194
"PONT","PONT","RPE","public",108
"CH DU PONT","PONT","CH","public",239
"ALL POQUE","POQUE","ALL","privé",104
"R DU POTAGER","POTAGER","R","privé",381
"ALL POTTIER","POTTIER","ALL","public",158
"R DE PRESSENSE","PRESSENSE","R","public",212
"ALL DES PRIMEVERES","PRIMEVERES","ALL","privé",340
"R DU PROFESSEUR VAILLANT","PROFESSEUR VAILLANT","R","public",258
"R DU PROGRES","PROGRES","R","public",292
"AV DU QUATORZE JUILLET","QUATORZE JUILLET","AV","public",823
"R RABELAIS","RABELAIS","R","privé",179
"ALL RACINE","RACINE","ALL","public",328
"R RAOUL","RAOUL","R","public",241
"ALL RAPHAEL","RAPHAEL","ALL","privé",33
"ALL RASPAIL","RASPAIL","ALL","public",306
"ALL DE LA REGALE","REGALE","ALL","public",127
"ALL DU RENDEZ VOUS","RENDEZ VOUS","ALL","public",359
"SEN RENE CHAR","RENE CHAR","SEN","public",76
"R RENE CHAR","RENE CHAR","R","public",523
"IMP RENE CLAIR","RENE CLAIR","IMP","public",44
"R RENE DUMONT","RENE DUMONT","R","public",114
"ALL DES RENONCULES","RENONCULES","ALL","privé",217
"PL DE LA REPUBLIQUE","REPUBLIQUE","PL","public",108
"CRS DE LA REPUBLIQUE","REPUBLIQUE","CRS","public",297
"AV DE LA REPUBLIQUE","REPUBLIQUE","AV","public",564
"R ROBERT BONNET","ROBERT BONNET","R","public",203
"R ROBERT DOUVILLEZ","ROBERT DOUVILLEZ","R","public",350
"R ROGER PANNEQUIN","ROGER PANNEQUIN","R","public",50
"R ROGER SALENGRO","ROGER SALENGRO","R","public",1131
"R ROMAIN ROLLAND","ROMAIN ROLLAND","R","public",58
"ALL DES ROSES","ROSES","ALL","privé",75
"AV DE ROSNY","ROSNY","AV","public",558
"AV ROUGET DE LISLE","ROUGET DE LISLE","AV","public",147
"R RUDYARD KIPLING","RUDYARD KIPLING","R","public",56
"ALL RULHIERE","RULHIERE","ALL","public",173
"R SAINT-LOUIS","SAINT-LOUIS","R","public",96
"R SAINT-LOUIS PROLONGEE","SAINT-LOUIS PROLONGEE","R","public",422
"R SAINTE-BARBE","SAINTE-BARBE","R","public",121
"RLE SAINTE-BARBE","SAINTE-BARBE","RLE","public",66
"ALL SAN MARTIN","SAN MARTIN","ALL","public",85
"CITE DES SAULES","SAULES","CITE","privé",302
"PL SCHOELCHER","SCHOELCHER","PL","public",86
"AV DES SCIENCES","SCIENCES","AV","public",418
"R SERGE RAVANEL","SERGE RAVANEL","R","public",157
"R DU SERGENT BOBILLOT","SERGENT BOBILLOT","R","public",329
"ALL SIMON BOLIVAR","SIMON BOLIVAR","ALL","public",152
"R SIMONE DE BEAUVOIR","SIMONE DE BEAUVOIR","R","privé",328
"R SIMONE VEIL","SIMONE VEIL","R","public",160
