"300","R","5","NA","GEORGES GRAFF","R GEORGES GRAFF","NA"
"134","ALL","5","NA","GEORGES SAND","ALL GEORGES SAND","NA"
"64","R","5","NA","GERMAINE TILLION","R GERMAINE TILLION","NA"
"370","R","6","NA","GISELE HALIMI","R GISELE HALIMI","NA"
"120","ALL","6","NA","GLAIEULS","ALL DES GLAIEULS","privé"
"320","ALL","6","NA","GLYCINES","ALL DES GLYCINES","privé"
"224","ALL","6","NA","GOUNOD","ALL C GOUNOD","privé"
"366","6","6","ALL GOYA","GOYA","6","privé"
"247","AV","5","NA","GRANDET","AV CLARA GRANDET","NA"
"348","CH","4","NA","GROSLAY","CH DE GROSLAY","NA"
"229","R","5","NA","GROUSSIER","R ARTHUR GROUSSIER","NA"
"198","AV","5","NA","GUEUGNON","AV GUEUGNON","NA"
"269","R","5","NA","GUILLAUME APOLLINAIRE","R GUILLAUME APOLLINAIRE","privé"
"18","ALL","5","NA","HANNAH ARENDT","ALL HANNAH ARENDT","public"
"276","9","6","IMP HAYDN","HAYDN","9","privé"
"299","R","4","NA","HENRI ALPY","R HENRI ALPY","NA"
"355","AV","3","NA","HENRI BARBUSSE","AV HENRI BARBUSSE","NA"
"50","R","4","NA","HENRI DOUILLOT","R HENRI DOUILLOT","NA"
"346","AV","3","NA","HENRI VARAGNAT","AV HENRI VARAGNAT","NA"
"305","R","5","NA","HENRY ESPAULLARD","R HENRY ESPAULLARD","NA"
"236","ALL","5","NA","HETRES","ALL DES HETRES","NA"
"129","ALL","6","NA","HORTENSIAS","ALL DES HORTENSIAS","privé"
"327","QUAI","6","NA","HUBERTINE AUCLERT","QUAI HUBERTINE AUCLERT","NA"
"313","ALL","5","NA","HUGO","ALL VICTOR HUGO","privé"
"219","AV","5","NA","IDEAL","AV DE L'IDEAL","NA"
"119","3","NA","ALL DOMINIQUE INGRES","INGRES","3","privé"
"34","ALL","5","NA","IRIS","ALL DES IRIS","privé"
"277","IMP","5","NA","JACQUES BREL","IMP JACQUES BREL","NA"
"21","R","5","NA","JEAN JAURES","R JEAN JAURES","NA"
"273","AV","5","NA","JEAN LEBAS","AV JEAN LEBAS","NA"
"74","R","6","NA","JEAN MONNET","R JEAN MONNET","NA"
"335","AV","4","NA","JEAN MOULIN","AV JEAN MOULIN","NA"
"99","ALL","5","NA","JEANNETTE","ALL DE LA VILLA JEANNETTE","NA"
"268","ALL","6","NA","JOACHIM DU BELLAY","ALL JOACHIM DU BELLAY","privé"
"291","R","5","NA","JOE CARMAN","R JOE CARMAN","NA"
"343","RPT","4","NA","JOUHAUX","RPT JOUHAUX","NA"
"352","AV","4","NA","JUILLET","AV DU QUATORZE JUILLET","NA"
"278","R","5","NA","JULES AUFFRET","R JULES AUFFRET","NA"
"356","R","3","NA","JULES GUESDE","R JULES GUESDE","NA"
"115","R","5","NA","JUSSIEU","R BERNARD DE JUSSIEU","NA"
"178","R","5","NA","KIPLING","R RUDYARD KIPLING","NA"
"78","R","5","NA","L'AVIATION","R DE L'AVIATION","NA"
"12","ALL","5","NA","L'EGALITE","ALL DE L'EGALITE","NA"
"296","AV","5","NA","L'ESPERANCE","AV DE L'ESPERANCE","NA"
"17","ALL","4","NA","L'ETOILE","ALL DE L'ETOILE","NA"
"41","R","5","NA","L'UNION","R DE L'UNION","NA"
"22","ALL","5","NA","LA DEVINIERE","ALL DE LA DEVINIERE","privé"
"351","PONT","4","NA","LA FORET","PONT DE LA FORET","NA"
"292","ALL","4","NA","LA JARDINIERE","ALL DE LA JARDINIERE","NA"
"329","IMP","6","NA","LA JARDINIERE","IMP DE LA JARDINIERE","NA"
"358","R","4","NA","LA LIBERTE","R DE LA LIBERTE","NA"
"360","CH","4","NA","LA MARE A LA VEUVE","CH DE LA MARE A LA VEUVE","NA"
"121","IMP","5","NA","LA PARISIENNE","IMP DE LA PARISIENNE","privé"
"14","ALL","5","NA","LA REGALE","ALL DE LA REGALE","NA"
"89","ALL","5","NA","LAFARGUE","ALL PAUL LAFARGUE","privé"
"68","CH","4","NA","LATERAL","CH LATERAL","NA"
"272","R","5","NA","LAUG","R LAUG","NA"
"257","ALL","5","NA","LAURENCIN","ALL MARIE LAURENCIN","privé"
"164","ALL","5","NA","LAURIERS","ALL DES LAURIERS","privé"
"368","ALL","6","ALL MARIE-JOSE CHOMBART DE LAUWE","LAUWE","16","public"
"130","VLA","5","NA","LAVIGNE","VLA LAVIGNE","NA"
"133","PL","6","NA","LECLERC","PL DE LA DIVISION LECLERC","NA"
"226","R","5","NA","LECOMTE","R JULES LECOMTE","NA"
"225","R","5","NA","LEDER","R DAVID LEDER","NA"
"197","R","5","NA","LELONG","R JULES LELONG","NA"
"98","ALL","5","NA","LEON","ALL LEON","NA"
"221","R","5","NA","LEON","R DESIRE LEON","NA"
"265","AV","4","NA","LEON BLUM","AV LEON BLUM","NA"
"321","AV","3","NA","LEON JOUHAUX","AV LEON JOUHAUX","privé"
"30","ALL","5","NA","LETTRES","ALL DES LETTRES","NA"
"144","R","5","NA","LEVANT","R DU LEVANT","NA"
"336","R","4","NA","LEVY","R JEAN PIERRE LEVY","NA"
"253","IMP","5","NA","LIBERTE","IMP DE LA LIBERTE","NA"
"173","ALL","5","NA","LILAS","ALL DES LILAS","privé"
"339","R","6","NA","LIMITES","R DES LIMITES","NA"
"271","R","5","NA","LION","R DU LION","NA"
"147","ALL","5","NA","LOUISE","ALL LOUISE","NA"
"304","12","6","ALL LOUISE MICHEL","LOUISE MICHEL","12","piéton"
"298","10","6","ALL LOUISE WEISS","LOUISE WEISS","10","privé"
"262","PL","5","NA","LYSSANDRE","PL GEORGES LYSSANDRE","privé"
"56","VLA","5","NA","MADELEINE","VLA MADELEINE","NA"
"154","R","5","NA","MAGNE","R CHARLES MAGNE","privé"
"281","SQ","6","NA","MAI","SQ DU 8 MAI 1945","NA"
"158","4","6","ALL MANET","MANET","4","privé"
"301","R","5","NA","MARCEL PAUL","R MARCEL PAUL","NA"
"228","CH","5","NA","MARE A LA VEUVE PROLONGEE","CH DE LA MARE A LA VEUVE PROLONGEE","NA"
"77","AV","5","NA","MARGUERITE","AV MARGUERITE","NA"
"59","ALL","5","NA","MARIA DERAIMES","ALL MARIA DERAIMES","privé"
"26","VLA","5","NA","MARRONNIERS","VLA DES MARRONNIERS","privé"
"109","ALL","5","NA","MARTHE","ALL ALEXANDRE MARTHE","privé"
"208","ALL","5","NA","MARTI","ALL JOSE MARTI","NA"
"49","R","5","NA","MARTIN","R MARTIN LUTHER KING","privé"
"328","AV","4","NA","MARX DORMOY","AV MARX DORMOY","NA"
"81","ALL","5","NA","MARYSE BASTIE","ALL MARYSE BASTIE","privé"
"233","R","5","NA","MASSON","R EUGENE MASSON","NA"
"248","R","5","NA","MAUPASSANT","R GUY DE MAUPASSANT","NA"
"362","IMP","5","NA","MAURICE BENHAMOU","IMP MAURICE BENHAMOU","NA"
"363","AV","5","NA","MAURICE BENHAMOU","AV MAURICE BENHAMOU","NA"
"152","R","5","NA","MEAUX","R DE MEAUX","NA"
"297","CH","5","NA","MERLAN","CH DU MERLAN","NA"
"80","AV","5","NA","MESARMES","AV DES MESARMES","NA"
"146","AV","5","NA","METZ","AV DE METZ","NA"
"106","R","5","NA","MICHELET","R MICHELET","NA"
"118","PAS","5","NA","MICHELET","PAS MICHELET","privé"
"16","R","5","NA","MIDI","R DU MIDI","NA"
"29","1","6","ALL MIGNARD","MIGNARD","1","privé"
"246","7","6","ALL MILLET","MILLET","7","privé"
