"","AN","NOMRS","CNOMRS","NUMVOIE","INDREP","TYPVOIE","LIBVOIE","CADR","CODPOS","DEPCOM","DEP","REG","LIBCOM","DOM","SDOM","TYPEQU","SIRET","STATUT_DIFFUSION","CANTINE","INTERNAT","RPI","EP","CL_PGE","SECT","ACCES_AIRE_PRATIQUE","ACCES_LIBRE","ACCES_SANITAIRE","ACCES_VESTIAIRE","CAPACITE_D_ACCUEIL","PRES_DOUCHE","PRES_SANITAIRE","SAISONNIER","COUVERT","ECLAIRE","CATEGORIE","MULTIPLEXE","STRUCTURE_EXERCICE","SPECIALITE","ACCUEIL","ITINERANCE","MODE_GESTION","SSTYPHEB","TYPE","IMPLANTATION_STATION","CAPACITE","INDIC_CAPA","NBEQUIDENT","INDIC_NBEQUIDENT","NBSALLES","INDIC_NBSALLES","NBLIEUX","INDIC_NBLIEUX","NB_PDC","INDIC_NB_PDC","NB_PDC_PA","INDIC_NB_PDC_PA","NB_PDC_ACCELEREE","INDIC_NB_PDC_ACCELEREE","NB_PDC_LENTE","INDIC_NB_PDC_LENTE","NB_PDC_RAPIDE","INDIC_NB_PDC_RAPIDE","NB_PDC_ULTRARAPIDE","INDIC_NB_PDC_ULTRARAPIDE","NB_JOURS_OUVERT","INDIC_NB_JOURS_OUVERT","LAMBERT_X","LAMBERT_Y","LONGITUDE","LATITUDE","QUALITE_XY","EPSG","QUALITE_GEOLOC","TR_DIST_PRECISION","DCIRIS","QUALI_IRIS","IRISEE","QP2024","QUALI_QP2024","QVA","QUALI_QVA","ZUS","QUALI_ZUS","EPCI","UU2020","BV2022","AAV2020","DENS3","DENS7"
"437152",2024,"YANES YASSINE","",144,"","AV","GALLIENI","",93140,"93010","93",11,"BONDY","E","E1","E101",94909052600011,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662216.71,6867489.45,2.48456181098455,48.906293943582,"B",2154,"11","< 100","930100404","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437153",2024,"SAYAFA CAR","",45,"","RUE","JEAN JAURES","",93140,"93010","93",11,"BONDY","E","E1","E101",94910559700015,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661626.2,6866836.2,2.47656540382465,48.9003845735131,"B",2154,"11","< 100","930100203","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437154",2024,"NIHAO VTC","",38,"","RUE","ETIENNE DOLET","",93140,"93010","93",11,"BONDY","E","E1","E101",95130621600015,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661639.9,6865816.2,2.47684445096129,48.8912128442736,"B",2154,"11","< 100","930100204","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437156",2024,"URSACHI ION","",24,"","RUE","JEAN JAURES","",93140,"93010","93",11,"BONDY","E","E1","E101",95264248600015,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661616.7,6866897.95,2.47643023881303,48.9009393033697,"B",2154,"11","< 100","930100203","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437157",2024,"LAVIGNE EDDY","",6,"","RUE","ARTHUR RIMBAUD","",93140,"93010","93",11,"BONDY","E","E1","E101",97954979700012,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661837.4,6867336.9,2.47940114811134,48.9048997426463,"B",2154,"11","< 100","930100202","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437159",2024,"CHERIF TRANSPORT","",27,"T","AV","HENRI BARBUSSE","",93140,"93010","93",11,"BONDY","E","E1","E101",98093682700016,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662221.4,6867037.41,2.48466603530496,48.9022291912027,"B",2154,"11","< 100","930100404","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437160",2024,"LE LAURENT","",7,"","RUE","THEODORE MONOD","",93140,"93010","93",11,"BONDY","E","E1","E101",98196421600015,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662413.2,6866103.9,2.48736495462907,48.8938456613161,"B",2154,"11","< 100","930100302","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437161",2024,"EDWIN AMOS","",8,"","RUE","PAUL ELUARD","",93140,"93010","93",11,"BONDY","E","E1","E101",51339710900010,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662234.66,6866584.63,2.48488719923111,48.8981582718451,"B",2154,"11","< 100","930100304","1",1,"QN09312I","1","CSZ","_Z","1127010","1","200054781","00851","75056","001",1,1
"437162",2024,"LAI PIERRE","",85,"","RUE","ROGER SALENGRO","",93140,"93010","93",11,"BONDY","E","E1","E101",80028398800023,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661669.9,6866362.3,2.47720427016228,48.8961255497999,"B",2154,"11","< 100","930100204","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437163",2024,"FARHANE MOHAMMED","",1,"","PL","NICOLE NEUBURGER","",93140,"93010","93",11,"BONDY","E","E1","E101",87904012900022,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662643.3,6866931.1,2.49043032699859,48.9012978051793,"B",2154,"11","< 100","930100405","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
