fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"66",ALL,"5",,DES FRENES,ALL DES FRENES,privé,,,,,,,,,,,,,
"67",R,"4",,DU PROFESSEUVAILLANT,R DU PROFESSEUR VAILLANT,,,,,,,,,,,,,,
"68",R,"5",,DU BON AIR,R DU BON AIR,,,,,,,,,,,,,,
"70",R,"5",,GARGANTUA,R GARGANTUA,,,,,,,,,,,,,,
"73","15","6",SEN PIERRE BOURDIEU,"15","15",privé,,,,,,,,,,,,,
"75",AV,"5",,DES SCIENCES,AV DES SCIENCES,,,,,,,,,,,,,,
"77",R,"4",,LUCIEN CHAPELAIN,R LUCIEN CHAPELAIN,,,,,,,,,,,,,,
"80",R,"5",,DE L'AVIATION,R DE L'AVIATION,,,,,,,,,,,,,,
"81",R,"4",,EMILE ZOLA,R EMILE ZOLA,,,,,,,,,,,,,,
"82",AV,"5",,DES MESARMES,AV DES MESARMES,,,,,,,,,,,,,,
"83",ALL,"5",,MARYSE BASTIE,ALL MARYSE BASTIE,privé,,,,,,,,,,,,,
"84",ALL,"5",,BOILEAU,ALL BOILEAU,,,,,,,,,,,,,,
"85",IMP,"5",,RENE CLAIR,IMP RENE CLAIR,,,,,,,,,,,,,,
"86",ALL,"5",,DES ARTS,ALL DES ARTS,,,,,,,,,,,,,,
"87",ALL,"5",,DES CHENES,ALL DES CHENES,,,,,,,,,,,,,,
"88",ALL,"5",,GABRIELLE,ALL GABRIELLE,privé,,,,,,,,,,,,,
"89",R,"5",,DE TREMEUGE,R DE TREMEUGE,,,,,,,,,,,,,,
