ville;idpc;ame_diff;typ_ame;nom_ope;nom_moe;mod_prod;nom_ssect;pnrqad;sect_plui;nom_qpv;qpv;qpv_300m;pru1;npnru;nom_prom;nom_bail;nom_gest_ofs;typ_mou_lls;nom_prog;adr;cad;typ_fonc;etat_prog;date_pc;ann_pc;date_droc;ann_droc;ann_lvr;duree_pc_livr;etat_anru;nb_log_crees_(ab);nb_log_livr_(a);nb_log_suppr_(b);log_nc;log_acclib;log_acclib_suppr;log_brs;red_brs;log_accsoc;log_psla;log_lli;log_lli_suppr;lli_al;log_lls;log_lls_suppr;lls_plai;lls_plus;lls_pls;lls_nc;ann_agr;ann_capl;plai_ro;plus_ro;nb_lls_ro;loy_lls;log_spe;log_lls_spe;typ_log_spe;log_matype;typ_matype;t1;t2;t3;t4;t5p;t_nc;couconst_hors_pkvrd;coucons-incl_pkvrd;cf_acclib;cf_accpxmait;cf_brs;cf_psla;cf_res_spe;cf_lli;cflls;rem;pers_ref;source;dat_maj
Bondy;;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;Nexity;Est Ensemble Habitat;;VEFA;Jacques Prévert;Rue du Vieux Moulin / Rue du Sergent Bobillot;AT 178 191;Ville;En projet;;NC;;;2028;;C0663-31-Projet;75;75;0;;35;;;;0;0;0;;;40;;12;8;20;0;NC;;12;8;20;;;;;;;;;;;;75;;;;;;;;;;foncier ville / potentiel RO incertain;N Chopin DHRU;Est Ensemble Habitat;janv-26
Bondy;;Secteur aménagé;ZAC;ZAC des Rives de l'Ourcq;Séquano;CN;Secteur Centre;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;;;;Lot S1b;Rue Françoise Héritier;G 173;;En projet;;NC;;;2028;;;15;15;0;;15;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;NC;NC;NC;NC;NC;15;;;;;;;;;;reprogrammation suite audit / nouveau lot complémentaire à S1a suite abandon S2 (halle) / 1000m2 SDP / prog à préciser;N Chopin DHRU;Sequano DAD;oct.-24
Bondy;PD 09301024B0005;Secteur aménagé;NPNRU;NPNRU Blanqui;Séquano;DEMOL;;Non;CIN Plaine de l'Ourcq;Blanqui;Oui;Non;Non;Oui;;Est Ensemble Habitat;;MOD;Démolition bat E;Rue Henri Dunant;;;PC accordé;24/09/2024;2024;;;2029;5;;-40;0;-40;;;;;;;;;;;;-40;;;;-40;;;;;;;;;;;;;;;;;0;;;;;;;;;;;N Chopin DHRU;CE nov 2024 Est Ensemble;nov-24
Bondy;;Secteur aménagé;NPNRU;NPNRU Blanqui;Séquano;CN;;Non;CIN Plaine de l'Ourcq;Blanqui;Oui;Non;Non;Oui;;Est Ensemble Habitat;Est Ensemble Habitat;MOD;Lot 2;Rue Henri Dunant;;;En projet;;NC;;;2029;;C0663-31-0106 / 2022;42;42;0;;0;;42;NC;0;0;0;;;;;;;;0;NC;;;;;;0;;;0;;;;;;;42;;;;;;;;;;actualisation plan guide avril 2025;N Chopin DHRU;CE juin 2025 Est Ensemble;juin-25
Bondy;;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;Résilience & Innovation;CN;Noue Caillet;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Association Foncière Logement;;;Foncier Noue Caillet;Rue Henri Rol Tanguy;;;En projet;;NC;;;2028;;;39;39;0;;0;;;;0;0;22;;22;17;;NC;NC;NC;17;NC;;;;;;;;;;;;;;;;39;;;;;;;;;;LLI Action Logement / progr à préciser;N Chopin DHRU;CE nov 2022;mars-22
Bondy;;Secteur aménagé;NPNRU;NPNRU Blanqui;Séquano;CN;;Non;CIN Plaine de l'Ourcq;Blanqui;Oui;Non;Non;Oui;;Est Ensemble Habitat;;MOD;Lot 1;Rue Martin Luther King;;;En projet;;NC;;;2028;;C0663-31-0104 / 2022;51;51;0;;0;;;;0;0;0;;;51;;23;23;5;0;2022;;23;23;46;;0;;;0;;0;19;24;8;0;0;;;;;;;;;;ventilation 131 logts RO EEH / MOE désignée;N Chopin DHRU;CE juin 2025 Est Ensemble;janv-26
Bondy;;Secteur aménagé;NPNRU;NPNRU Blanqui;Séquano;CN;;Non;CIN Plaine de l'Ourcq;Blanqui;Oui;Non;Non;Oui;;Association Foncière Logement;;MOD;Lot 3;Rue Martin Luther King;;;En projet;;NC;;;2029;;C0663-31-0105 / 2022;53;53;0;;0;;;;0;0;53;;53;;;;;;0;NC;;;;;;0;;;0;;;;;;;53;;;;;;;;;;actualisation plan guide avril 2025;N Chopin DHRU;CE juin 2025 Est Ensemble;juin-25
Bondy;;Secteur aménagé;NPNRU;NPNRU Marnaudes La Sablière;SPL Ensemble;CN;;Non;CIN Plaine de l'Ourcq;Marnaudes - Fosses aux Bergers -La Sablière;Oui;Non;Non;Oui;;;;;Lots 6 et 7;voie nouvelle;;;En projet;;NC;;2030;2032;;;157;157;0;;96;;;;61;0;0;;;0;;;;;0;;;;;;;0;;;0;;;;;;;157;;;;;;;;;;planifié hors financement ANRU;N Chopin DHRU;CE nov 2022 Est Ensemble;nov.-24
Bondy;;Secteur aménagé;ZAC;ZAC des Rives de l'Ourcq;Séquano;CN;Secteur Salins;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;Seine-Saint-Denis Habitat;;;Lot S4b;;;;En projet;;NC;;;2030;;;20;20;0;;0;;;;0;0;0;;;20;;;;;20;NC;;NC;NC;NC;;0;;;0;;NC;NC;NC;NC;NC;20;;;;;;;;;;reprogrammation suite audit / densité S3 S4 S5 réduite de 22% SDP / fléchage RO SSDH /prog à préciser;N Chopin DHRU;Sequano DAD;sept.-25
Bondy;;Secteur aménagé;ZAC;ZAC des Rives de l'Ourcq;Séquano;CN;Secteur Salins;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;Seine-Saint-Denis Habitat;;;Lot S5;;;;En projet;;NC;;;2030;;;22;22;0;;0;;;;0;0;0;;;22;;;;;22;NC;;NC;NC;NC;;0;;;0;;NC;NC;NC;NC;NC;22;;;;;;;;;;reprogrammation suite audit / densité S3 S4 S5 réduite de 22% SDP / fléchage RO SSDH /prog à préciser;N Chopin DHRU;Sequano DAD;sept.-25
