Code;SIRET;Raison Sociale;Nom;Date immatriculation;Date déb;Date fin;Date de radiation;Num voie;BTQ;Voie;Complément;CP;Ville;INSEE;Pays;NACE;Lat;Lon;Tel;Mail;Montant Prév;Montant Déc;Montant Fact;Montant Sim;Date échange;Nb Supports
6162;415235514;SCCV DIVES DE L'OURCQ;PROMOTION PICHET;;;;;21;;ROUTE D'AULNAY;;93140;BONDY;93010;FRANCE; - ;48,90760668;2,47995163;;;0,00;0,00;0,00;0,00;;1
6168;83994099600011;TABLA GRILL;PLANCHA GRILL;;30/04/2018;;;52;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;5610A - Restauration traditionnelle;48,90491250;2,47601695;;;9 926,82;9 926,82;9 926,82;0,00;21/09/2022;5
6170;75321670400381;FUNECAP IDF;POMPES FUNEBRES PASCAL LECLERC CENTRE;;01/01/2016;;;75;;RUE JULES GUESDE;;93140;BONDY;93010;FRANCE;9603Z - Services funéraires;48,90276494;2,48034610;;;766,04;766,04;766,04;0,00;21/09/2022;21
6172;75321670400373;FUNECAP IDF;POMPES FUNEBRES PASCAL LECLERC VARAGNAT;;01/01/2016;;;72;;AVENUE HENRI VARAGNAT;;93140;BONDY;93010;FRANCE;9603Z - Services funéraires;48,91773229;2,48577305;;;0,00;0,00;0,00;0,00;;2
6186;39000890200038;SOCATEB ET CIE;SOCATEB;;20/10/2006;;;15;;RUE DU MOULIN A CAILLOUX;;94310;ORLY;94054;FRANCE;4334Z - Travaux de peinture et vitrerie;48,74843980;2,39061530;;;129,08;129,08;129,08;0,00;21/09/2022;2
6192;435369277;SPIRIT IMMOBILIER;SPIRIT IMMOBILIER;;;;;24;;RUE D'AULNAY;;93140;BONDY;93010;FRANCE; - ;48,90786187;2,48060859;;;0,00;0,00;0,00;0,00;;11
6198;41186586800045;MAXI - SERVICES - PLUS;STUDIO FUJIFILM;;21/12/1999;;;20;;RUE AUGUSTE POLISSARD;;93140;BONDY;93010;FRANCE;7420ZT;48,90402960;2,48020550;;;708,94;708,94;708,94;0,00;21/09/2022;8
6204;81511438400010;OVIA;SUP MARKET DE BONDY;;01/12/2015;;;241;;RUE EDOUARD VAILLANT;;93140;BONDY;93010;FRANCE;4711B - Commerce d'alimentation générale;48,89404430;2,49628680;;;350,90;350,90;350,90;0,00;21/09/2022;12
6210;85139538400023;TANGER MARCHE;TANGER MARCHE BONDY;;11/09/2019;;;166;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4711D - Supermarchés;48,90654390;2,48635800;;;16 838,24;16 838,24;16 838,24;0,00;21/09/2022;10
6216;84437566700012;GRAND PARIS PIECES AUTO;GRAND PARIS PIECES AUTO;;01/01/2019;;;174;;CHEMIN DE GROSLAY;;93140;BONDY;93010;FRANCE;4520AA;48,91675070;2,47572430;;;951,60;951,60;951,60;0,00;21/09/2022;13
6218;45237030700012;NIANA'S EXOTIC;VM FAMILY;;19/02/2004;30/03/2018;;21;;RUE JULES GUESDE;;93140;BONDY;93010;FRANCE;4711B - Commerce d'alimentation générale;48,90410780;2,47553990;;;0,00;0,00;0,00;0,00;;1
