"","NATURE","NOM_1_G","Longueur","longueurSecteur","creche","comparaison"
"374","Route à 1 chaussée","R ROGER PANNEQUIN",50,50,"Maison de la petite enfance","dans le secteur"
"375","Route à 1 chaussée","RTE D'AULNAY",731,703,"Maison de la petite enfance","à vérifier"
"376","Route à 1 chaussée","AV HENRI VARAGNAT",808,808,"Maison de la petite enfance","dans le secteur"
"378","Route à 2 chaussées","R JEAN JACQUES ROUSSEAU",335,0,"Maison de la petite enfance","à vérifier"
"379","Route à 2 chaussées","R JEAN JACQUES ROUSSEAU",335,0,"Maison de la petite enfance","à vérifier"
"380","Route à 2 chaussées","R JEAN JACQUES ROUSSEAU",335,0,"Maison de la petite enfance","à vérifier"
"381","Route à 2 chaussées","R JEAN JACQUES ROUSSEAU",335,0,"Maison de la petite enfance","à vérifier"
"382","Route à 2 chaussées","R JEAN JACQUES ROUSSEAU",335,142,"Maison de la petite enfance","à vérifier"
"383","Route à 1 chaussée","CHE DE GROSLAY",1211,306,"Maison de la petite enfance","à vérifier"
"384","Route à 1 chaussée","R FRANCOIS VILLON",346,346,"Maison de la petite enfance","dans le secteur"
"387",NA,"AV DU QUATORZE JUILLET",NA,177,"Maison de la petite enfance",NA
"1","Chemin","ALL POTTIER",158,0,"Crèche Arc en Ciel","à vérifier"
"2","Route à 1 chaussée","ALL ANNE FRANK",100,100,"Crèche Arc en Ciel","dans le secteur"
"6","Route à 1 chaussée","R GASTON DEFFERRE",349,349,"Crèche Arc en Ciel","dans le secteur"
"8","Route à 1 chaussée","ALL DES RENONCULES",217,217,"Crèche Arc en Ciel","dans le secteur"
"9","Route à 1 chaussée","R EMMANUEL FAIRON",145,145,"Crèche Arc en Ciel","dans le secteur"
"10.1","Route à 1 chaussée","AV PASTEUR",635,627,"Crèche Arc en Ciel","à vérifier"
"14","Route à 1 chaussée","ALL DE LA REGALE",127,127,"Crèche Arc en Ciel","dans le secteur"
"15","Route à 1 chaussée","R NEUVE",98,98,"Crèche Arc en Ciel","dans le secteur"
"18","Route à 1 chaussée","ALL HANNAH ARENDT",189,189,"Crèche Arc en Ciel","dans le secteur"
"19","Route à 1 chaussée","PL ARTHUR RIMBAUD",68,68,"Crèche Arc en Ciel","dans le secteur"
"20","Route à 1 chaussée","R ROBERT BONNET",203,203,"Crèche Arc en Ciel","dans le secteur"
"21","Route à 1 chaussée","R JEAN JAURES",481,481,"Crèche Arc en Ciel","dans le secteur"
"27","Route à 1 chaussée","R MARCELLIN BERTHELOT",110,110,"Crèche Arc en Ciel","dans le secteur"
"28","Route à 1 chaussée","R JULIE VICTOIRE DAUBIE",70,70,"Crèche Arc en Ciel","dans le secteur"
"32","Route à 1 chaussée","ALL DES ORCHIDEES",217,217,"Crèche Arc en Ciel","dans le secteur"
"34","Route à 1 chaussée","PL CHARLES DE GAULLE",43,43,"Crèche Arc en Ciel","dans le secteur"
"35","Route à 1 chaussée","ALL DES IRIS",91,91,"Crèche Arc en Ciel","dans le secteur"
"36","Route à 1 chaussée","R ROGER SALENGRO",1112,392,"Crèche Arc en Ciel","à vérifier"
"37","Route à 1 chaussée","R RAOUL",241,239,"Crèche Arc en Ciel","à vérifier"
"40","Route à 1 chaussée","R DU CHALET",265,265,"Crèche Arc en Ciel","dans le secteur"
"43","Route à 1 chaussée","CITE DES SAULES",302,301,"Crèche Arc en Ciel","à vérifier"
"44","Route à 1 chaussée","PL DES ECOLES",152,32,"Crèche Arc en Ciel","à vérifier"
"45","Route à 1 chaussée","R DENYS COCHIN",282,282,"Crèche Arc en Ciel","dans le secteur"
"46","Route à 1 chaussée","R NOEMIE",161,160,"Crèche Arc en Ciel","à vérifier"
"48","Route à 1 chaussée","R SAINTE-BARBE",121,121,"Crèche Arc en Ciel","dans le secteur"
"50","Route à 1 chaussée","ALL DES PAQUERETTES",140,140,"Crèche Arc en Ciel","dans le secteur"
"52","Route à 1 chaussée","R HENRI DOUILLOT",397,397,"Crèche Arc en Ciel","dans le secteur"
"54","Route à 1 chaussée","ALL RULHIERE",173,173,"Crèche Arc en Ciel","dans le secteur"
"57","Route à 1 chaussée","R GEORGES ELIE",352,352,"Crèche Arc en Ciel","dans le secteur"
"63","Sentier","RLE SAINTE-BARBE",66,66,"Crèche Arc en Ciel","dans le secteur"
"68","Route à 1 chaussée","R DU PROFESSEUR VAILLANT",258,257,"Crèche Arc en Ciel","à vérifier"
"72.1","Route à 2 chaussées","AV GALLIENI",3341,2425,"Crèche Arc en Ciel","à vérifier"
"79.1","Sentier","R DES ECOLES",188,7,"Crèche Arc en Ciel","à vérifier"
"80.1","Route à 1 chaussée","AV MARGUERITE",145,1,"Crèche Arc en Ciel","à vérifier"
"81","Route à 1 chaussée","R DE L'AVIATION",351,351,"Crèche Arc en Ciel","dans le secteur"
"91","Route à 1 chaussée","R DE TREMEUGE",273,269,"Crèche Arc en Ciel","à vérifier"
"92","Route à 1 chaussée","PL NICOLE NEUBURGER",950,950,"Crèche Arc en Ciel","dans le secteur"
"94","Route à 2 chaussées","R DE PARIS",71,71,"Crèche Arc en Ciel","dans le secteur"
"95","Route à 1 chaussée","R BERANGER",293,293,"Crèche Arc en Ciel","dans le secteur"
"98","Route à 1 chaussée","PL DES FLEURS",79,79,"Crèche Arc en Ciel","dans le secteur"
"101","Route à 1 chaussée","CRS DE LA REPUBLIQUE",297,297,"Crèche Arc en Ciel","dans le secteur"
"102","Route à 1 chaussée","ALL THERESE",345,323,"Crèche Arc en Ciel","à vérifier"
"103","Route à 1 chaussée","ALL LEON",150,150,"Crèche Arc en Ciel","dans le secteur"
"108.1","Route à 2 chaussées","RTE DE STAINS",207,29,"Crèche Arc en Ciel","à vérifier"
"109","Route à 1 chaussée","R PAUL VAILLANT COUTURIER",411,411,"Crèche Arc en Ciel","dans le secteur"
"110","Route à 1 chaussée","VLA FLEURY",162,162,"Crèche Arc en Ciel","dans le secteur"
"111","Route à 1 chaussée","R MICHELET",394,394,"Crèche Arc en Ciel","dans le secteur"
"112","Route à 1 chaussée","AV CARNOT",863,279,"Crèche Arc en Ciel","à vérifier"
"116","Route à 1 chaussée","R FREMIN",261,261,"Crèche Arc en Ciel","dans le secteur"
"119","Route à 1 chaussée","ALL MOLIERE",100,95,"Crèche Arc en Ciel","à vérifier"
"120","Route à 1 chaussée","R BERNARD DE JUSSIEU",248,247,"Crèche Arc en Ciel","à vérifier"
"121","Route à 1 chaussée","ALL MARCEL SEMBAT",320,320,"Crèche Arc en Ciel","dans le secteur"
"123","Chemin","PAS MICHELET",102,0,"Crèche Arc en Ciel","à vérifier"
"131","Route à 1 chaussée","AV DE ROSNY",558,414,"Crèche Arc en Ciel","à vérifier"
"137","Route à 1 chaussée","R PHILEAS COLLARDEAU",213,213,"Crèche Arc en Ciel","dans le secteur"
"138","Route à 1 chaussée","PL DE LA DIVISION LECLERC",103,103,"Crèche Arc en Ciel","dans le secteur"
"139","Route à 1 chaussée","ALL GEORGES SAND",311,311,"Crèche Arc en Ciel","dans le secteur"
"142","Route à 1 chaussée","R DE CRONSTADT",147,147,"Crèche Arc en Ciel","dans le secteur"
"143","Route à 1 chaussée","R GATINE",178,178,"Crèche Arc en Ciel","dans le secteur"
"144","Route à 1 chaussée","R DES GAZELLES",174,174,"Crèche Arc en Ciel","dans le secteur"
"148","Route à 1 chaussée","R BEAUREGARD",174,15,"Crèche Arc en Ciel","à vérifier"
"150","Route à 1 chaussée","ALL DU RENDEZ VOUS",359,359,"Crèche Arc en Ciel","dans le secteur"
"153","Sentier","16",75,75,"Crèche Arc en Ciel","dans le secteur"
"161","Route à 1 chaussée","IMP DES VIOLETTES",37,41,"Crèche Arc en Ciel","à vérifier"
"168","Route à 1 chaussée","ALL DES ANEMONES",116,116,"Crèche Arc en Ciel","dans le secteur"
"170","Route à 1 chaussée","R ARTHUR RIMBAUD",143,143,"Crèche Arc en Ciel","dans le secteur"
"176","Route à 1 chaussée","AV DE VERDUN",615,615,"Crèche Arc en Ciel","dans le secteur"
"178","Route à 1 chaussée","ALL DES LILAS",151,151,"Crèche Arc en Ciel","dans le secteur"
"182","Route à 1 chaussée","R DU BREUIL",459,459,"Crèche Arc en Ciel","dans le secteur"
"189","Route à 1 chaussée","R PIERRE BROSSOLETTE",112,112,"Crèche Arc en Ciel","dans le secteur"
"193","Route à 1 chaussée","R DE L'EGALITE",189,0,"Crèche Arc en Ciel","à vérifier"
"194","Route à 1 chaussée","R COMPAGNON",192,192,"Crèche Arc en Ciel","dans le secteur"
"196","Route à 1 chaussée","ALL ALICE",414,414,"Crèche Arc en Ciel","dans le secteur"
"197","Route à 1 chaussée","R DU POTAGER",381,381,"Crèche Arc en Ciel","dans le secteur"
"199","Route à 1 chaussée","R DU CYCLE",226,226,"Crèche Arc en Ciel","dans le secteur"
"200","Route à 1 chaussée","R YVONNE",234,199,"Crèche Arc en Ciel","à vérifier"
"218","Route à 1 chaussée","IMP FERNAND POTTIER",75,75,"Crèche Arc en Ciel","dans le secteur"
"219","Route à 1 chaussée","R ROBERT DOUVILLEZ",350,350,"Crèche Arc en Ciel","dans le secteur"
"223","Route à 1 chaussée","ALL DE FURCI",273,1,"Crèche Arc en Ciel","à vérifier"
"226","Route à 1 chaussée","AV DE LA REPUBLIQUE",564,1,"Crèche Arc en Ciel","à vérifier"
"228","Route à 1 chaussée","ALL ANDREA",273,273,"Crèche Arc en Ciel","dans le secteur"
"229","Route à 1 chaussée","R DES DROITS DE L'HOMME",140,140,"Crèche Arc en Ciel","dans le secteur"
"233","Route à 1 chaussée","AV ALBERT THOMAS",94,75,"Crèche Arc en Ciel","à vérifier"
"240","Route à 1 chaussée","R EUGENE MASSON",314,311,"Crèche Arc en Ciel","à vérifier"
"242","Route à 1 chaussée","ALL VOLTAIRE",59,59,"Crèche Arc en Ciel","dans le secteur"
"246","Route à 1 chaussée","R DE LA FRATERNITE",202,0,"Crèche Arc en Ciel","à vérifier"
"247","Route à 1 chaussée","R HELENE BOUCHER",312,312,"Crèche Arc en Ciel","dans le secteur"
"254","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI",1792,491,"Crèche Arc en Ciel","à vérifier"
"256","Route à 1 chaussée","R GUY DE MAUPASSANT",232,231,"Crèche Arc en Ciel","à vérifier"
"262","Route à 1 chaussée","VLA DU BREUIL",74,74,"Crèche Arc en Ciel","dans le secteur"
"264","Route à 1 chaussée","ALL DES PRIMEVERES",340,340,"Crèche Arc en Ciel","dans le secteur"
"268","Route à 1 chaussée","R DE L'ABBE MAURICE BAURIT",114,114,"Crèche Arc en Ciel","dans le secteur"
"270","Route à 1 chaussée","PL GEORGES LYSSANDRE",881,881,"Crèche Arc en Ciel","dans le secteur"
"277","Route à 1 chaussée","R GUILLAUME APOLLINAIRE",443,442,"Crèche Arc en Ciel","à vérifier"
"278","Route à 1 chaussée","VLA THOREL",78,78,"Crèche Arc en Ciel","dans le secteur"
"286","Route à 1 chaussée","R JULES AUFFRET",355,355,"Crèche Arc en Ciel","dans le secteur"
"287","Route à 1 chaussée","R CESAR DELAINE",134,134,"Crèche Arc en Ciel","dans le secteur"
"289","Route empierrée","SQ DU 8 MAI 1945",165,165,"Crèche Arc en Ciel","dans le secteur"
"294","Route à 1 chaussée","VLA GABRIEL SEAILLES",101,101,"Crèche Arc en Ciel","dans le secteur"
"297","Route à 1 chaussée","R DE PRESSENSE",212,212,"Crèche Arc en Ciel","dans le secteur"
"304","Route à 1 chaussée","R DES FRERES DARTY",204,204,"Crèche Arc en Ciel","dans le secteur"
"308","Route à 1 chaussée","R HENRI ALPY",343,342,"Crèche Arc en Ciel","à vérifier"
"310.1","Route à 2 chaussées","AV ARISTIDE BRIAND",245,217,"Crèche Arc en Ciel","à vérifier"
"317","Route à 1 chaussée","VLA DES CERISES",87,87,"Crèche Arc en Ciel","dans le secteur"
"319","Route à 1 chaussée","R DES 5 ORMES",263,263,"Crèche Arc en Ciel","dans le secteur"
"322","Route à 1 chaussée","R AMEDEE GUYARD",248,248,"Crèche Arc en Ciel","dans le secteur"
"326","Route à 1 chaussée","PL DU 11 NOVEMBRE 1918",164,164,"Crèche Arc en Ciel","dans le secteur"
"328","Route à 1 chaussée","ALL RASPAIL",306,306,"Crèche Arc en Ciel","dans le secteur"
"330","Route à 2 chaussées","AV HENRI BARBUSSE",112,112,"Crèche Arc en Ciel","dans le secteur"
"332","Route à 2 chaussées","AV HENRI BARBUSSE",1268,1268,"Crèche Arc en Ciel","dans le secteur"
"334","Route à 2 chaussées","R CHARLES FERDINAND",344,344,"Crèche Arc en Ciel","dans le secteur"
"335","Route à 2 chaussées","R AUGUSTE POLISSARD",336,336,"Crèche Arc en Ciel","dans le secteur"
"337","Sentier",NA,291,291,"Crèche Arc en Ciel","dans le secteur"
"360","Rond-point","R JULES GUESDE",26,26,"Crèche Arc en Ciel","dans le secteur"
"361","Rond-point","R JULES GUESDE",742,742,"Crèche Arc en Ciel","dans le secteur"
"375.1","Route à 1 chaussée","RTE D'AULNAY",731,28,"Crèche Arc en Ciel","à vérifier"
"377","Route à 2 chaussées","AV MAL DE LATTRE DE TASSIGNY",446,446,"Crèche Arc en Ciel","dans le secteur"
"4","Route à 1 chaussée","RTE DE VILLEMOMBLE",1512,1175,"Cabane des petits","à vérifier"
"7","Route à 1 chaussée","AV ROUGET DE LISLE",147,147,"Cabane des petits","dans le secteur"
"11","Route à 1 chaussée","R DU CHEMIN DE FER PROLONGEE",447,447,"Cabane des petits","dans le secteur"
"12","Route à 1 chaussée","ALL DE L'EGALITE",76,76,"Cabane des petits","dans le secteur"
"13","Sentier","SEN RENE CHAR",76,76,"Cabane des petits","dans le secteur"
"16","Route à 1 chaussée","R DU MIDI",313,313,"Cabane des petits","dans le secteur"
"17","Route à 1 chaussée","ALL DE L'ETOILE",353,353,"Cabane des petits","dans le secteur"
"26","Route empierrée","VLA DES MARRONNIERS",71,71,"Cabane des petits","dans le secteur"
"29","Sentier","1",23,23,"Cabane des petits","dans le secteur"
"30","Route à 1 chaussée","ALL DES LETTRES",198,187,"Cabane des petits","à vérifier"
"31","Route à 1 chaussée","R DE LA LIBERTE",642,642,"Cabane des petits","dans le secteur"
"36.1","Route à 1 chaussée","R ROGER SALENGRO",1112,719,"Cabane des petits","à vérifier"
"37.1","Route à 1 chaussée","R RAOUL",241,2,"Cabane des petits","à vérifier"
"38","Route à 1 chaussée","ALL DES COURTS SILLONS",199,199,"Cabane des petits","dans le secteur"
"39","Route à 1 chaussée","ALL DES ALOUETTES",134,134,"Cabane des petits","dans le secteur"
"41","Escalier","VLA DU BRECHET",68,68,"Cabane des petits","dans le secteur"
"42","Route à 1 chaussée","R DE L'UNION",175,175,"Cabane des petits","dans le secteur"
"43.1","Route à 1 chaussée","CITE DES SAULES",302,2,"Cabane des petits","à vérifier"
"44.1","Route à 1 chaussée","PL DES ECOLES",152,120,"Cabane des petits","à vérifier"
"46.1","Route à 1 chaussée","R NOEMIE",161,1,"Cabane des petits","à vérifier"
"49","Route à 1 chaussée","IMP DU CASTEL",40,40,"Cabane des petits","dans le secteur"
"51","Route à 1 chaussée","R MARTIN LUTHER KING",236,236,"Cabane des petits","dans le secteur"
"53","Chemin","CHE DE MONTREUIL A CLAYE",210,210,"Cabane des petits","dans le secteur"
