"num.photo","jour","adresse","type.d.infraction","type.de.place","observation","enlevé..oui.non.","ville  ","CP","latitude","longitude","result_label","result_score","result_score_next","result_type","result_id","result_housenumber","result_name","result_street","result_postcode","result_city","result_context","result_citycode","result_oldcitycode","result_oldcity","result_district","result_status"
"Ventouse 19","14/10/2024","66 rue du vieux moulin","gênant","- - - autre","ventouse","non","Bondy",93140,"48.896788","2.473809","Rue du Vieux Moulin 93140 Bondy","0.8834926446280991","0.5678060088691795","street","93010_9645",,"Rue du Vieux Moulin","Rue du Vieux Moulin",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 2","14/10/2024","Place Edith Piaf","gênant","- - - autre","ventouse","non","Bondy",93140,"48.778655","1.966966","Place Édith Piaf 78990 Élancourt","0.5567459595959595","0.49221269794721406","street","78208_2190",,"Place Édith Piaf","Place Édith Piaf",78990,"Élancourt","78, Yvelines, Île-de-France",78208,,,,"ok"
"Ventouse 20","14/10/2024","11 avenue de Verdun","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.906112","2.489228","11 Avenue de Verdun 93140 Bondy","0.9669190909090909",,"housenumber","93010_9615_00011",11,"11 Avenue de Verdun","Avenue de Verdun",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 21","14/10/2024","43 rue des 5 ormes","gênant","- - - autre","ventouse","non","Bondy",93140,"48.902339","2.49339","43 Rue des 5 Ormes 93140 Bondy","0.968840909090909",,"housenumber","93010_1520_00043",43,"43 Rue des 5 Ormes","Rue des 5 Ormes",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 22","14/10/2024","39 avenue de Verdun","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.903841","2.491857","39 Avenue de Verdun 93140 Bondy","0.9669190909090909",,"housenumber","93010_9615_00039",39,"39 Avenue de Verdun","Avenue de Verdun",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 23","14/10/2024","4 rue Béranger","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.904447","2.494474","4 Rue Béranger 93140 Bondy","0.9704145454545453",,"housenumber","93010_0670_00004",4,"4 Rue Béranger","Rue Béranger",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 24","14/10/2024","2 rue de préssensé","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.902211","2.494084","2 Rue de Pressensé 93140 Bondy","0.9671518181818181",,"housenumber","93010_7260_00002",2,"2 Rue de Pressensé","Rue de Pressensé",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 25","14/10/2024","52 rue Louis Auguste Blanqui","gênant","- - - autre","ventouse","non","Bondy",93140,"48.899339","2.48303","52 Rue Louis Auguste Blanqui 93140 Bondy","0.9774090909090909",,"housenumber","93010_5170_00052",52,"52 Rue Louis Auguste Blanqui","Rue Louis Auguste Blanqui",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 26","14/10/2024","52 rue Louis Auguste Blanqui","gênant","- - - autre","ventouse","non","Bondy",93140,"48.899339","2.48303","52 Rue Louis Auguste Blanqui 93140 Bondy","0.9774090909090909",,"housenumber","93010_5170_00052",52,"52 Rue Louis Auguste Blanqui","Rue Louis Auguste Blanqui",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 27","14/10/2024","17 rue César Delaine","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.902535","2.496048","17 Rue César Delaine 93140 Bondy","0.9671518181818181",,"housenumber","93010_1450_00017",17,"17 Rue César Delaine","Rue César Delaine",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 3","14/10/2024","30 allée de l'orme","gênant","- - - autre","ventouse","non","Bondy",93140,"48.8909","2.482145","30 Allée de l'Orme 93140 Bondy","0.9701872727272728","0.5020104422604422","housenumber","93010_6830_00030",30,"30 Allée de l'Orme","Allée de l'Orme",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 4","14/10/2024","06 avenue de Metz","gênant","- - - autre","ventouse","non","Bondy",93140,"48.890547","2.478212","6 Avenue de Metz 93140 Bondy","0.9377197402597401",,"housenumber","93010_6195_00006",6,"6 Avenue de Metz","Avenue de Metz",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 5","14/10/2024","09 rue Marcel Dassault","gênant","- - - autre","ventouse","non","Bondy",93140,"48.888202","2.480646","9 Rue Marcel Dassault 93140 Bondy","0.9439472451790634",,"housenumber","93010_6125_00009",9,"9 Rue Marcel Dassault","Rue Marcel Dassault",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 6","14/10/2024","07 rue Jules Ferry","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.893594","2.475322","7 Avenue Jules Ferry 93140 Bondy","0.7544408021390373",,"housenumber","93010_4770_00007",7,"7 Avenue Jules Ferry","Avenue Jules Ferry",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 7","14/10/2024","03 villa Madeleine","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.895562","2.482846","3 Villa Madeleine 93140 Bondy","0.935803855799373",,"housenumber","93010_6110_00003",3,"3 Villa Madeleine","Villa Madeleine",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 8","14/10/2024","76 rue Edouard Vaillant","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.895558","2.484586","76 Rue Edouard Vaillant 93140 Bondy","0.9777527272727272",,"housenumber","93010_3115_00076",76,"76 Rue Edouard Vaillant","Rue Edouard Vaillant",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 9","14/10/2024","13 rue de l'union","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.8968","2.485572","13 Rue de l'Union 93140 Bondy","0.9664136363636363",,"housenumber","93010_9550_00013",13,"13 Rue de l'Union","Rue de l'Union",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 28","12/12/2024","Rue René Char","gênant","- - - autre","ventouse","non","Bondy",93140,"48.89023","2.486816","Rue Rene Char 93140 Bondy","0.9683445454545455",,"street","93010_8152",,"Rue Rene Char","Rue Rene Char",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 29","12/12/2024","Rue René Char","gênant","- - - autre","ventouse","non","Bondy",93140,"48.89023","2.486816","Rue Rene Char 93140 Bondy","0.9683445454545455",,"street","93010_8152",,"Rue Rene Char","Rue Rene Char",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
