ID,Couche,Utilisateur,Observation,adresse,detail
69185,Bâtis à protéger (éléments et ensembles),Seine_st_denis,"Hotel de ville , 
construit en 1969 par les architectes Roux-Dufort et Laval. Le hall d'honneur est orné  d'un vitrail de Max Ingrand",Hotel de ville,construit en 1969 par les architectes Roux-Dufort et Laval. Le hall d'honneur est orné  d'un vitrail de Max Ingrand
69066,Bâtis à protéger (éléments et ensembles),Seine_st_denis,"Gymnase Alain Mimoun
 ancien stade SNCF des Marnaudes 1966, à discuter",Gymnase Alain Mimoun," ancien stade SNCF des Marnaudes 1966, à discuter"
69059,Bâtis à protéger (éléments et ensembles),Seine_st_denis,Halle des Salins,Halle des Salins,NA
68634,Bâtis à protéger (éléments et ensembles),BONDY,"43 rue Saint Louis prolongée
à protéger",43 rue Saint Louis prolongée,à protéger
68633,Bâtis à protéger (éléments et ensembles),BONDY,"42 rue Saint Louis protégé
à protéger",42 rue Saint Louis prolongée,à protéger
68632,Bâtis à protéger (éléments et ensembles),BONDY,"
rue Saint Louis protégée à protéger",25 rue Saint Louis prolongée,à protéger
68631,Bâtis à protéger (éléments et ensembles),BONDY,"12 rue Saint Louis protégée
à protéger",12 rue Saint Louis prolongée,à protéger
68629,Bâtis à protéger (éléments et ensembles),BONDY,"11 rue Saint Louis protégée
à protéger",11 rue Saint Louis prolongée,à protéger
68628,Bâtis à protéger (éléments et ensembles),BONDY,"9 rue Etienne Dolet 
à protéger également comme l'Eglise",9 rue Etienne Dolet ,à protéger également comme l'Eglise
68626,Bâtis à protéger (éléments et ensembles),BONDY,"8 Etienne Dolet
à protéger",8 Etienne Dolet,à protéger
68623,Bâtis à protéger (éléments et ensembles),BONDY,"50 rue du Midi
à protéger",50 rue du Midi,à protéger
68621,Bâtis à protéger (éléments et ensembles),BONDY,"49 rue du Midi
à protéger",49 rue du Midi,à protéger
68620,Bâtis à protéger (éléments et ensembles),BONDY,"
rue du Midi
à protéger",26 rue du Midi,à protéger
68618,Bâtis à protéger (éléments et ensembles),BONDY,"11 rue du Midi
à protéger",11 rue du Midi,à protéger
68616,Bâtis à protéger (éléments et ensembles),BONDY,"15 rue des Peupliers
façade différente de celle qui apparait sur l'inventaire. des travaux ont été effectués. Nécessité de maintenir la protection?",15 rue des Peupliers,façade différente de celle qui apparait sur l'inventaire. des travaux ont été effectués. Nécessité de maintenir la protection?
68613,Bâtis à protéger (éléments et ensembles),BONDY,"18 rue des Limites
à protéger",18 rue des Limites,à protéger
68611,Bâtis à protéger (éléments et ensembles),BONDY,"8 rue des Limites
à protéger",8 rue des Limites,à protéger
68609,Bâtis à protéger (éléments et ensembles),BONDY,"8 David Leder
à protéger",8 David Leder,à protéger
68607,Bâtis à protéger (éléments et ensembles),BONDY,"4 David Leder
 à protéger",4 David Leder, à protéger
68599,Bâtis à protéger (éléments et ensembles),BONDY,"85 Anatole France
à protéger",85 Anatole France,à protéger
68594,Bâtis à protéger (éléments et ensembles),BONDY,"83 anatole France
à protéger",83 anatole France,à protéger
68592,Bâtis à protéger (éléments et ensembles),BONDY,"81 Anatole France
à protéger",81 Anatole France,à protéger
68591,Bâtis à protéger (éléments et ensembles),BONDY,"50 route de Villemomble
à protéger",50 route de Villemomble,à protéger
68590,Bâtis à protéger (éléments et ensembles),BONDY,"
route de Villemomble
 à protéger",22 route de Villemomble,à protéger
68589,Bâtis à protéger (éléments et ensembles),BONDY,"17 route de Villemomble
à protéger",17 route de Villemomble,à protéger
68588,Bâtis à protéger (éléments et ensembles),BONDY,"6 route de Villemomble 
apparait sur le zonage mais n'est pas dans l'inventaire",6 route de Villemomble ,apparait sur le zonage mais n'est pas dans l'inventaire
68587,Bâtis à protéger (éléments et ensembles),BONDY,"3 route de Villemomble
à protéger",3 route de Villemomble,à protéger
68585,Bâtis à protéger (éléments et ensembles),BONDY,"7 rue de la philosophie
à protéger",7 rue de la philosophie,à protéger
68584,Bâtis à protéger (éléments et ensembles),BONDY,"3 rue de la Philosophie
à protéger",3 rue de la Philosophie,à protéger
68583,Bâtis à protéger (éléments et ensembles),BONDY,"69 bis chemin de fer prolongée
à protéger",69 bis chemin de fer prolongée,à protéger
68582,Bâtis à protéger (éléments et ensembles),BONDY,"63 chemin de fer prolongée
 à protéger",63 chemin de fer prolongée, à protéger
68581,Bâtis à protéger (éléments et ensembles),BONDY,"61 chemin de fer prolongé 
 à protéger",61 chemin de fer prolongé , à protéger
68580,Bâtis à protéger (éléments et ensembles),BONDY,"53 chemin de fer prolongée
 à protéger",53 chemin de fer prolongée, à protéger
