ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,cp
40,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Non,,,Non,,,28320
41,Oui,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28310
42,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,45300
43,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28120
44,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45480
45,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45480
46,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28200
47,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,28700
48,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28800
49,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,45300
50,Non,,,,,,,,,,,,,,,,,,,,,,41240
51,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28140
52,Oui,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28150
53,Oui,Non,,,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28140
54,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,Non,,,,,,Non,,,Non,,,41100
55,Non,,,,,,,,,,,,,,,,,,,,,,41110
57,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,45290
58,Non,,,,,,,,,,,,,,,,,,,,,,41270
59,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28310
60,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28150
61,Oui,Je ne sais pas,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41110
62,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,28250
63,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45190
64,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,37110
65,Oui,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45480
66,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45220
67,Oui,Non,,,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41100
68,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28150
69,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;Destruction totale (les tiges sont toutes gelées);,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Non,,,28368
70,Oui,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45170
71,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28210
72,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,37800
73,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Non,,,Non,,,28260
74,Non,,,,,,,,,,,,,,,,,,,,,,45170
75,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,37360
76,Non,,,,,,,,,,,,,,,,,,,,,,28260
77,Oui,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,Non,,,Non,,,45334
78,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,45300
79,Non,,,,,,,,,,,,,,,,,,,,,,45170
80,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41100
81,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Non,,,,,,Non,,,Non,,,28240
82,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,45340
83,Non,,,,,,,,,,,,,,,,,,,,,,41800
84,Non,,,,,,,,,,,,,,,,,,,,,,28270
85,Non,,,,,,,,,,,,,,,,,,,,,,41240
86,Oui,Non,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,37350
87,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,41500
88,Non,,,,,,,,,,,,,,,,,,,,,,28320
89,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Non,,,Non,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45700
90,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,28700
91,Non,,,,,,,,,,,,,,,,,,,,,,28200
92,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Non,,,Non,,,45300
93,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),,Non,,,,,,Non,,,Non,,,41100
94,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28300
95,Oui,Non,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,45380
96,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28200
97,Oui,Non,,,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28140
98,Non,,,,,,,,,,,,,,,,,,,,,,28360
99,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,45230
100,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28210
101,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Je ne sais pas,,,Je ne sais pas,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45270
102,Non,,,,,,,,,,,,,,,,,,,,,,28150
103,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,28200
104,Oui,Non,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28800
105,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45490
106,Non,,,,,,,,,,,,,,,,,,,,,,41240
107,Non,,,,,,,,,,,,,,,,,,,,,,45190
108,Non,,,,,,,,,,,,,,,,,,,,,,41100
109,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28270
110,Oui,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Je ne sais pas,,,Non,,,,,,Non,,,Non,,,28150
111,Non,,,,,,,,,,,,,,,,,,,,,,41100
112,Oui,Je ne sais pas,,,Je ne sais pas,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,,,,Je ne sais pas,,,Non,,,28130
113,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45170
114,Oui,Je ne sais pas,,,Je ne sais pas,,,Oui,,,Je ne sais pas,,,,,,Je ne sais pas,,,Je ne sais pas,,,28160
115,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28270
116,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,28400
117,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de plantes;,38310
118,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,45390
119,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45300
120,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45130
121,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45390
122,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45170
123,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45520
124,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45130
125,Oui,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28150
126,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,37370
127,Non,,,,,,,,,,,,,,,,,,,,,,28330
128,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,28140
129,Non,,,,,,,,,,,,,,,,,,,,,,28800
130,Non,,,,,,,,,,,,,,,,,,,,,,41360
131,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28260
132,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,37310
133,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,28160
134,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,37350
135,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non,,,45490
136,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Non,,,La culture n'était pas semée lors du gel,,,45410
137,Oui,Non,,,Je ne sais pas,,,Non,,,Non,,,,,,Non,,,Non,,,28140
138,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,41360
139,Oui,Je ne sais pas,,,Non,,,Je ne sais pas,,,Non,,,,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,28240
140,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28200
141,Non,,,,,,,,,,,,,,,,,,,,,,37330
142,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28140
143,Non,,,,,,,,,,,,,,,,,,,,,,28190
144,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28220
145,Non,,,,,,,,,,,,,,,,,,,,,,37500
146,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,41190
147,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28800
148,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28480
149,Oui,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28160
150,Non,,,,,,,,,,,,,,,,,,,,,,36600
151,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28160
152,Non,,,,,,,,,,,,,,,,,,,,,,28800
153,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,36100
154,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36000
155,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non,,,36500
156,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,Non,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,18290
157,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,28360
158,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,18160
159,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36110
160,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,18290
161,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,36210
162,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36100
163,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,,,,Je ne sais pas,,,Non,,,45520
164,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,28150
