ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,cp
246,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45170
247,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45220
248,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28150
249,Non,,,,,,,,,,,,,,,,,,,,,,77830
250,Non,,,,,,,,,,,,,,,,,,,,,,77970
251,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28140
252,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28310
253,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,41240
254,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,18500
255,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,36150
256,Non,,,,,,,,,,,,,,,,,,,,,,36400
257,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,18800
258,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28150
259,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28150
260,Oui,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,77970
261,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,77760
262,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,45300
