"Nom.du.site","Tronçon","Nombre.de.places","PMR","Livraison","Observations","zone","NATURE","NOM","NOM2"
"Avenue de Rosny","Entre Baudin et Gabriel Seailles","NA",2,1,,"mainguy","Avenue","DE ROSNY","ROSNY"
"Avenue Rouget de l'Isle","Voie entière","13",0,0,,"saule blanc","Avenue","ROUGET DE L'ISLE","ROUGET DE L'ISLE"
"Rue Rudyard Kipling","Voie entière","3",0,0,"0","remise à jorelle","Rue","RUDYARD KIPLING","RUDYARD KIPLING"
"Allée Rulière","Voie entière","25",0,0,,"mainguy","Allée","RULIÈRE","RULIÈRE"
"Rue Sainte Barbe","Voie entière","12",1,0,,"mainguy","Rue","SAINTE BARBE","SAINTE BARBE"
"Rue du Sergent Bobillot","Voie entière","36",0,0,,"mainguy","Rue","DU SERGENT BOBILLOT","SERGENT BOBILLOT"
"Rue Simone Veil",,"Travaux en cours",0,0,,"orange","Rue","SIMONE VEIL","SIMONE VEIL"
"Rue de la Solidarité","Voie entière","34",0,0,,"saule blanc","Rue","DE LA SOLIDARITÉ","SOLIDARITÉ"
"Rue Théodore Monod","Voie entière","8",0,0,"0","remise à jorelle","Rue","THÉODORE MONOD","THÉODORE MONOD"
"Villa Thorel","Voie entière","7",0,0,,"mainguy","Villa","THOREL","THOREL"
"Rue de l'Union","Voie entière","20",0,0,,"saule blanc","Rue","DE L'UNION","UNION"
"Rue de Varsovie","Voie entière","28",0,0,,"mare à la veuve","Rue","DE VARSOVIE","VARSOVIE"
"Rue du Vieux Château","Voie entière","10",0,0,,"saule blanc","Rue","DU VIEUX CHÂTEAU","VIEUX CHÂTEAU"
"Route de Villemomble"," entre Rampe du Pont et allée de l'Étoile","20",1,0,,"mare à la veuve","Route","DE VILLEMOMBLE","VILLEMOMBLE"
"Rue Yvonne","Voie entière","25",0,0,,"mainguy","Rue","YVONNE","YVONNE"
"Avenue de Belfort","Voie entière",51,0,0,,"mainguy","Avenue","DE BELFORT","BELFORT"
"Avenue de l’Est","Voie entière",57,0,0,,"mainguy","Avenue","DE L’EST","EST"
