texte,livret,num
Rue Salengro 89,1,122
Rue Salengro 92,1,123
Rue Salengro 100,1,124
Rue Salengro 102,1,125
Rue Salengro 104,1,126
Rue Salengro 106,1,127
Rue Salengro 112,1,128
Rue Salengro 114,1,129
Rue Salengro 126,1,130
Allee du moulin,1,131
Rue Pasteur 8,1,132
Rue Bobillot 5,2,133
Rue Bobillot 6,2,134
Rue Bobillot 14,2,135
Rue Jules Lelong 3,2,136
Rue Jules Lelong 4,2,137
Rue Jules Lelong 5,2,138
Rue Jules Lelong 6,2,139
Rue Jules Lelong 7,2,140
Rue Jules Lelong 8,2,141
Rue Jules Lelong 9,2,142
Rue Jules Lelong 10,2,143
Rue Jules Lelong 11,2,144
Rue Jules Lelong 14,2,145
Rue Jules Lelong 15,2,146
Rue Jules Lelong 21,2,147
Rue Vieux Moulin 7,2,148
Rue Baudin 67,2,149
Rue Baudin 69,2,150
Rue Baudin 77,2,151
Rue Baudin 97,2,152
Rue Baudin 101,2,153
Rue Baudin 116,2,154
Rue Baudin 126,2,155
Rue Baudin 127,2,156
Rue Baudin 128,2,157
Rue Baudin 131,2,158
Rue Baudin 133,2,159
Rue Baudin 134,2,160
Rue Baudin 135-137,2,161
Rue Baudin 136,2,162
Rue Baudin 139,2,163
Rue Baudin 141,2,164
Rue Baudin 142,2,165
Rue Baudin 143,2,166
Rue Baudin 145,2,167
Rue Baudin 147,2,168
Rue Baudin 149,2,169
Rue de la fraternité 1,2,170
Rue de la fraternité 2,2,171
Rue de la fraternité 8,2,172
Rue de la fraternité 11,2,173
rue de l’égalité 8,2,174
rue de l’égalité 10,2,175
rue de l’égalité 14bis,2,176
rue de l’égalité 17,2,177
rue de l’égalité 18,2,178
rue de l’égalité 22,2,179
Rue Beauregard 3,2,180
Rue Beauregard 3bis,2,181
Rue Beauregard 4,2,182
Rue Beauregard 7,2,183
Rue Beauregard 9bis,2,184
Rue Beauregard 10,2,185
Rue Beauregard 11,2,186
Rue Beauregard 12,2,187
Rue Beauregard 13,2,188
Rut Beauregard 14,2,189
Rue Beauregard 15,2,190
Rue Beauregard 19,2,191
Rue Michelet 3,2,192
Rue Michelet 3 bis,2,193
Rue Michelet 19,2,194
Rue Michelet 19bis,2,195
Rue Michelet 19ter,2,196
Rue Michelet 21,2,197
Rue Michelet 23bis,2,198
Rue Michelet 28,2,199
Rue Michetet 29,2,200
Rue Michetet 30,2,201
Rue Michetet 31,2,202
Rue Michelet 33,2,203
Rue Michelet 35,2,204
Rue Michelet 39,2,205
Rue Michelet 42,2,206
Rue Michetet 43,2,207
Rue Michelet 45,2,208
Rue Michelet 48,2,209
Rue Michelet 53,2,210
Rue Michelet 57,2,211
Rue Michelet 60,2,212
Rue Yvonne 4,2,213
Rue Yvonne 6,2,214
Rue Yvonne 6bis,2,215
Rue Yvonne 7,2,216
Rue Yvonne 8,2,217
Rue Yvonne 9,2,218
Rue Yvonne 12,2,219
Rue Yvonne 13,2,220
Rue Yvonne 14,2,221
Rue Yvonne 15,2,222
Rue Yvonne 15bis,2,223
Rue Yvonne 17,2,224
Rue Yvonne 19,2,225
Rue Yvonne 19bis,2,226
Rue Yvonne 22,2,227
Rue Yvonne 24,2,228
Rue Yvonne 26,2,229
Rue Yvonne 30,2,230
Rue Yvonne 32,2,231
Rue Yvonne 34,2,232
Rue Yvonne 36,2,233
Rue Jean Jaures 1,2,234
Rue Jean Jaures 9,2,235
Rue Jean Jaures 9bis,2,236
Rue Jean Jaures 9ter,2,237
Rue Jean Jaures 11,2,238
Rue Jean Jaures 13,2,239
Rue Jean Jaures 14,2,240
Rue Jean Jaures 16,2,241
Rue Jean Jaures 24,2,242
Rue Jean Jaures 24bis,2,243
Rue Jean Jaures 26,2,244
Rue Jean Jaures 27,2,245
Rue Jean Jaures 22,2,246
Rue Jean Jaures 34,2,247
Rue Jean Jaures 37,2,248
Rue Jean Jaures 40,2,249
Rue Jean Jaures 41,2,250
Rue Jean Jaures 42,2,251
Rue Jean Jaures 47,2,252
Rue Jean Jaures 48,2,253
Rue Jean Jaures 53,2,254
Rue Jean Jaures 57,2,255
Rue Jean Jaures 61,2,256
Rue du Breuil 9,2,257
Rue du Breuil 11,2,258
Rue du Breuil 17,2,259
Rue du Breuil 18,2,260
Rue du Breuil 19,2,261
Rue du Breuil 20,2,262
Rue du Breuil 21,2,263
Rue du Breuil 22,2,264
Rue du Breuil 26,2,265
Rue du Breuil 27,2,266
Rue du Breuil 29,2,267
Rue du Breuil 31,2,268
Rue du Breuil 32,2,269
Rue du Breuil 34,2,270
Rue du Breuil 35,2,271
Rue du Breuil 36,2,272
Rue du Breuil 38,2,273
Rue du Breuil 39,2,274
Rue du Breuil 40,2,275
Rue du Breuil 44,2,276
Rue du Breuil 45,2,277
Rue du Breuil 48,2,278
Rue du Breuil 49,2,279
Rue du Breuil 53,2,280
Rue du Breuil 54,2,281
Rue du Breuil 56,2,282
Rue du Breuil 57,2,283
Rue du Breuil 59,2,284
Rue du Breuil 67,2,285
Rue du Breuil 69,2,286
Ville du Breuil 4,2,287
Ville du Breuil 5,2,288
Ville du Breuil 6,2,289
Rue de Cronstadt 1,2,290
Rue de Cronstadt 1bis,2,291
Rue de Cronstadt 2,2,292
Rue de Cronstadt 3,2,293
Rue de Cronstadt 5,2,294
Rue de Cronstadt 6,2,295
Rue de Cronstadt 8,2,296
Rue de Cronstadt 9,2,297
Rue de Cronstadt 10,2,298
Rue de Cronstadt 11,2,299
Rue de Cronstadt 16,2,300
Rue de Cronstadt 17,2,301
Rue de Cronstadt 18,2,302
Rue de Cronstadt 19,2,303
Rue de Cronstadt 20,2,304
Rue de Cronstadt 22,2,305
Awenue de Rosny 167,2,306
Avenue de Rosny 179,2,307
Avenue de Rosny 185bis,2,308
Rue des Droits de l’homme 01_05,2,309
Rue des Droits de l'homme 4,2,310
Rue des Droits de l'homme 6,2,311
Rue des Droits de l'homme 8,2,312
Rue des Droits de l'homme 9,2,313
Rue des Droits de l'homme 10,2,314
Rue des Droits de l'homme 14,2,315
Rue des Droits de l'homme 15,2,316
Rue des Droits de l'homme 16,2,317
Rue des Droits de l'homme 17,2,318
Rue des Droits de l'homme 12,2,319
Rue des Droits de l'homme 13,2,320
Rue des Droits de l'homme 11,2,321
Rue des Droits de l'homme 11bis,2,322
Rue des Droits de l'homme 20,2,323
Rue Rulhière 4,2,324
Rue Rulhière 4bis,2,325
Rue Rulhière 5,2,326
Rue Rulhière 5bis,2,327
Rue Rulhière 12,2,328
Rue Rulhière 13,2,329
Rue Rulhière 19,2,330
rue Phileas collardeau 23,2,331
rue Phileas collardeau 24,2,332
rue Phileas collardeau 25,2,333
Rue Paul Vaillant Couturier 4bis 6,2,334
Rue Paul Vaillant Couturier 8,2,335
Rue Paul Vaillant Couturier 9 11,2,336
Rue Paul Vaillant Couturier,2,337
Rue Paul Vaillant Couturier,2,338
Rue Paul Vaillant Couturier 13,2,339
Rue Paul Vaillant Couturier 15,2,340
Rue Paul Vaillant Couturier 17,2,341
Rue Paul Vaillant Couturier 18,2,342
Rue Paul Vaillant Couturier 20,2,343
Rue Paul Vaillant Couturier 22,2,344
Rue Paul Vaillant Couturier 24,2,345
Rue Paul Vaillant Couturier 25,2,346
Rue Paul Vaillant Couturier 26,2,347
Rue Paul Vaillant Couturier 27,2,348
Rue Paul Vaillant Couturier 25,2,349
Rue Paul Vaillant Couturier 30,2,350
Rue Paul Vaillant Couturier 31,2,351
Rue Paul Vaillant Couturier 33,2,352
Rue Paul Vaillant Couturier 32,2,353
Ecole Olympe de Gouges 13-15,3,354
Avenue Marx Dormoy 7,3,355
Avenue Suzanne Buisson 25,3,356
Avenue Jean Koulin 34,3,357
Route d‘Aulnay 66,3,358
Route d'Aulnay 87 a 109,3,359
Rue des Floralies,3,360
Rue Mozart,3,361
Les Galiottes,3,362
Avenue de Verdun 8,3,363
Avenue de Verdun 13,3,364
Place Neuburger,3,365
Rue Louis Auguste Blanqui 238,3,366
Rue Louis Auguste Blanqui 240,3,367
Rue Louis Auguste Blanqui 242,3,368
Avenue Anatole France 36,3,369
Avenue Anatole France 38,3,370
Avenue Anatole France 40,3,371
Avenue Anatole France 42,3,372
Avenue Anatole France 42bis,3,373
Avenue Anatole France 46ter,3,374
Avenue Anatole France 50,3,375
Avenue Anatole France 52,3,376
Avenue Anatole France 52 bis,3,377
Avenue Anatole France 54,3,378
Avenue Anatole France 56,3,379
Avenue Anatole France 58,3,380
Avenue Anatole France 60,3,381
Avenue Anatole France 64,3,382
Avenue Anatole France 62,3,383
Avenue des sciences 5,3,384
Avenue des sciences 9,3,385
Avenue des sciences 13 bis,3,386
Avenue des sciences 15,3,387
Avenue des sciences 21,3,388
Avenue des sciences 23,3,389
Avenue des sciences 25,3,390
Avenue des sciences 33,3,391
Avenue des sciences 35,3,392
Avenue des sciences 37,3,393
Avenue des sciences 53bis,3,394
Avenue des sciences 55,3,395
Avenue des sciences 57,3,396
Allee des Arts 15,3,397
Allee des Arts 14B,3,398
Allee des Arts 6,3,399
Allee des Arts 8,3,400
Allee des Arts 4,3,401
Rue Edouard Vaillant 230,3,402
Route de Villenvomble 20,3,403
Route de Villemomble 42,3,404
Route de Villenomble Piscine Tournesol,3,405
Route de Villenvomble Ecole Pierre Cure,3,406
Rue Etienne Dolet 5bis,3,407
Rue de Varsovie 17,3,408
Avenue de Nancy 5,3,409
Avenue de Nancy 5 bis,3,410
Avenue de Nancy 6,3,411
Avenue de Nancy 7,3,412
Avenue de Nancy 8,3,413
Avenue de Nancy 9,3,414
Avenue de Nancy 10,3,415
Avenue de Nancy 14,3,416
Avenue de Nancy 14bis,3,417
Avenue de Nancy 16,3,418
Avenue de Nancy 19,3,419
Allee des Hetres 3,3,420
Allée des Hétres 12,3,421
Rue des Peupliers 4,3,422
Rue des Peupliers 5,3,423
Rue des Peupliers 6,3,424
Rue des Peupliers 8,3,425
Rue des Peupliers 15,3,426
Rue des Peupliers 24,3,427
Rue des Peupliers 26,3,428
Rue des Peupliers 31,3,429
Rue des Peupliers 32,3,430
Allée de l'Orme 3,3,431
Allée de l'Orme 7,3,432
Allée de l'Orme 9,3,433
Allée de l'Orme 10,3,434
Allée de l'Orme 12,3,435
Allée de l'Orme 13,3,436
Allée de l'Orme 45,3,437
Allée de l'Orme 17,3,438
Allée de l'Orme 21,3,439
Allée de l'Orme 24,3,440
Allée de l'Orme 26,3,441
Allée de l'Orme 28,3,442
Ecole maternelle Jules Ferry,3,443
Ecoles élémentaires Jules Ferry et Jean Rostand,3,444
