"","NATURE","NOM","Longueur","NOMnumero","cadastre","usage","incoherence"
"123","3","3",26.155319232389,"ALL DOMINIQUE INGRES","oui","privé",NA
"124","ALL","DES GLAIEULS",78.2011962907854,NA,"oui","privé",NA
"125","IMP","DE LA PARISIENNE",72.4356956207163,NA,"oui","privé",NA
"126","R","DU CLOS VAILLANT",145.699917918531,NA,"oui","privé",NA
"127","AV","MARIE CURIE",203.084460130413,NA,"non","privé","incohérence"
"128","R","DU BEL AIR",150.57373608929,NA,"non",NA,NA
"129","R","DES FLORALIES",113.616900151154,NA,"oui","privé",NA
"130","AV","DE ROSNY",557.816917479084,NA,"non",NA,NA
"131","R","JEAN-MARIE TJIBAOU",125.733955039732,NA,"oui",NA,NA
"132","IMP","GEORGES BRASSENS",60.6641795044501,NA,"non",NA,NA
"133","ALL","DES HORTENSIAS",77.552607055476,NA,"oui","privé",NA
"134","VLA","LAVIGNE",61.9490955009992,NA,"non",NA,NA
"135","AV","DE L'EST",499.239502215579,NA,"oui",NA,NA
"136","R","PHILEAS COLLARDEAU",213.118654796204,NA,"non",NA,NA
"137","PL","DE LA DIVISION LECLERC",103.083004307655,NA,"oui",NA,NA
"138","ALL","GEORGES SAND",310.739245606797,NA,"oui",NA,NA
"139","ALL","CLAUDE DEBUSSY",103.893922643003,NA,"oui","privé",NA
"140","ALL","PABLO NERUDA",188.75177064704,NA,"oui",NA,NA
"141","R","DE CRONSTADT",147.420452691312,NA,"non",NA,NA
"142","R","GATINE",178.188341105438,NA,"non",NA,NA
"143","R","DES GAZELLES",173.850769339638,NA,"oui",NA,NA
"144","SEN","BLERIOT",52.3506051339722,NA,"non",NA,NA
"145","ALL","DES AZALEES",29.1336575121042,NA,"oui","privé",NA
"146","PL","DE LA REPUBLIQUE",219.96050422053,NA,"oui",NA,NA
"147","R","BEAUREGARD",173.572336900742,NA,"non",NA,NA
"148","R","DU LEVANT",319.333024119981,NA,"non",NA,NA
"149","ALL","DU RENDEZ VOUS",358.775103189633,NA,"non",NA,NA
"150","AV","DE METZ",446.684016223062,NA,"non",NA,NA
"151","ALL","LOUISE",68.9490391519638,NA,"non",NA,NA
"152","16","16",75.2946266724414,"ALL DES PENSEES","oui",NA,NA
"153","PAS","DES DEUX VILLES",203.603368492088,NA,"non",NA,NA
"154","R","JACQUELINE AURIOL",263.470152561212,NA,"oui","privé",NA
"155","R","FRANCOIS COLLET",205.00373008025,NA,"non",NA,NA
"156","R","DE MEAUX",376.858554740463,NA,"non",NA,NA
"157","R","DU FEA CHEVAL",188.530269740564,NA,"oui","privé",NA
"158","R","CHARLES MAGNE",228.350112279538,NA,"oui","privé",NA
"159","R","EUGENE VARLIN",177.362517060259,NA,"non",NA,NA
"160","IMP","DES VIOLETTES",41.432774628947,NA,"oui","privé",NA
"161","R","DU VIEUX CHATEAU",108.240519215302,NA,"non",NA,NA
"162","4","4",53.2954969951782,"ALL MANET","oui","privé",NA
"163","ALL","DES TULIPES",61.1879012422215,NA,"oui","privé",NA
"164","R","HENRI MOULY",314.716279667809,NA,"oui","privé",NA
"165","ALL","ESPERANTO",80.8277026221489,NA,"non",NA,NA
"166","ALL","DES PINSONS",140.59566576911,NA,"oui",NA,NA
"167","ALL","DES ANEMONES",115.598127960245,NA,"oui","privé",NA
"168","ALL","DES LAURIERS",67.0429712945328,NA,"oui","privé",NA
"169","R","ARTHURIMBAUD",142.97899410917,NA,"non",NA,NA
"170","R","DE LA SOLIDARITE",362.760799243601,NA,"non",NA,NA
"171","14","14",114.437369925852,"R RENE DUMONT","non","privé","incohérence"
"172","R","RABELAIS",178.768010802663,NA,"oui","privé",NA
"173","ALL","MONTPLAISIR",168.959478677403,NA,"oui",NA,NA
"174","AV","ANATOLE FRANCE",709.527515902529,NA,"oui",NA,NA
"175","AV","DE VERDUN",615.401045566181,NA,"non",NA,NA
"176","ALL","RACINE",327.76936503955,NA,"non",NA,NA
"177","ALL","DES LILAS",151.163452326431,NA,"oui","privé",NA
"178","ALL","JEAN COURTADE",90.1103767610429,NA,"non","privé","incohérence"
"179","ALL","DE LA CONCORDE",232.485375883851,NA,"non",NA,NA
"180","MAIL","PANTAGRUEL",140.891802458307,NA,"oui",NA,NA
"181","R","DU BREUIL",459.032750581272,NA,"non",NA,NA
"182","R","RUDYARD KIPLING",56.1101052481117,NA,"non","privé","incohérence"
"183","R","DU VERGER",186.783581244354,NA,"oui",NA,NA
"184","ALL","ANNE SYLVESTRE",85.6133023046573,NA,"oui","public",NA
"185","AV","DENISE",133.520073397571,NA,"non",NA,NA
"186","AV","DUMESNIL",186.471475910343,NA,"non",NA,NA
"187","R","DE VERSAILLES",320.94497297278,NA,"non",NA,NA
"188","R","PIERRE BROSSOLETTE",111.705865085944,NA,"non",NA,NA
"189","ALL","SURCOUF",53.9280008574368,NA,"non",NA,NA
"190","R","RENE CHAR",435.655510579113,NA,"non",NA,NA
"191","R","MARCEL DASSAULT",648.358768825499,NA,"oui",NA,NA
"192","R","DE L'EGALITE",188.994212717646,NA,"non",NA,NA
"193","R","COMPAGNON",192.161979000737,NA,"non",NA,NA
"194","ALL","SAN MARTIN",85.318800427522,NA,"non",NA,NA
"195","ALL","ALICE",414.051658663952,NA,"non","",NA
"196","R","DU POTAGER",380.787585796522,NA,"oui","privé",NA
"197","AV","JULES FERRY",219.380403300951,NA,"non",NA,NA
"198","R","DU CYCLE",226.052695484086,NA,"non",NA,NA
"199","R","YVONNE",233.97959003025,NA,"non",NA,NA
"200","AV","GENEVIEVE ANTHONIOZ DE GAULLE",595.576820446723,NA,"oui","privé",NA
"201","R","JULES LELONG",114.100646959907,NA,"non",NA,NA
"202","AV","GUEUGNON",221.902665138579,NA,"non",NA,NA
"203","5","5",32.6422689660584,"ALL RAPHAEL","oui",NA,NA
"204","R","MARGUERITE DURAS",165.659649605561,NA,"non","privé","incohérence"
"205","R","PAUL RENAUD",300.541874042791,NA,"oui",NA,NA
"206","ALL","DES BOSQUETS",64.3529331116392,NA,"non",NA,NA
"207","R","FRANCOIS MARTIN",399.152781486341,NA,"oui","privé",NA
"208","R","DU VIEUX MOULIN",310.777319782927,NA,"non",NA,NA
"209","IMP","DU CASTEL",99.0771138966764,NA,"oui","privé",NA
"210","ALL","DE LA PAIX",281.129494866379,NA,"non",NA,NA
"211","R","HENRI DUNANT",306.94213354381,NA,"oui","privé",NA
"212","ALL","JOSE MARTI",109.161386098981,NA,"oui",NA,NA
"213","13","13",128.362403197423,NA,"oui",NA,NA
"214","ALL","DES SYCOMORES",158.99727907051,NA,"oui","privé",NA
"215","R","DU MOLERET",61.7341915473275,NA,"non",NA,NA
"216","IMP","FERNAND POTTIER",74.835419420811,NA,"non",NA,NA
"217","R","ROBERT DOUVILLEZ",349.768233366407,NA,"non",NA,NA
"218","ALL","DES COLOMBES",89.2024603270891,NA,"oui",NA,NA
"219","R","PAULINE ROGER",216.687579282257,NA,"non",NA,NA
"220","AV","DES PLATANES",194.33785014747,NA,"non",NA,NA
"221","ALL","DE FURCI",272.651188230119,NA,"oui","privé",NA
"222","ALL","DES VIGNES",151.350298923352,NA,"non",NA,NA
"223","AV","DE L'IDEAL",281.319241980377,NA,"non",NA,NA
"224","AV","DE LA REPUBLIQUE",563.662010158983,NA,"non",NA,NA
"225","R","DESIRE LEON",138.989388083614,NA,"non",NA,NA
"226","ALL","ANDREA",273.368877655271,NA,"non",NA,NA
"227","R","DES DROITS DE L'HOMME",140.401670650969,NA,"non",NA,NA
"228","ALL","C GOUNOD",102.396810970678,NA,"oui","privé",NA
"229","R","DAVID LEDER",311.839367245802,NA,"non",NA,NA
"230","R","JULES LECOMTE",191.078881008897,NA,"non",NA,NA
"231","AV","ALBERT THOMAS",93.9709308032197,NA,"non",NA,NA
"232","CH","DE LA MARE A LA VEUVE PROLONGEE",277.450829058955,NA,"oui",NA,NA
"233","R","ARTHUGROUSSIER",281.236576092446,NA,"oui",NA,NA
"234","6","6",24.8364651267228,"ALL GOYA","oui","privé",NA
"235","R","DES ESCHOLIERS",126.151221168658,NA,"oui",NA,NA
"236","AV","DE LA VILLEGIATURE",351.850855939,NA,"non",NA,NA
"237","R","BOREL",216.414079467169,NA,"non",NA,NA
"238","R","EUGENE MASSON",313.925816464287,NA,"non",NA,NA
"239","R","SAINT-LOUIS",96.2783886496772,NA,"non",NA,NA
"240","ALL","VOLTAIRE",59.4846198607418,NA,"non",NA,NA
"241","ALL","DES HETRES",185.212907590994,NA,"non","",NA
"242","R","ERIC TABARLY",122.655468001921,NA,"non",NA,NA
"243","R","HENRI ROL TANGUY",186.827101982889,NA,"oui","privé",NA
"244","R","DE LA FRATERNITE",202.055726438079,NA,"non",NA,NA
"245","R","HELENE BOUCHER",311.593644056177,NA,"oui","privé",NA
"246","ALL","DU MOULIN",166.274945075194,NA,"oui",NA,NA
"247","RPE","DU PONT",108.369583757854,NA,"non",NA,NA
"248","R","BORDIER",369.535880959049,NA,"non",NA,NA
"249","R","LUCIE AUBRAC",325.357489252898,NA,"oui","privé",NA
"250","PL","DE LA GARE",79.5456237494048,NA,"oui",NA,NA
"251","7","7",63.0519783057355,"ALL MILLET","oui","privé",NA
"252","AV","CLARA GRANDET",216.775828152844,NA,"non",NA,NA
"253","R","GUY DE MAUPASSANT",232.07562253175,NA,"non",NA,NA
"254","ALL","SIMON BOLIVAR",152.117476507883,NA,"non",NA,NA
"255","R","DE LA BUTTE",164.724474267151,NA,"non",NA,NA
"256","AV","DE NANCY",228.655563877832,NA,"non",NA,NA
"257","ALL","DES DAHLIAS",141.584133112563,NA,"oui","privé",NA
"258","IMP","DE LA LIBERTE",30.2107786185686,NA,"non",NA,NA
"259","VLA","DU BREUIL",73.8655312393262,NA,"non","privé","incohérence"
"260","AV","DE LA PARISIENNE",265.165852703349,NA,"oui","",NA
"261","ALL","DES PRIMEVERES",339.806000456992,NA,"oui","privé",NA
"262","ALL","MARIE LAURENCIN",58.3789345569536,NA,"oui","privé",NA
"263","CH","DU PONT",239.229006042316,NA,"non",NA,NA
"264","RPT","DU VERGER",129.229893993868,NA,"non",NA,NA
"265","R","DE L'ABBE MAURICE BAURIT",114.186509944998,NA,"oui","privé",NA
"266","IMP","JEAN WIENER",38.4759665247543,NA,"non",NA,NA
"267","PL","GEORGES LYSSANDRE",881.292537841677,NA,"oui","privé",NA
"268","PL","ALBERT THOMAS",238.105994706215,NA,"oui",NA,NA
"269","IMP","CARNOT",70.164164642666,NA,"non",NA,NA
"270","AV","LEON BLUM",587.862827553617,NA,"non",NA,NA
"271","R","DE PLAISANCE",175.635426092011,NA,"non",NA,NA
"272","R","DU PROGRES",291.852818266865,NA,"non",NA,NA
"273","ALL","JOACHIM DU BELLAY",78.5512477161796,NA,"oui","privé",NA
"274","R","GUILLAUME APOLLINAIRE",443.082013478439,NA,"oui","privé",NA
"275","VLA","THOREL",78.2627156057612,NA,"non",NA,NA
"276","R","DU LION",164.560023189848,NA,"non",NA,NA
"277","R","LAUG",116.404982711191,NA,"non",NA,NA
"278","AV","JEAN LEBAS",212.009141488617,NA,"non",NA,NA
"279","R","ALEXANDRA DAVID NEEL",259.099918684602,NA,"oui","privé",NA
"280","ALL","DES SORBIERS",151.578052285648,NA,"oui","privé",NA
"281","9","9",31.2771482076868,"IMP HAYDN","oui","privé",NA
"282","IMP","JACQUES BREL",163.196320814332,NA,"non",NA,NA
"283","R","JULES AUFFRET",355.017403505197,NA,"non",NA,NA
"284","R","CESADELAINE",134.068115895342,NA,"non",NA,NA
"285","ALL","DU GROS BUISSON",134.390497313665,NA,"non",NA,NA
"286","SQ","DU 8 MAI 1945",165.402818356158,NA,"oui",NA,NA
"287","AV","BLERIOT",187.664514493641,NA,"non",NA,NA
"288","IMP","DE LA SOLIDARITE",28.908476265553,NA,"oui","privé",NA
"289","ALL","DES SYLPHES",171.655121977801,NA,"oui",NA,NA
"290","ALL","DES FOUGERES",68.7132268678717,NA,"oui","privé",NA
"291","VLA","GABRIEL SEAILLES",100.588154521869,NA,"oui","privé",NA
"292","R","PAUL ELUARD",177.968303096231,NA,"oui","privé",NA
"293","ALL","BECQUEREL",270.282793030099,NA,"oui",NA,NA
"294","R","DE PRESSENSE",212.402857640908,NA,"non",NA,NA
"295","R","SIMONE DE BEAUVOIR",327.933958913008,NA,"oui","privé",NA
"296","R","JOE CARMAN",203.731308607591,NA,"non",NA,NA
"297","ALL","DE LA JARDINIERE",269.432446486221,NA,"non",NA,NA
"298","R","DE PANURGE",103.007635947641,NA,"oui",NA,NA
"299","AV","MAURICE BENHAMOU",302.598684449205,NA,"oui",NA,NA
"300","R","EDOUARD VAILLANT",1606.61903967432,NA,"non",NA,NA
"301","R","DES FRERES DARTY",204.1509508475,NA,"oui",NA,NA
"302","AV","DE L'ESPERANCE",283.096260742093,NA,"non",NA,NA
"303","CH","DU MERLAN",104.156539195548,NA,"non",NA,NA
"304","10","10",22.8711608802061,"ALL LOUISE WEISS","oui","privé",NA
"305","R","HENRI ALPY",342.491204350955,NA,"non",NA,NA
"306","R","GEORGES GRAFF",176.923985413005,NA,"non",NA,NA
"307","R","MARCEL PAUL",338.823141553271,NA,"non",NA,NA
"308","AV","CADERAS",206.378729524818,NA,"non",NA,NA
"309","R","DES PEUPLIERS",185.936445732816,NA,"non",NA,NA
"310","12","12",80.1946203281783,"ALL LOUISE MICHEL","oui","privé",NA
"311","R","HENRY ESPAULLARD",75.2843532347827,NA,"non",NA,NA
"312","ALL","DU MUGUET",129.316358995586,NA,"oui",NA,NA
"313","VLA","DES CERISES",87.468508618771,NA,"oui","privé",NA
"314","R","DU CHAMPART",81.3004151798334,NA,"non",NA,NA
"315","R","DES 5 ORMES",263.395798463298,NA,"non",NA,NA
"316","ALL","CORNEILLE",349.668363139355,NA,"non",NA,NA
"317","8","8",44.9755489133986,"ALL WATTEAU","oui","privé",NA
"318","R","AMEDEE GUYARD",248.347260628147,NA,"non",NA,NA
"319","ALL","VICTOHUGO",32.6154181394177,NA,"oui","privé",NA
"320","R","FONTAINE",435.438157724783,NA,"oui",NA,NA
"321","R","PIERRE DE RONSARD",57.6704628499786,NA,"oui",NA,NA
"322","PL","DU 11 NOVEMBRE 1918",164.111224658476,NA,"oui",NA,NA
"323","ALL","DE L'ORME",291.308794986342,NA,"non",NA,NA
"324","ALL","RASPAIL",305.673692674038,NA,"non",NA,NA
"325","R","DU 4 SEPTEMBRE",387.117951051059,NA,"non",NA,NA
"326","ALL","DES GLYCINES",62.1421136897251,NA,"oui","privé",NA
"327","AV","LEON JOUHAUX",382.913089115495,NA,"oui","privé",NA
"328","R","CHARLES FERDINAND",344.351714417189,NA,"oui",NA,NA
"329","R","AUGUSTE POLISSARD",335.769715738059,NA,"oui",NA,NA
"330","R","ANDREI SAKHAROV",1133.12759152515,NA,"oui",NA,NA
"331","Sans","Sans nom",290.740283380138,NA,"oui",NA,NA
"332","Sans","Sans nom",122.822444910106,NA,"oui",NA,NA
"333","R","SUZANNE BLIN",74.4710010667887,NA,"oui",NA,NA
"334","Sans","Sans nom",135.271634718202,NA,"oui",NA,NA
"335","Sans","Sans nom",109.680143759448,NA,"oui",NA,NA
"336","Sans","Sans nom",130.632481788924,NA,"oui",NA,NA
"337","Sans","Sans nom",76.9713312412903,NA,"oui",NA,NA
"338","Sans","Sans nom",49.4993654715105,NA,"oui",NA,NA
"339","R","SIMONE VEIL",160.175939272487,NA,"oui",NA,NA
"340","R","GISELE HALIMI",134.393780537061,NA,"oui",NA,NA
"341","QUAI","HUBERTINE AUCLERT",1504.91236554729,NA,"oui",NA,NA
"342","17","17",392.097423688839,"ALL THEODORE MONOD","oui","privé",NA
"343","AV","MARX DORMOY",452.503278548913,NA,"non",NA,NA
"344","IMP","DE LA JARDINIERE",29.7620278871672,NA,"non",NA,NA
"345","Sans","Sans nom",178.283153470643,NA,"oui",NA,NA
"346","ALL","GABRIEL FAURE",91.0748491604459,NA,"oui","privé",NA
"347","ALL","HECTOBERLIOZ",135.088832562327,NA,"oui","privé",NA
"348","Sans","Sans nom",382.254887247468,NA,"oui",NA,NA
"349","R","ARETHA FRANKLIN",182.413374044107,NA,"oui",NA,NA
"350","R","FRANCOISE HERITIER",121.883541427902,NA,"oui",NA,NA
"351","Sans","Sans nom",332.137696555423,NA,"oui",NA,NA
"352","Sans","Sans nom",32.2868557207295,NA,"non",NA,NA
"353","Sans","Sans nom",52.3658444750634,NA,"oui",NA,NA
"354","AV","SUZANNE BUISSON",287.453996580989,NA,"non",NA,NA
"355","AV","JEAN MOULIN",557.925724058441,NA,"non",NA,NA
"356","R","JEAN PIERRE LEVY",139.629122115634,NA,"non",NA,NA
"357","R","ETIENNE DOLET",538.424626584352,NA,"non",NA,NA
"358","PAS","DU VERCORS",176.770604604972,NA,"oui",NA,NA
"359","R","DE BONDY",105.880088232743,NA,"non",NA,NA
"360","R","DES LIMITES",99.6277473457419,NA,"non",NA,NA
"361","R","SAINT-LOUIS PROLONGEE",421.599097731008,NA,"non",NA,NA
"362","Sans","Sans nom",288.768199841439,NA,"oui",NA,NA
"363","CH","DES CARROUGES",287.562383936703,NA,"oui",NA,NA
"364","D78","D78",131.166699745746,NA,"non",NA,NA
"365","RPT","JOUHAUX",129.229893993868,NA,"non",NA,NA
"366","R","ROGEPANNEQUIN",49.6678970765375,NA,"oui",NA,NA
"367","RTE","D'AULNAY",731.244230572761,NA,"oui",NA,NA
"368","AV","HENRI VARAGNAT",807.542072133647,NA,"non",NA,NA
"369","AV","MAL DE LATTRE DE TASSIGNY",446.060217313882,NA,"non",NA,NA
"370","CH","DE GROSLAY",1211.26907154986,NA,"oui",NA,NA
"371","R","FRANCOIS VILLON",347.154304069357,NA,"oui","privé",NA
"372","R","ROMAIN ROLLAND",58.2254586602084,NA,"non",NA,NA
"373","PONT","DE LA FORET",70.4640466180486,NA,"non",NA,NA
"374","AV","DU QUATORZE JUILLET",823.137689295423,NA,"non",NA,NA
"375","Sans","Sans nom",108.017858322381,NA,"oui",NA,NA
"376","R","DU COQ GAULOIS",44.7517985146321,NA,"non",NA,NA
"377","R","JEAN JACQUES ROUSSEAU",153.030404746584,NA,"non",NA,NA
"378","AV","HENRI BARBUSSE",1379.88434071783,NA,"oui",NA,NA
"379","R","JULES GUESDE",769.317675342064,NA,"non",NA,NA
"380","R","LOUIS AUGUSTE BLANQUI",1624.28359987784,NA,"non",NA,NA
"381","R","DE LA LIBERTE",598.813772975337,NA,"non",NA,NA
"382","R","DU SERGENT BOBILLOT",0.118061909567516,NA,"non",NA,NA
"383","R","DU SERGENT BOBILLOT",328.941812473977,NA,"non",NA,NA
