organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
BONDY HABITAT,93/2014/2011-1191/019,70,70,AVENUE,DE LATTRE DE TASSIGNY,DE LATTRE DE TASSIGNY,L,33,bondy,93140,70 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,48.90284,2.482803,70 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,housenumber,93010_6155_00070,70,Av du Mal de Lattre de Tassigny,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2011/2002-844/071,2 bis,2,AVENUE,DE LATTRE DE TASSIGNY,DE LATTRE DE TASSIGNY,L,51,bondy,93140,2bis Av du Mal de Lattre de Tassigny 93140 Bondy,0.7,48.905921,2.483212,2 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,housenumber,93010_6155_00002,2,Av du Mal de Lattre de Tassigny,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1999/85-1231/087,2 à 48,24,AVENUE,DE LATTRE DE TASSIGNY,DE LATTRE DE TASSIGNY,L,344,bondy,93140,48 Av du Mal de Lattre de Tassigny 93140 Bondy,0.69,48.90546,2.483245,24 Av du Mal de Lattre de Tassigny 93140 Bondy,0.73,housenumber,93010_6155_00024,24,Av du Mal de Lattre de Tassigny,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/171,"56
1",1,"AVENUE 
ALLEE","DE LATTRE DE TASSIGNY
 GEORGE SAND", GEORGE SAND,L,22,bondy,93140,1 Av du Mal de Lattre de Tassigny 93140 Bondy,0.55,48.904167,2.482424,1 Allée Georges Sand 93140 Bondy,0.73,housenumber,93010_4152_00001,1,Allée Georges Sand,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/059,34,34,RUE,DE VARSOVIE,DE VARSOVIE,L,1,bondy,93140,34 Rue de Varsovie 93140 Bondy,0.97,48.891678,2.475242,34 Rue de Varsovie 93140 Bondy,0.97,housenumber,93010_9610_00034,34,Rue de Varsovie,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/058,34,34,RUE,DE VARSOVIE,DE VARSOVIE,L,19,bondy,93140,34 Rue de Varsovie 93140 Bondy,0.97,48.891678,2.475242,34 Rue de Varsovie 93140 Bondy,0.97,housenumber,93010_9610_00034,34,Rue de Varsovie,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1992/85-1231/008,63 à 71,67,RUE,DE VERSAILLES,DE VERSAILLES,L -,33,bondy,93140,71 Rue de Versailles 93140 Bondy,0.85,48.915178,2.479936,67 Rue de Versailles 93140 Bondy,0.97,housenumber,93010_9625_00067,67,Rue de Versailles,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ICF LA SABLIERE,93/1994/85-1231/040,132 à 168,150,ROUTE,DE VILLEMOMBLE,DE VILLEMOMBLE,L,376,bondy,93140,168 Route de Villemomble 93140 Bondy,0.84,48.890229,2.488965,150 Route de Villemomble 93140 Bondy,0.97,housenumber,93010_9670_00150,150,Route de Villemomble,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
SEQENS,93/1985/78-1307/137,15,15,ALLEE,DES ARTS,DES ARTS,L,11,bondy,93140,15 Allée des Arts 93140 Bondy,0.97,48.892816,2.497079,15 Allée des Arts 93140 Bondy,0.97,housenumber,93010_0070_00015,15,Allée des Arts,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2014/2002-844/012,11,11,RUE,DES ESCHOLIERS,DES ESCHOLIERS,L,37,bondy,93140,11 Rue des Escholiers 93140 Bondy,0.96,48.917525,2.480864,11 Rue des Escholiers 93140 Bondy,0.96,housenumber,93010_3145_00011,11,Rue des Escholiers,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2014/2002-844/011,11,11,RUE,"DES ESCHOLIERS 
LEON JOUHAUX",DES ESCHOLIERS,L,5,bondy,93140,11 Avenue Leon Jouhaux 93140 Bondy,0.57,48.917525,2.480864,11 Rue des Escholiers 93140 Bondy,0.96,housenumber,93010_3145_00011,11,Rue des Escholiers,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2014/2011-1191/020,2,2,RUE,"DES FRERES DARTY 
JULES GUESDE",DES FRERES DARTY,L,19,bondy,93140,2 Rue des Frères Darty 93140 Bondy,0.71,48.903952,2.480994,2 Rue des Frères Darty 93140 Bondy,0.96,housenumber,93010_3650_00002,2,Rue des Frères Darty,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2010/2002-844/161,1,1,ALLEE,"DES PAQUERETTES 
DES ANEMONES 
DES PRIMEVERES 
DES PENSEES
DES ORCHIDEES 
DES PAQUERETTES 
DES RENONCULES 
DES LILAS
DES VIOLETTES 
MARECHAL DE LATTRE DE TASSIGNY",DES PAQUERETTES ,L,590,bondy,93140,1 Allee des Paquerettes 93140 Bondy,0.23,48.905011,2.485464,1 Allee des Paquerettes 93140 Bondy,0.96,housenumber,93010_7115_00001,1,Allee des Paquerettes,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2010/2002-844/059,45,45,AVENUE,DES SCIENCES,DES SCIENCES,L,1,bondy,93140,45 Avenue des Sciences 93140 Bondy,0.97,48.892977,2.493387,45 Avenue des Sciences 93140 Bondy,0.97,housenumber,93010_8510_00045,45,Avenue des Sciences,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
PRIVÉ,93/2000/78-1307/045,3,3,ALLEE,DES SYCOMORES ,DES SYCOMORES ,L,1,bondy,93140,3 Allee des Sycomores 93140 Bondy,0.96,48.91902,2.477538,3 Allee des Sycomores 93140 Bondy,0.96,housenumber,93010_8885_00003,3,Allee des Sycomores,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
CDC HABITAT SOCIAL,93/1993/85-1231/081,1-3-5-7,5,RUE,DU BREUIL,DU BREUIL,L,48,bondy,93140,7 Rue du Breuil 93140 Bondy,0.8,48.903549,2.476244,5 Rue du Breuil 93140 Bondy,0.97,housenumber,93010_0780_00005,5,Rue du Breuil,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1999/85-1231/076,2 à 22,10,RUE,DU POTAGER,DU POTAGER,L,209,bondy,93140,22 Rue du Potager 93140 Bondy,0.85,48.903007,2.47248,10 Rue du Potager 93140 Bondy,0.97,housenumber,93010_7240_00010,10,Rue du Potager,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1997/85-1231/006,"16/20
et 17/39",20,RUE,DU SERGENT BOBILLOT,DU SERGENT BOBILLOT,L,247,bondy,93140,39 Rue du Sergent Bobillot 93140 Bondy,0.75,48.896184,2.474325,20 Rue du Sergent Bobillot 93140 Bondy,0.97,housenumber,93010_8520_00020,20,Rue du Sergent Bobillot,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2012/2002-844/164,153,153,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,4,bondy,93140,153 Rue Edouard Vaillant 93140 Bondy,0.98,48.89493,2.4897,153 Rue Edouard Vaillant 93140 Bondy,0.98,housenumber,93010_3115_00153,153,Rue Edouard Vaillant,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
1001VIES HABITAT,93/1981/79-444/015,,,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,37,bondy,93140,Rue Edouard Vaillant 93140 Bondy,0.98,48.89518,2.487711,Rue Edouard Vaillant 93140 Bondy,0.98,street,93010_3115,,Rue Edouard Vaillant,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2012/2002-844/163,153,153,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,41,bondy,93140,153 Rue Edouard Vaillant 93140 Bondy,0.98,48.89493,2.4897,153 Rue Edouard Vaillant 93140 Bondy,0.98,housenumber,93010_3115_00153,153,Rue Edouard Vaillant,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ANTIN RESIDENCES,93/1993/85-1231/149,166-168-170,168,RUE,EDOUARD VAILLANT,EDOUARD VAILLANT,L,49,bondy,93140,170 Rue Edouard Vaillant 93140 Bondy,0.81,48.894472,2.492435,168 Rue Edouard Vaillant 93140 Bondy,0.98,housenumber,93010_3115_00168,168,Rue Edouard Vaillant,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/2013/2011-1191/180,2,2,PLACE,EUDEMON,EUDEMON,L,4,bondy,93140,2 Place Eudémon 93140 Bondy,0.96,48.916751,2.480913,2 Place Eudémon 93140 Bondy,0.96,housenumber,93010_3181_00002,2,Place Eudémon,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F, 937/2011-1191/179,"2 et 4
2",4,"PLACE
RUE","EUDEMON 
GARGANTUA",EUDEMON,L,37,bondy,93140,2 Rue Gargantua 93140 Bondy,0.56,48.916832,2.480935,4 Place Eudémon 93140 Bondy,0.84,housenumber,93010_3181_00004,4,Place Eudémon,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ANTIN RESIDENCES,93/2017/2011-1191/083,15-17,15,RUE,FONTAINE,FONTAINE,L,8,bondy,93140,17 Rue Fontaine 93140 Bondy,0.88,48.909396,2.484305,15 Rue Fontaine 93140 Bondy,0.97,housenumber,93010_3550_00015,15,Rue Fontaine,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ANTIN RESIDENCES,93/2017/2011-1191/084,15-17,15,RUE,FONTAINE,FONTAINE,L,12,bondy,93140,17 Rue Fontaine 93140 Bondy,0.88,48.909396,2.484305,15 Rue Fontaine 93140 Bondy,0.97,housenumber,93010_3550_00015,15,Rue Fontaine,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
VILOGIA,93/1985/78-1307/124,25,25,RUE,FONTAINE,FONTAINE,L,13,bondy,93140,25 Rue Fontaine 93140 Bondy,0.97,48.909386,2.484909,25 Rue Fontaine 93140 Bondy,0.97,housenumber,93010_3550_00025,25,Rue Fontaine,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ANTIN RESIDENCES,93/2017/2011-1191/082,15-17,15,RUE,FONTAINE,FONTAINE,L,22,bondy,93140,17 Rue Fontaine 93140 Bondy,0.88,48.909396,2.484305,15 Rue Fontaine 93140 Bondy,0.97,housenumber,93010_3550_00015,15,Rue Fontaine,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
SA HLM DU DEPARTEMENT DE L'AISNE,93/2017/2011-1191/095,33,33,RUE,FONTAINE,FONTAINE,L,59,bondy,93140,33 Rue Fontaine 93140 Bondy,0.97,48.91004,2.486312,33 Rue Fontaine 93140 Bondy,0.97,housenumber,93010_3550_00033,33,Rue Fontaine,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1999/85-1231/077,"2-20
2-16
45 bis à 51 bis
173  et 179
2",20,RUE,"G.  APOLLINAIRE 
P.ELUARD
L. A. BLANQUI
E. VAILLANT 
DU MOLERET",GUILLAUME APOLLINAIRE,L,394,bondy,93140,2 Rue Edouard Vaillant 93140 Bondy,0.31,48.90027,2.483309,20 Rue Guillaume Apollinaire 93140 Bondy,0.96,housenumber,93010_4185_00020,20,Rue Guillaume Apollinaire,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
