"";"code";"contenance";"adresse";"nom";"categorie";"dsiren"
"160";" I0080";6490;"53 AV GALLIENI";"CONFORAMA FRANCE";"0";"414819409"
"161";" J0319";90;"RUE AUGUSTE POLISSARD";"COPROPRIE A POLISSARD   VOLUMES 2-4-6-15-16";"7";"U08660052"
"162";" J0318";5396;"69 RUE JULES GUESDE";"COPROPRIE A POLISSARD   VOLUMES 2-4-6-15-16";"7";"U08660052"
"163";" M0008";293;"194 AV GALLIENI";"COPROPRIETAIRES DE L'IMMEUBLE 194 AVE GALLIENI";"7";"U08647265"
"164";" L0041";148;"199 AV GALLIENI";"COPROPRIETAIRES DE L'IMMEUBLE 199 AVE GALLIENI";"7";"U08647620"
"165";" N0025";5151;"33 AV PASTEUR";"COPROPRIETAIRES DE L'IMMEUBLE 33 A 41 AVE PASTEUR";"7";"U08637936"
"166";" O0058";766;"35 AV MAL DE LATTRE DE TASSIGNY";"COPROPRIETAIRES DE L'IMMEUBLE 35 AVE DU MAL DE LATTRE DE TAS";"7";"U08638140"
"167";" L0030";282;"6 RUE LAUG";"COPROPRIETAIRES DE L'IMMEUBLE DU 6 RUE LANG";"7";"U08643256"
"168";" J0312";99;"33 RUE JULES GUESDE";"COPROPRIETAIRES DES 31 RUE JULES GUESDE";"7";"U08658189"
"169";" J0310";427;"31 RUE JULES GUESDE";"COPROPRIETAIRES DES 31 RUE JULES GUESDE";"7";"U08658189"
"170";" J0316";3109;"55 RUE JULES GUESDE";"COPROPRIETAIRES DES IMMEUBLES 55-57 RUE JULES GUESDE ET VILL";"7";"U08654550"
"171";" J0314";1487;"43 RUE JULES GUESDE";"COPROPRIETAIRES DES UF 3 ET 38  37 RUE JULES GUESDE";"7";"U08655557"
"172";" O0079";191;"5 AV PASTEUR";"COPROPRIETAIRES DES UNITES FONCIERES 051 ET 056";"7";"U08656605"
"173";" O0011";358;"11 AV PASTEUR";"COPROPRIETAIRES DU 11 AVE PASTEUR";"7";"U08648750"
"174";" L0006";518;"11 RUE BOREL";"COPROPRIETAIRES DU 11 RUE BOREL";"7";"U08648800"
"175";" I0089";62;"15 RUE JULES GUESDE";"COPROPRIETAIRES DU 15 RUE JULES GUESDE";"7";"U08651085"
"176";" I0088";442;"15 RUE JULES GUESDE";"COPROPRIETAIRES DU 15 RUE JULES GUESDE";"7";"U08651085"
"177";" P0155";1204;"41 RUE AUGUSTE POLISSARD";"COPROPRIETAIRES DU 41 RUE AUGUSTE POLISSARD";"7";"U08655474"
"178";" N0020";398;"182 AV GALLIENI";"CRISTAL RENTE";"0";"531884070"
"179";" N0029";747;"176 AV GALLIENI";"CRISTAL RENTE";"0";"531884070"
"180";" N0003";509;"178 AV GALLIENI";"CRISTAL RENTE";"0";"531884070"
"181";" N0032";178;"51 SQ PASTEUR";"CRISTAL RENTE";"0";"531884070"
"182";" N0002";348;"180 AV GALLIENI";"CRISTAL RENTE";"0";"531884070"
"183";" O0037";398;"148 AV GALLIENI";"DAUMESNIL 2";"0";"429365018"
"184";" J0181";2584;"105 AV GALLIENI";"DELANI";"0";"841007826"
"185";" P0128";61;"77 RUE JULES GUESDE";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"186";" P0146";1;"RUE JULES GUESDE";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"187";" P0125";46;"RUE JULES GUESDE";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"188";" P0148";1;"RUE JULES GUESDE";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"189";" P0143";7;"RUE JULES GUESDE";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"190";" P0075";31;"AV GALLIENI";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"191";" P0145";15;"RUE JULES GUESDE";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"192";" K0003";575;"20 RTE D AULNAY";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"193";" P0074";4247;"8 AV MAL DE LATTRE DE TASSIGNY";"DEPARTEMENT DE LA SEINE SAINT DENIS";"3";"229300082"
"194";" O0031";280;"134 AV GALLIENI";"DU 134 AVENUE GALLIENI";"0";"438191454"
"195";" K0108";1155;"165 AV GALLIENI";"EG RETAIL  FRANCE  SAS";"0";"439793811"
"196";" J0146";225;"2 IMP FERNAND POTTIER";"ENEDIS";"0";"444608442"
"197";" L0050";2716;"9002 CHE DU PONT";"ENEDIS";"0";"444608442"
"198";" L0140";1050;"CHE DU PONT";"ENEDIS";"0";"444608442"
"199";" L0139";1594;"CHE DU PONT";"ENEDIS";"0";"444608442"
"200";" N0021";48;"168 AV GALLIENI";"ENEDIS";"0";"444608442"
"201";" L0137";231;"CHE DU PONT";"ENEDIS";"0";"444608442"
"202";" L0138";302;"CHE DU PONT";"ENEDIS";"0";"444608442"
"203";" I0084";3951;"52 AV GALLIENI";"ETABLISSEMENT PUBLIC FONCIER IDF";"9";"495120008"
"204";" K0121";1243;"111 AV GALLIENI";"ETABLISSEMENT PUBLIC FONCIER IDF";"9";"495120008"
"205";" G0169";5492;"32 RTE D AULNAY";"ETABLISSEMENT PUBLIC FONCIER IDF";"9";"495120008"
"206";" K0046";320;"159 AV GALLIENI";"ETABLISSEMENTS DARTY ET FILS";"0";"542086616"
"207";" K0045";319;"157 AV GALLIENI";"ETABLISSEMENTS DARTY ET FILS";"0";"542086616"
"208";" K0105";1164;"127 AV GALLIENI";"ETABLISSEMENTS DARTY ET FILS";"0";"542086616"
"209";" K0119";2010;"22 RTE D AULNAY";"ETABLISSEMENTS DARTY ET FILS";"0";"542086616"
"210";" P0163";1231;"AV GALLIENI";"FONCIERE RU 01 2012";"0";"534337704"
"211";" N0030";151;"174 AV GALLIENI";"GENE-ENTREPRISE";"0";"481263838"
"212";" N0007";516;"43 AV PASTEUR";"GENE-ENTREPRISE";"0";"481263838"
"213";" N0006";583;"174 AV GALLIENI";"GENE-ENTREPRISE";"0";"481263838"
"214";" N0031";1309;"174 AV GALLIENI";"GENE-ENTREPRISE";"0";"481263838"
"215";" P0029";679;"98 AV GALLIENI";"IMMO EVOLUTIF";"0";"449134857"
"216";" P0027";180;"5 RUE AUGUSTE POLISSARD";"IMMO EVOLUTIF";"0";"449134857"
"217";" P0030";401;"100 AV GALLIENI";"IMMO EVOLUTIF";"0";"449134857"
"218";" P0031";1235;"102 AV GALLIENI";"IMMO EVOLUTIF";"0";"449134857"
