"","NOM","NATURE","NOM2","raccourci"
"368","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
"369","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
"370","SEN BLERIOT","SEN","BLERIOT","Saule"
"371","SEN PIERRE BOURDIEU","SEN","PIERRE BOURDIEU","MVeuve"
"372","SEN RENE CHAR","SEN","RENE CHAR","MVeuve"
"373","SQ 8 MAI 1945","SQ","8 MAI 1945","Mainguy Saule"
"374","VLA ABEILLES","VLA","ABEILLES","Mainguy"
"375","VLA BRECHET","VLA","BRECHET","Mainguy"
"376","VLA BREUIL","VLA","BREUIL","Mainguy"
"377","VLA CARNOT","VLA","CARNOT","Saule"
"378","VLA CERISES","VLA","CERISES","Saule"
"379","VLA FLEURY","VLA","FLEURY","Mainguy NC-TSB"
"380","VLA GABRIEL SEAILLES","VLA","GABRIEL SEAILLES","Mainguy"
"381","VLA LAVIGNE","VLA","LAVIGNE","Saule"
"382","VLA MADELEINE","VLA","MADELEINE","MVeuve Saule"
"383","VLA MARRONNIERS","VLA","MARRONNIERS","Mainguy"
"384","VLA PARMENTIER","VLA","PARMENTIER","Mainguy"
"385","VLA THOREL","VLA","THOREL","Mainguy"
