"","NOM","NATURE","NOM2","raccourci"
"141","AV SUZANNE BUISSON","AV","SUZANNE BUISSON","Merisiers NC-TSB"
"142","AV VERDUN","AV","VERDUN","Saule"
"143","AV VILLAGEOISE","AV","VILLAGEOISE","Merisiers"
"144","AV VILLEGIATURE","AV","VILLEGIATURE","Merisiers"
"145","CH CARROUGES","CH","CARROUGES","MVeuve"
"146","CH GROSLAY","CH","GROSLAY","NC-TSB"
"147","CH LATERAL","CH","LATERAL","Merisiers NC-TSB"
"148","CH MARE A LA VEUVE","CH","MARE A LA VEUVE","MVeuve"
"149","CH MARE A LA VEUVE PROLONGEE","CH","MARE A LA VEUVE PROLONGEE","MVeuve"
"150","CH MERLAN","CH","MERLAN","Mainguy"
"151","CH MONTREUIL A CLAYE","CH","MONTREUIL A CLAYE","MVeuve"
"152","CH PONT","CH","PONT","Merisiers"
"153","CITE SAULES","CITE","SAULES","Saule"
"154","CRS REPUBLIQUE","CRS","REPUBLIQUE","Mainguy"
"155","D78 D78","D78","D78","NC-TSB"
"156","IMP CARNOT","IMP","CARNOT","Mainguy Saule"
"157","IMP CASTEL","IMP","CASTEL","MVeuve"
"158","IMP FERNAND POTTIER","IMP","FERNAND POTTIER","Mainguy"
"159","IMP GEORGES BRASSENS","IMP","GEORGES BRASSENS","MVeuve"
"160","IMP HAYDN","IMP","HAYDN","MVeuve"
"161","IMP JACQUES BREL","IMP","JACQUES BREL","MVeuve"
"162","IMP JARDINIERE","IMP","JARDINIERE","Merisiers"
"163","IMP JEAN WIENER","IMP","JEAN WIENER","MVeuve"
"164","IMP LIBERTE","IMP","LIBERTE","MVeuve"
"165","IMP PARISIENNE","IMP","PARISIENNE","Merisiers"
"166","IMP RENE CLAIR","IMP","RENE CLAIR","MVeuve"
"167","IMP SOLIDARITE","IMP","SOLIDARITE","Saule"
"168","IMP VIOLETTES","IMP","VIOLETTES","Mainguy"
"169","MAIL MARIE-MADELEINE FOURCADE","MAIL","MARIE-MADELEINE FOURCADE","NC-TSB"
"170","MAIL PANTAGRUEL","MAIL","PANTAGRUEL","NC-TSB"
"171","PAS DEUX VILLES","PAS","DEUX VILLES","NC-TSB"
"172","PAS MICHELET","PAS","MICHELET","Mainguy"
"173","PAS VERCORS","PAS","VERCORS","NC-TSB"
"174","PL 11 NOVEMBRE 1918","PL","11 NOVEMBRE 1918","Mainguy"
"175","PL ALBERT THOMAS","PL","ALBERT THOMAS","Mainguy Saule"
"176","PL ARTHUR RIMBAUD","PL","ARTHUR RIMBAUD","Mainguy NC-TSB"
"177","PL CHARLES DE GAULLE","PL","CHARLES DE GAULLE","Mainguy"
"178","PL DIVISION LECLERC","PL","DIVISION LECLERC","Mainguy"
"179","PL ECOLES","PL","ECOLES","Saule"
"180","PL EUDEMON","PL","EUDEMON","NC-TSB"
"181","PL FLEURS","PL","FLEURS","Saule"
"182","PL GARE","PL","GARE","MVeuve"
"183","PL GEORGES LYSSANDRE","PL","GEORGES LYSSANDRE","Saule"
"184","PL NICOLE NEUBURGER","PL","NICOLE NEUBURGER","Saule"
"185","PL REPUBLIQUE","PL","REPUBLIQUE","MVeuve"
"186","PL SCHOELCHER","PL","SCHOELCHER","Merisiers"
"187","PONT FORET","PONT","FORET","Merisiers"
"188","QUAI HUBERTINE AUCLERT","QUAI","HUBERTINE AUCLERT","Merisiers NC-TSB"
"189","R 4 SEPTEMBRE","R","4 SEPTEMBRE","Merisiers"
"190","R 5 ORMES","R","5 ORMES","Saule"
"191","R ABBE MAURICE BAURIT","R","ABBE MAURICE BAURIT","Saule"
"192","R ALEXANDRA DAVID NEEL","R","ALEXANDRA DAVID NEEL","MVeuve Saule"
"193","R AMEDEE GUYARD","R","AMEDEE GUYARD","Saule"
"194","R ANDREI SAKHAROV","R","ANDREI SAKHAROV","Merisiers NC-TSB"
"195","R ARETHA FRANKLIN","R","ARETHA FRANKLIN","NC-TSB"
"196","R ARTHUR GROUSSIER","R","ARTHUR GROUSSIER","Merisiers"
"197","R ARTHUR RIMBAUD","R","ARTHUR RIMBAUD","Mainguy"
"198","R AUGUSTE POLISSARD","R","AUGUSTE POLISSARD","Mainguy NC-TSB"
"199","R AVIATION","R","AVIATION","Saule"
"200","R BAUDIN","R","BAUDIN","Mainguy"
"201","R BEAUREGARD","R","BEAUREGARD","Mainguy"
"202","R BEL AIR","R","BEL AIR","MVeuve Saule"
"203","R BERANGER","R","BERANGER","Saule"
"204","R BERNARD DE JUSSIEU","R","BERNARD DE JUSSIEU","Saule"
"205","R BON AIR","R","BON AIR","NC-TSB"
"206","R BONDY","R","BONDY","MVeuve"
"207","R BORDIER","R","BORDIER","Saule"
"208","R BOREL","R","BOREL","Merisiers"
"209","R BREUIL","R","BREUIL","Mainguy"
"210","R BUTTE","R","BUTTE","MVeuve"
"211","R CESAR DELAINE","R","CESAR DELAINE","Saule"
"212","R CHALET","R","CHALET","Saule"
"213","R CHAMPART","R","CHAMPART","Mainguy"
"214","R CHARLES FERDINAND","R","CHARLES FERDINAND","Saule"
"215","R CHARLES MAGNE","R","CHARLES MAGNE","Saule"
"216","R CHEMIN DE FER PROLONGEE","R","CHEMIN DE FER PROLONGEE","MVeuve"
"217","R CLOS VAILLANT","R","CLOS VAILLANT","Saule"
"218","R COMPAGNON","R","COMPAGNON","Saule"
"219","R COQ GAULOIS","R","COQ GAULOIS","Saule"
"220","R CRONSTADT","R","CRONSTADT","Mainguy"
"221","R CYCLE","R","CYCLE","Saule"
"222","R DAVID LEDER","R","DAVID LEDER","MVeuve Mainguy"
"223","R DENYS COCHIN","R","DENYS COCHIN","Saule"
"224","R DESIRE LEON","R","DESIRE LEON","MVeuve Saule"
"225","R DROITS DE L'HOMME","R","DROITS DE L'HOMME","Mainguy"
"226","R ECOLES","R","ECOLES","Merisiers"
"227","R EDOUARD VAILLANT","R","EDOUARD VAILLANT","MVeuve Mainguy Saule"
"228","R EGALITE","R","EGALITE","Mainguy"
"229","R EMILE ZOLA","R","EMILE ZOLA","Merisiers"
"230","R EMMANUEL FAIRON","R","EMMANUEL FAIRON","Saule"
"231","R ERIC TABARLY","R","ERIC TABARLY","Merisiers NC-TSB"
"232","R ESCHOLIERS","R","ESCHOLIERS","NC-TSB"
"233","R ETIENNE DOLET","R","ETIENNE DOLET","MVeuve"
"234","R EUGENE MASSON","R","EUGENE MASSON","Saule"
