"","X","Rue","Peri","rueCourte","rue","ecoles"
"118",309,"LIBERTE RUE DE LALIBERTE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair","LIBERTE","RUE DE LALIBERTE","Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair"
"119",313,"LILAS ALLEE DES LILAS","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair","LILAS","ALLEE DES LILAS","Camille Claudel Tout le cété pair et tout le cété impair"
"120",318,"LILAS ALLEE DES LILAS","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","LILAS","ALLEE DES LILAS"," Camille Claudel Tout le cété pair et tout le cété impair"
"121",323,"LIMITES RUE DES LIMITES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","LIMITES","RUE DES LIMITES","Pierre Curie Tout le cété pair et tout le cété impair"
"122",325,"LIMITES RUE DES LIMITES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","LIMITES","RUE DES LIMITES"," Pierre Curie Tout le cété pair et tout le cété impair"
"123",329,"LION RUE DU LION |","Périmétre : Périmetre Eleémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair |","LION","RUE DU LION "," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair |"
"124",335,"LOUISE ALLEE LOUISE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","LOUISE","ALLEE LOUISE"," Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"125",341,"LOUISE MICHEL ALLEE LOUISE MICHEL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","LOUISE","MICHEL ALLEE LOUISE MICHEL"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"126",343,"LOUISE MICHEL ALLEE LOUISE MICHEL","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","LOUISE","MICHEL ALLEE LOUISE MICHEL","Jules Ferry Tout le cété pair et tout le cété impair"
"127",352,"LUTHER KING RUE MARTIN LUTHER KING J","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","LUTHER","KING RUE MARTIN LUTHER KING J"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"128",353,"LUTHER KING RUE MARTIN LUTHER KING J","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdté impair","LUTHER","KING RUE MARTIN LUTHER KING J","Henri Sellier Tout le cété pair et tout le cdté impair"
"129",355,"LYSSANDRE PLACE GEORGES LYSSANDRE","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n° 12 a 38 et cdté impair sans les n° \/","LYSSANDRE","PLACE GEORGES LYSSANDRE","Henri Sellier Cété pair allant des n° 12 a 38 et cdté impair sans les n° \/"
"130",359,"LYSSANDRE PLACE GEORGES LYSSANDRE","Périmétre : Périmetre Maternelle Camille Claudel 6té pair allant des n° 4 a 10 et cdté impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE","Camille Claudel 6té pair allant des n° 4 a 10 et cdté impair sans les n°"
"131",361,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Maternelle Camille Claudel été pair allant des n° 40 a 56 et cété impair sans les n° /","LYSSANDRE","PLACE GEORGES LYSSANDRE ","Camille Claudel été pair allant des n° 40 a 56 et cété impair sans les n° /"
"132",362,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Elémentaire Camille Claudel 6té pair allant des n° 40 2 56 et cété impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE "," Camille Claudel 6té pair allant des n° 40 2 56 et cété impair sans les n°"
"133",363,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand, Cété pair allant des n° 58 a 998 et cété impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE "," Jules Ferry Jean Rostand, Cété pair allant des n° 58 a 998 et cété impair sans les n°"
"134",364,"LYSSANDRE PLACE GEORGES LYSSANDRE }","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n° 58 a 998 et cdté impair sans les n°","LYSSANDRE","PLACE GEORGES LYSSANDRE ","Henri Sellier Cété pair allant des n° 58 a 998 et cdté impair sans les n°"
"135",366,"MADELEINE VILLA MADELEINE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","MADELEINE","VILLA MADELEINE","Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair"
"136",367,"MADELEINE VILLA MADELEINE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","MADELEINE","VILLA MADELEINE"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"137",369,"MANET ALLEE EDOUARD MANET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","MANET","ALLEE EDOUARD MANET","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"138",370,"MANET ALLEE EDOUARD MANET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","MANET","ALLEE EDOUARD MANET"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"139",372,"MARAICHERS RUE DES MARAICHERS","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","MARAICHERS","RUE DES MARAICHERS","Mainguy Tout le cété pair et tout le cété impair"
"140",373,"MARAICHERS RUE DES MARAICHERS","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cote impair","MARAICHERS","RUE DES MARAICHERS"," Mainguy/Guehenno Tout le cété pair et tout le cote impair"
"141",376,"MARE ALA VEUVE CHEMIN DE LAMARE ALA VEUVE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","MARE","ALA VEUVE CHEMIN DE LAMARE ALA VEUVE","Pierre Curie Tout le cété pair et tout le cété impair"
"142",378,"MARE ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON .","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","MARE","ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON ."," Pierre Curie Tout le cété pair et tout le cété impair"
"143",379,"MARE ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON .","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","MARE","ALA VEUVE PRC CHEMIN MARE ALA VEUVE PROLON .","Pierre Curie Tout le cété pair et tout le cété impair"
"144",381,"MARGUERITE AVENUE MARGUERITE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair","MARGUERITE","AVENUE MARGUERITE","Pasteur Tout le cété pair et tout le cété impair"
"145",382,"MARGUERITE AVENUE MARGUERITE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair","MARGUERITE","AVENUE MARGUERITE"," Louis Pasteur Tout le cété pair et tout le cété impair"
"146",384,"MARIE ALLEE MARIE LAURENCIN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","MARIE","ALLEE MARIE LAURENCIN"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"147",387,"MARRONNIERS VILLA MARRONNIERS","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair","MARRONNIERS","VILLA MARRONNIERS","Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"148",388,"MARRONNIERS VILLA MARRONNIERS","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair","MARRONNIERS","VILLA MARRONNIERS"," R.Salengro J.Béthinger Tout le cété pair et tout le cdté impair"
"149",390,"MARTHE ALLEE ALEXANDRE MARTHE","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair","MARTHE","ALLEE ALEXANDRE MARTHE","Camille Claudel Tout le cété pair et tout le cété impair"
"150",391,"MARTHE ALLEE ALEXANDRE MARTHE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","MARTHE","ALLEE ALEXANDRE MARTHE"," Camille Claudel Tout le cété pair et tout le cété impair"
"151",397,"MARTIN RUE FRANCOIS MARTIN","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","MARTIN","RUE FRANCOIS MARTIN"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"152",404,"MASSON RUE EUGENE MASSON","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair","MASSON","RUE EUGENE MASSON"," Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair"
"153",405,"MASSON RUE EUGENE MASSON","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","MASSON","RUE EUGENE MASSON","Henri Sellier Tout le cété pair et tout le cété impair"
"154",407,"MAUPASSANT RUE GUY DE MAUPASSANT","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cdté impair","MAUPASSANT","RUE GUY DE MAUPASSANT"," Jules Ferry Jean Rostand Tout le cété pair et tout le cdté impair"
"155",408,"MAUPASSANT RUE GUY DE MAUPASSANT","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdété impair","MAUPASSANT","RUE GUY DE MAUPASSANT","Henri Sellier Tout le cété pair et tout le cdété impair"
"156",410,"MEAUX | RUE DE MEAUX","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","MEAUX"," RUE DE MEAUX","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"157",411,"MEAUX | RUE DE MEAUX","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","MEAUX"," RUE DE MEAUX","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"158",414,"MENDES FRANCE PLACE MENDES FRANCE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","MENDES","FRANCE PLACE MENDES FRANCE","Pierre Curie Tout le cété pair et tout le cété impair"
"159",418,"MERLAN CHEMIN DE MERLAN","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","MERLAN","CHEMIN DE MERLAN"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"160",419,"MERLAN CHEMIN DE MERLAN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair","MERLAN","CHEMIN DE MERLAN","Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"161",421,"MESARMES AVENUE DES MESARMES","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair . |","MESARMES","AVENUE DES MESARMES"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair . |"
"162",422,"MESARMES AVENUE DES MESARMES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair al","MESARMES","AVENUE DES MESARMES","Jean Zay Tout le cété pair et tout le cété impair al"
"163",424,"METZ AVENUE DE METZ","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","METZ","AVENUE DE METZ","Pierre Curie Tout le cété pair et tout le cdté impair"
"164",427,"MICHELET RUE MICHELET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair J","MICHELET","RUE MICHELET"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair J"
"165",428,"MICHELET RUE MICHELET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cdté pair et tout le cété impair","MICHELET","RUE MICHELET","Alain Savary Roger Salengr Tout le cdté pair et tout le cété impair"
"166",430,"MICHELET PASSAGE MICHELET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cdté pair et tout le cdté impair","MICHELET","PASSAGE MICHELET","Alain Savary Roger Salengr: Tout le cdté pair et tout le cdté impair"
"167",431,"MICHELET PASSAGE MICHELET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Cété pair sans les n° et tout le cété impair","MICHELET","PASSAGE MICHELET"," R.Salengro J.Béthinger Cété pair sans les n° et tout le cété impair"
"168",433,"MIDI : RUE DU MIDI","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","MIDI"," RUE DU MIDI","Pierre Curie Tout le cété pair et tout le cdté impair"
"169",434,"MIDI : RUE DU MIDI","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","MIDI"," RUE DU MIDI"," Pierre Curie Tout le cété pair et tout le cété impair"
"170",436,"MIGNARD ALLEE NICOLAS MIGNARD","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cote impair","MIGNARD","ALLEE NICOLAS MIGNARD","Alain Savary Roger Salengr« Tout le cété pair et tout le cote impair"
"171",437,"MIGNARD ALLEE NICOLAS MIGNARD","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","MIGNARD","ALLEE NICOLAS MIGNARD"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"172",439,"MILLET ALLEE JEAN-FRANCOIS MILLET |","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cote impair","MILLET","ALLEE JEAN-FRANCOIS MILLET ","Alain Savary Roger Salengr: Tout le cété pair et tout le cote impair"
"173",440,"MILLET ALLEE JEAN-FRANCOIS MILLET |","Périmétre : Périmetre E!6mentaire R.Salengro J.Béthinger Tout le cdté pair et tout le cdté impair","MILLET","ALLEE JEAN-FRANCOIS MILLET ","Périmétre : Périmetre E!6mentaire R.Salengro J.Béthinger Tout le cdté pair et tout le cdté impair"
"174",443,"MOLERET RUE DU MOLERET","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","MOLERET","RUE DU MOLERET"," Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"175",445,"MOLIERE ALLEE MOLIERE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","MOLIERE","ALLEE MOLIERE"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"176",446,"MOLIERE ALLEE MOLIERE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cdté impair","MOLIERE","ALLEE MOLIERE","Henri Sellier Tout le cété pair et tout le cdté impair"
"177",448,"MONNET RUE JEAN MONNET","Périmétre : Périmeétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","MONNET","RUE JEAN MONNET"," Pierre Curie Tout le cété pair et tout le cété impair"
"178",457,"MONOD RUE THEODORE MONOD","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","MONOD","RUE THEODORE MONOD"," Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"179",462,"MOULIN ALLEE DU MOULIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","MOULIN","ALLEE DU MOULIN","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"180",463,"MOULIN ALLEE DU MOULIN","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","MOULIN","ALLEE DU MOULIN"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"181",465,"MOULIN AVENUE JEAN MOULIN ;","Périmétre : Périmetre Maternelle Jean Zay Tout le cdté pair et tout le cété impair \ f","MOULIN","AVENUE JEAN MOULIN ;","Jean Zay Tout le cdté pair et tout le cété impair \ f"
"182",466,"MOULIN AVENUE JEAN MOULIN ;","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair vw","MOULIN","AVENUE JEAN MOULIN ;"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair vw"
"183",468,"MOULY RUE HENRI MOULY","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","MOULY","RUE HENRI MOULY","Jean Zay Tout le cété pair et tout le cété impair"
"184",469,"MOULY RUE HENRI MOULY","Périmétre : Périmetre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair","MOULY","RUE HENRI MOULY"," Noue Caillet Albert Camus Tout le cété pair et tout le coté impair"
"185",471,"MOZART ALLEE MOZART","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","MOZART","ALLEE MOZART","Jean Zay Tout le cété pair et tout le cété impair"
"186",475,"NANCY AVENUE DE NANCY","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","NANCY","AVENUE DE NANCY"," Pierre Curie Tout le cété pair et tout le cété impair"
"189",481,"NERUDA ALLEE PABLO NERUDA","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","NERUDA","ALLEE PABLO NERUDA","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"190",482,"NERUDA ALLEE PABLO NERUDA","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","NERUDA","ALLEE PABLO NERUDA","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"191",484,"NEUBURGER PLACE NICOLE NEUBURGER","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","NEUBURGER","PLACE NICOLE NEUBURGER","Léo Lagrange Tout le cété pair et tout le cété impair"
"192",485,"NEUBURGER PLACE NICOLE NEUBURGER","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","NEUBURGER","PLACE NICOLE NEUBURGER"," Léo Lagrange Tout le cété pair et tout le cété impair"
"193",491,"NOEMIE RUE NOEMIE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","NOEMIE","RUE NOEMIE"," Camille Claudel Tout le cété pair et tout le cété impair"
"194",494,"NOUE CAILLET CENTRE COM LA NOUE CAILLET","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair","NOUE","CAILLET CENTRE COM LA NOUE CAILLET"," Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"195",497,"ORCHIDEES ALLEE DES ORCHIDEES","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","ORCHIDEES","ALLEE DES ORCHIDEES","Léo Lagrange Tout le cété pair et tout le cété impair"
"196",502,"PAIN RUE ODETTE PAIN","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair \ |","PAIN","RUE ODETTE PAIN","Jean Zay Tout le cété pair et tout le cété impair \ |"
"197",509,"PAIN RUE ODETTE PAIN 1 7","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cote impair J","PAIN","RUE ODETTE PAIN 1 7"," Noue Caillet Albert Camus Tout le cété pair et tout le cote impair J"
"198",511,"PAIX ALLEE DE LA PAIX","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair","PAIX","ALLEE DE LA PAIX"," Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"199",512,"PAIX ALLEE DE LA PAIX","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cdté impair","PAIX","ALLEE DE LA PAIX","Jules Ferry Tout le cété pair et tout le cdté impair"
"200",515,"PANURGE RUE DE PANURGE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cdté pair et tout le cdté impair","PANURGE","RUE DE PANURGE","Terre Saint Blaise Tout le cdté pair et tout le cdté impair"
"201",516,"PANURGE RUE DE PANURGE","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cdté impair","PANURGE","RUE DE PANURGE","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cdté impair"
"202",518,"PAQUERETTES ALLEE DES PAQUERETTES","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cdté pair et tout le cété impair","PAQUERETTES","ALLEE DES PAQUERETTES"," Léo Lagrange Tout le cdté pair et tout le cété impair"
"203",522,"PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmeétre Elémentaire Louis Pasteur Cété pair allant des n° 2 a 28 et cété impair sans les n°","PARISIENNE","AVENUE DE LA PARISIENNE"," Louis Pasteur Cété pair allant des n° 2 a 28 et cété impair sans les n°"
"204",523,"PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmetre Maternelle Pasteur Cété pair allant des n° 2 a 28 et cdté impair sans les n°","PARISIENNE","AVENUE DE LA PARISIENNE","Pasteur Cété pair allant des n° 2 a 28 et cdté impair sans les n°"
"205",524,"PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmetre Maternelle Olympe de Gouges Cété pair allant des n° 30 a 34 et tout le coté impair","PARISIENNE","AVENUE DE LA PARISIENNE","Olympe de Gouges Cété pair allant des n° 30 a 34 et tout le coté impair"
"206",525,"PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmetre Elémentaire Olympe de Gouges Cété pair allant des n° 30 a 34 et tout le cété impair","PARISIENNE","AVENUE DE LA PARISIENNE"," Olympe de Gouges Cété pair allant des n° 30 a 34 et tout le cété impair"
"207",527,"PARISIENNE IMPASSE DE LA PARISIENNE","Périmétre : Périmetre Maternelle Pasteur Cété pair allant des n° 2 a 28 et cdté impair sans les n°","PARISIENNE","IMPASSE DE LA PARISIENNE","Pasteur Cété pair allant des n° 2 a 28 et cdté impair sans les n°"
"208",528,"PARISIENNE IMPASSE DE LA PARISIENNE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cdté impair","PARISIENNE","IMPASSE DE LA PARISIENNE"," Louis Pasteur Tout le cété pair et tout le cdté impair"
"209",530,"PARKS RUE ROSA PARKS","Périmétre : Périmetre Elementaire Leo Lagrange Tout le cété pair et tout le cété impair","PARKS","RUE ROSA PARKS"," Leo Lagrange Tout le cété pair et tout le cété impair"
"210",532,"PARMENTIER VILLA PARMENTIER","Périmétre : Périmetre Elémentaire R.Salengro J.Bethinger Tout le cété pair et tout le cété impair","PARMENTIER","VILLA PARMENTIER"," R.Salengro J.Bethinger Tout le cété pair et tout le cété impair"
"211",533,"PARMENTIER VILLA PARMENTIER","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair","PARMENTIER","VILLA PARMENTIER","Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"212",535,"PASSE AUX DAIMS ALLEE DE LA PASSE AUX DAIMS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","PASSE","AUX DAIMS ALLEE DE LA PASSE AUX DAIMS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"213",536,"PASSE AUX DAIMS ALLEE DE LA PASSE AUX DAIMS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","PASSE","AUX DAIMS ALLEE DE LA PASSE AUX DAIMS","Terre Saint Blaise Tout le cété pair et tout le cété impair"
"214",538,"PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 2 a 14 et cdté impair allant des n° 1 a 23","PASTEUR","AVENUE PASTEUR","Camille Claudel Cété pair allant des n° 2 a 14 et cdté impair allant des n° 1 a 23"
"215",539,"PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Elementaire Camille Claudel Cété pair allant des n° 2 a 14 et cdté impair allant des n° 1 a 23","PASTEUR","AVENUE PASTEUR"," Camille Claudel Cété pair allant des n° 2 a 14 et cdté impair allant des n° 1 a 23"
"216",540,"PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair allant des n° 16 a 998 et cdté impair allant des n° 25 a 999","PASTEUR","AVENUE PASTEUR","Léo Lagrange Cété pair allant des n° 16 a 998 et cdté impair allant des n° 25 a 999"
"217",541,"PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair allant des n° 16 a 998 et cdté impair allant des n° 25 a 999","PASTEUR","AVENUE PASTEUR"," Léo Lagrange Cété pair allant des n° 16 a 998 et cdté impair allant des n° 25 a 999"
"218",543,"PAUL RUE MARCEL PAUL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","PAUL","RUE MARCEL PAUL","Pierre Curie Tout le cété pair et tout le cété impair"
"219",544,"PAUL RUE MARCEL PAUL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","PAUL","RUE MARCEL PAUL"," Pierre Curie Tout le cété pair et tout le cété impair"
"220",547,"PENSEES ALLEE DES PENSEES","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","PENSEES","ALLEE DES PENSEES","Léo Lagrange Tout le cété pair et tout le cété impair"
"221",549,"PEUPLIERS RUE DES PEUPLIERS","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","PEUPLIERS","RUE DES PEUPLIERS"," Pierre Curie Tout le cété pair et tout le cété impair"
"222",552,"PHILOSOPHIE RUE DE LA PHILOSOPHIE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","PHILOSOPHIE","RUE DE LA PHILOSOPHIE","Pierre Curie Tout le cété pair et tout le cété impair"
"223",553,"PHILOSOPHIE RUE DE LA PHILOSOPHIE","Périmétre : Périmeétre Elementaire Pierre Curie Tout le cété pair et tout le cété impair","PHILOSOPHIE","RUE DE LA PHILOSOPHIE"," Pierre Curie Tout le cété pair et tout le cété impair"
"224",555,"PICROCHOLE RUE PICROCHOLE","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","PICROCHOLE","RUE PICROCHOLE","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"225",556,"PICROCHOLE RUE PICROCHOLE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cdté impair","PICROCHOLE","RUE PICROCHOLE","Terre Saint Blaise Tout le cété pair et tout le cdté impair"
"226",563,"PINGUET VILLA PINGUET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","PINGUET","VILLA PINGUET","Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"227",564,"PINGUET VILLA PINGUET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","PINGUET","VILLA PINGUET"," R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"228",566,"PLAISANCE RUE DE PLAISANCE","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","PLAISANCE","RUE DE PLAISANCE"," Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"229",567,"PLAISANCE RUE DE PLAISANCE","-Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cote impair","PLAISANCE","RUE DE PLAISANCE","Henri Sellier Tout le cété pair et tout le cote impair"
"230",570,"PLATANES AVENUE DES PLATANES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","PLATANES","AVENUE DES PLATANES","Pierre Curie Tout le cété pair et tout le cété impair"
"231",571,"PLATANES AVENUE DES PLATANES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","PLATANES","AVENUE DES PLATANES"," Pierre Curie Tout le cété pair et tout le cété impair"
