"","numero","nom_voie","nom"
"226192",5,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226193",6,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226194",7,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226195",8,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226196",10,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226197",11,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226198",12,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226199",13,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226200",14,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226201",15,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226202",16,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226203",17,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226204",18,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226205",19,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226206",20,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226207",21,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226208",22,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226209",23,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226210",24,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226211",25,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226212",26,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226213",27,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226214",28,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226215",29,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226216",30,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226217",32,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226218",34,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226219",36,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
"226220",38,"Rue Marcel Paul","la mare à la Veuve la remise à Jorelle"
