"","NOM","case","NATURE","NOM2","raccourci"
"149","CH MARE A LA VEUVE PROLONGEE","2B","CH","MARE A LA VEUVE PROLONGEE","MVeuve"
"150","CH MERLAN","1B","CH","MERLAN","Mainguy"
"151","CH MONTREUIL A CLAYE","1B","CH","MONTREUIL A CLAYE","MVeuve"
"152","CH PONT","3D","CH","PONT","Merisiers"
"153","CITE SAULES","3C","CITE","SAULES","Saule"
"154","CRS REPUBLIQUE","2C","CRS","REPUBLIQUE","Mainguy"
"155","D78 D78","2F","D78","D78","NC-TSB"
"156","IMP CARNOT","2C","IMP","CARNOT","Mainguy Saule"
"157","IMP CASTEL","2A","IMP","CASTEL","MVeuve"
"158","IMP FERNAND POTTIER","2D","IMP","FERNAND POTTIER","Mainguy"
"159","IMP GEORGES BRASSENS","3A","IMP","GEORGES BRASSENS","MVeuve"
"160","IMP HAYDN","3B","IMP","HAYDN","MVeuve"
"161","IMP JACQUES BREL","2A","IMP","JACQUES BREL","MVeuve"
"162","IMP JARDINIERE","3E","IMP","JARDINIERE","Merisiers"
"163","IMP JEAN WIENER","3A","IMP","JEAN WIENER","MVeuve"
"164","IMP LIBERTE","3B","IMP","LIBERTE","MVeuve"
"165","IMP PARISIENNE","3E","IMP","PARISIENNE","Merisiers"
"166","IMP RENE CLAIR","3A","IMP","RENE CLAIR","MVeuve"
"167","IMP SOLIDARITE","3B","IMP","SOLIDARITE","Saule"
"168","IMP VIOLETTES","3D","IMP","VIOLETTES","Mainguy"
"169","MAIL MARIE-MADELEINE FOURCADE","2E","MAIL","MARIE-MADELEINE FOURCADE","NC-TSB"
"170","MAIL PANTAGRUEL","2F","MAIL","PANTAGRUEL","NC-TSB"
"171","PAS DEUX VILLES","2E","PAS","DEUX VILLES","NC-TSB"
"172","PAS MICHELET","1C","PAS","MICHELET","Mainguy"
"173","PAS VERCORS","2E","PAS","VERCORS","NC-TSB"
"174","PL 11 NOVEMBRE 1918","2C","PL","11 NOVEMBRE 1918","Mainguy"
"175","PL ALBERT THOMAS","2C","PL","ALBERT THOMAS","Mainguy Saule"
"176","PL ARTHUR RIMBAUD","2D","PL","ARTHUR RIMBAUD","Mainguy NC-TSB"
"177","PL CHARLES DE GAULLE","2C","PL","CHARLES DE GAULLE","Mainguy"
"178","PL DIVISION LECLERC","2C","PL","DIVISION LECLERC","Mainguy"
"179","PL ECOLES","3C","PL","ECOLES","Saule"
"180","PL EUDEMON","2F","PL","EUDEMON","NC-TSB"
"181","PL FLEURS","3D","PL","FLEURS","Saule"
"182","PL GARE","2B","PL","GARE","MVeuve"
"183","PL GEORGES LYSSANDRE","3C","PL","GEORGES LYSSANDRE","Saule"
"184","PL NICOLE NEUBURGER","3C","PL","NICOLE NEUBURGER","Saule"
"185","PL REPUBLIQUE","2B","PL","REPUBLIQUE","MVeuve"
"186","PL SCHOELCHER","3F","PL","SCHOELCHER","Merisiers"
"187","PONT FORET","3D","PONT","FORET","Merisiers"
