InputID,TargetID,Distance
"148",mairie,1886.55676082943
"149",mairie,1413.56220511821
"150",mairie,390.471358170559
"151",mairie,448.125054607139
"152",mairie,621.892565096836
"153",mairie,1408.50312579124
"154",mairie,1454.68634096677
"155",mairie,382.920781387425
"156",mairie,1475.60781058689
"157",mairie,1881.61262457168
"158",mairie,366.054760996239
"159",mairie,1448.49900332254
"160",mairie,1264.78090246117
"161",mairie,1403.39468250926
"162",mairie,1285.76316204251
"163",mairie,486.68510717419
"164",mairie,1308.02667148945
"165",mairie,1857.27845482751
"166",mairie,1334.09664300555
"167",mairie,1442.51983297423
"168",mairie,1360.73188325871
"169",mairie,391.992748981693
"170",mairie,476.841479302093
"171",mairie,1465.44255670487
"172",mairie,368.336041256125
"173",mairie,345.801497015282
"174",mairie,404.221301919269
"175",mairie,1484.9021978132
"176",mairie,426.954740478512
"177",mairie,1505.65482548451
"178",mairie,1851.34884447671
"179",mairie,469.277563906232
"180",mairie,1782.86049399324
"181",mairie,1800.12035301926
"182",mairie,462.207169514403
"183",mairie,1308.085782146
"184",mairie,1288.37550037074
"185",mairie,1327.99088471047
"186",mairie,1845.64042299191
"187",mairie,1479.81629843927
"188",mairie,1345.52842279135
"189",mairie,1364.08786101074
"190",mairie,1378.49586106197
"191",mairie,318.86095638389
"192",mairie,1397.11933355588
"193",mairie,332.936982116614
"194",mairie,452.09812102962
"195",mairie,1417.29418772753
