principal,numero,repetition,type_voie,libelle,categorie,type,nombre_logements,actualité,commentaire,fid,nom
O,"20",,R,NOEMIE,HABIT,"23","4","3","MAIRIE 11/04/2023: non terminé¶MAIRIE 01/12/2022: Suite à vérification photo, les fenêtres ont été posées¶MAIRIE 01/12/2022: Les travaux semblent abandonnés mais il y a une brouette sur le devant¶MAIRIE 30/03/2022: 2e étage en cours¶MAIRIE 12/03/2021: travaux en cours fondation et murs construits¶INSEE 16/02/2021: Suite contrôles sur PC au vu des images de google maps de sept 2020 EA ancien bâti périmée.¶insee le 12/12/16 : merci de vérifier si ce pc créé une nouvelle EA avec maintien ou non de l'ancienne EA. PAS DE PC AFFICHE. CONSTRUCTION EN COURS J'AI VU LE PROPRIETAIRE QUI M'A SIGNALE QU'IL Y AURAIT BIEN 4 APPARTEMENTS ET QU'IL LES METTRAIT EN LOCATION, IL A AJOUTE QUE POUR LE MOMENT LES TRAVAUX N'AVANCAIENT PAS TROP VITE CAR LE FINANCEMENT NE SUIVAIT PAS. CONSTRUCTION QUI RISQUE DONC DE DURER UN CERTAIN TEMPS. SEUL LE RC EST CONSTRUIT A CE JOUR. JE N'AVAIS PAS NOTE VOS INDICATIONS CI-DESSUS ET JE N'AI DONC PAS PU POSER LA QUESTION AU PROPRIETAIRE SUR LE MAINTIEN OU NON DE L'ANCIENNE EA. PAR CONTRE, LE TERRAIN N'EST PAS TRES LARGE ET A MOINS QUE L'ANCIENNE MAISON NE SOIT SITUEE DERRIERE LA NOUVELLE CONSTRUCTION, JE NE L'AI PAS VU. JE PEUX Y RETOURNER POUR ESSAYER DE VOIR LE PROPRIETAIRE OU DEMANDER A SON VOISIN.¶MAIRIE 26/03/2019: Travaux non terminés, fenêtres pas encore posées et le toit n'est pas terminé. PC non affiché.¶MAIRIE 07/10/2020: les  travaux semblent abandonnés","6",centre
O,"19",,ALL,DE LA VILLA JEANNETTE,HABIT,"21","1","2",MAIRIE 11/04/2023: pas de travaux en cours¶INSEE 10/02/2023: Une EA existe déjà à cette adresse. Le permis indique la 'démolition de deux habitations et la construction d'une habitation'. Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires.,"7",est
O,"19",BIS,R,CHARLES FERDINAND,HABIT,"21","1","3","MAIRIE 11/04/2023: idem¶MAIRIE 01/12/2022: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: Idem¶Travaux arrêtés depuis longtemps d'après sa voisine d'à côté (qui est une collègue). Il semblerait que le propriétaire soit logé chez ses parents à Bondy rue du Progrès. Pas de PC affiché. Je n'ai vu moi-même aucune activité à cette adresse depuis longtemps.¶MAIRIE 26/03/2019: RAS rien n'a changé depuis l'année dernière, PC effacé, pas de travaux visibles en cours.¶MAIRIE 18/06/2020: maison abandonnée pas de travaux en cours","6",centre
O,"40",,ALL,THERESE,HABIT,"21","1","2","MAIRIE 11/04/2023: pas de travaux¶INSEE 08/12/2022: Une EA existe déjà à cette adresse. LE PC indique 'agrandissement de la maison existante pour la réalisation d'un second logement'. ¶Dans ce cas, une fois les travaux terminés, merci de modifier le nombre de logements et le type de l'EA existante. Sinon, merci de faire les modifications nécessaires à la situation constatée sur le terrain.","7",est
O,"20",,R,BOREL,HABIT,"23","85","2","MAIRIE 12/04/2023: travaux non commencés¶INSEE 09/12/2022: Une EA existe déjà à cette adresse, et plusieurs EA existent déjà sur les parcelles cadastrales concernées. Il y a un PD rattaché à ce PC (PD9301021B0008) qui indique 9 habitations à démolir.¶Faut-il périmer l'ancienne EA du 20 rue Borel et conserver la nouvelle ? Merci de faire les modifications nécessaires.","9",nord est
O,"25",,R,FONTAINE,HABIT,"23","9","2","MAIRIE 12/04/2023: idem¶MAIRIE 15/11/2022: immeubles muré squatté¶MAIRIE 30/03/2022: idem, bailleurs villogia¶MAIRIE 16/11/2021: travaux de réhabilitation. pas de destruction ancien bâti¶INSEE 23/09/2021: Suite PC 1ER FLUX 21-22 EA créée remplace EA existante ? Destruction de l'ancien bâti ?¶Descriptif des travaux :¶    RESTRUCTURATION IMMEUBLE EXISTANT ET CREATION DE 9 LOGEMENTS.","9",nord est
O,"36",,R,FONTAINE,HABIT,"23","15","3",MAIRIE 12/04/2023: travaux en cours. la maison a été détruite.¶INSEE 09/12/2022: Une EA existe déjà à cette adresse. Le PC indique qu''une opération de démolition d'une maison individuelle est prévue pour permettre l'opération d'habitations collectives de 15 logements'. ¶Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires.,"9",nord est
O,"7",,ALL,DE LA JARDINIERE,HABIT,"23","2","2","MAIRIE 12/04/2023: travaux non commencés¶INSEE 08/12/2022: Il existe déjà une EA à cette adresse. Le PC (sur construction existante) indique 'création de 2 logements supplémentaires dans un pavillon...'.¶Faut-il modifier le nombre de logement de l'EA existante, une fois les travaux terminés ? Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires.","9",nord est
O,"11",,ALL,DE LA REGALE,HABIT,"21","1","3","MAIRIE 12/04/2023: travaux non commencés¶INSEE 09/11/2022: PC 2ème vague : il s'agirait de la construction d'un pavillon sur vide technique type R+1+Combles amenages.  Il existe déjà 1 EA à cette adresse (au 11-13 allée Régale).  Merci de vérifier l'adressage, le positionnement, et l'actualité de l'EA.","7",est
O,"15",,R,JEAN JAURES,HABIT,"23","4","3",MAIRIE 12/04/2023: idem¶MAIRIE 09/11/2022: travaux en cours¶MAIRIE 08/03/2021:  travaux autorisés PC affiché¶INSEE 05/11/2020: Suite PC 2EFLUX 20-21 EA créée sur EA existante - Destruction ou rénovation de l'ancien bâti ? si oui il faudra périmer l'ancienne EA et garder l'EA avec le PC.,"6",centre
