num photo;jour;adresse;type d'infraction;type de place;observation;enlevé (oui/non)
256;19/12/2024;;;;;
342;19/12/2024;;;;;
442;19/12/2024;;;;;
454;19/12/2024;;;;;
502;19/12/2024;;;;;
545;19/12/2024;;;;;
837;19/12/2024;;;;;
15;30/12/2024;;;;;
29;30/12/2024;;;;;
108;30/12/2024;;;;;
139;30/12/2024;;;;;
301;30/12/2024;;;;;
400;30/12/2024;;;;;
402;30/12/2024;;;;;
416;30/12/2024;;;;;
419;30/12/2024;;;;;
421;30/12/2024;;;;;
427;30/12/2024;;;;;
505;30/12/2024;;;;;
655;30/12/2024;;;;;
714;30/12/2024;;;;;
745;30/12/2024;;;;;
802;30/12/2024;;;;;
817;30/12/2024;;;;;
847;30/12/2024;;;;;
903;30/12/2024;;;;;
905;30/12/2024;;;;;
913;30/12/2024;;;;;
