"","NOM_1_G","case"
"157","R DE MEAUX","3E"
"157.1","R DE MEAUX","2F"
"157.2","R DE MEAUX","3F"
"301","R DE PANURGE","2F"
"94","R DE PARIS","1D"
"274","R DE PLAISANCE","4B"
"297","R DE PRESSENSE","4C"
"91","R DE TREMEUGE","4C"
"56","R DE VARSOVIE","2B"
"188","R DE VERSAILLES","2E"
"188.1","R DE VERSAILLES","3E"
"45","R DENYS COCHIN","3C"
"45.1","R DENYS COCHIN","4C"
"319","R DES 5 ORMES","4C"
"229","R DES DROITS DE L'HOMME","2C"
"79","R DES ECOLES","3D"
"237","R DES ESCHOLIERS","2F"
"130","R DES FLORALIES","2E"
"105","R DES FRANCS AUBIERS","2F"
"105.1","R DES FRANCS AUBIERS","3F"
"304","R DES FRERES DARTY","2C"
"304.1","R DES FRERES DARTY","3C"
"304.2","R DES FRERES DARTY","2D"
"144","R DES GAZELLES","3D"
"144.1","R DES GAZELLES","4D"
"368","R DES LIMITES","4A"
"313","R DES PEUPLIERS","2B"
"227","R DESIRE LEON","4B"
"329","R DU 4 SEPTEMBRE","3E"
"129","R DU BEL AIR","4B"
"69","R DU BON AIR","2F"
"182","R DU BREUIL","2C"
"182.1","R DU BREUIL","2D"
"40","R DU CHALET","4C"
"318","R DU CHAMPART","2C"
"11","R DU CHEMIN DE FER PROLONGEE","3A"
"11.1","R DU CHEMIN DE FER PROLONGEE","4A"
"11.2","R DU CHEMIN DE FER PROLONGEE","3B"
"11.3","R DU CHEMIN DE FER PROLONGEE","4B"
"127","R DU CLOS VAILLANT","2B"
"199","R DU CYCLE","4D"
"158","R DU FER A CHEVAL","3F"
"149","R DU LEVANT","3B"
"149.1","R DU LEVANT","4B"
"279","R DU LION","2B"
"16","R DU MIDI","2A"
"16.1","R DU MIDI","2B"
"217","R DU MOLERET","3B"
"197","R DU POTAGER","1C"
"197.1","R DU POTAGER","1D"
"68","R DU PROFESSEUR VAILLANT","3C"
"68.1","R DU PROFESSEUR VAILLANT","4C"
"275","R DU PROGRES","4B"
"100","R DU SERGENT BOBILLOT","1B"
"100.1","R DU SERGENT BOBILLOT","2B"
"184","R DU VERGER","2F"
"162","R DU VIEUX CHATEAU","2B"
"209","R DU VIEUX MOULIN","1B"
"209.1","R DU VIEUX MOULIN","2B"
"209.2","R DU VIEUX MOULIN","2C"
"303","R EDOUARD VAILLANT","2B"
"303.1","R EDOUARD VAILLANT","3B"
"303.2","R EDOUARD VAILLANT","4B"
"82","R EMILE ZOLA","3E"
"9","R EMMANUEL FAIRON","3D"
"9.1","R EMMANUEL FAIRON","4D"
"244","R ERIC TABARLY","2E"
"244.1","R ERIC TABARLY","3E"
"365","R ETIENNE DOLET","2A"
"365.1","R ETIENNE DOLET","2B"
"240","R EUGENE MASSON","4B"
"240.1","R EUGENE MASSON","4C"
"160","R EUGENE VARLIN","2F"
"324","R FONTAINE","3D"
"324.1","R FONTAINE","3E"
"156","R FRANCOIS COLLET","3B"
"208","R FRANCOIS MARTIN","2D"
"384","R FRANCOIS VILLON","3E"
"356","R FRANCOISE HERITIER","2D"
"116","R FREMIN","1C"
"116.1","R FREMIN","2C"
"116.2","R FREMIN","1D"
"71","R GARGANTUA","2F"
"6","R GASTON DEFFERRE","3C"
"143","R GATINE","2D"
"57","R GEORGES ELIE","3D"
"57.1","R GEORGES ELIE","4D"
"309","R GEORGES GRAFF","4B"
"66","R GERMAINE TILLION","2E"
"346","R GISELE HALIMI","2D"
"277","R GUILLAUME APOLLINAIRE","2C"
"277.1","R GUILLAUME APOLLINAIRE","3C"
"256","R GUY DE MAUPASSANT","4C"
"247","R HELENE BOUCHER","2D"
"247.1","R HELENE BOUCHER","3D"
"308","R HENRI ALPY","3C"
"52","R HENRI DOUILLOT","4C"
"52.1","R HENRI DOUILLOT","4D"
"212","R HENRI DUNANT","3B"
"212.1","R HENRI DUNANT","3C"
"165","R HENRI MOULY","2E"
"245","R HENRI ROL TANGUY","2E"
"315","R HENRY ESPAULLARD","1C"
"155","R JACQUELINE AURIOL","3B"
"155.1","R JACQUELINE AURIOL","3C"
"132","R JEAN-MARIE TJIBAOU","3E"
"378","R JEAN JACQUES ROUSSEAU","2E"
"379","R JEAN JACQUES ROUSSEAU","2E"
"380","R JEAN JACQUES ROUSSEAU","2E"
"381","R JEAN JACQUES ROUSSEAU","2E"
"382","R JEAN JACQUES ROUSSEAU","2E"
"21","R JEAN JAURES","2C"
"21.1","R JEAN JAURES","2D"
"77","R JEAN MONNET","3A"
"364","R JEAN PIERRE LEVY","2E"
"299","R JOE CARMAN","2A"
"286","R JULES AUFFRET","3C"
"286.1","R JULES AUFFRET","3D"
"360","R JULES GUESDE","2C"
"361","R JULES GUESDE","2C"
"361.1","R JULES GUESDE","3C"
"361.2","R JULES GUESDE","1D"
"361.3","R JULES GUESDE","2D"
"232","R JULES LECOMTE","2F"
"202","R JULES LELONG","2B"
"28","R JULIE VICTOIRE DAUBIE","2D"
"28.1","R JULIE VICTOIRE DAUBIE","3D"
"280","R LAUG","3D"
"254","R LOUIS AUGUSTE BLANQUI","4B"
"254.1","R LOUIS AUGUSTE BLANQUI","2C"
"254.2","R LOUIS AUGUSTE BLANQUI","3C"
"254.3","R LOUIS AUGUSTE BLANQUI","4C"
"75","R LOUIS LEON COLLIGNON","3B"
"75.1","R LOUIS LEON COLLIGNON","3C"
"251","R LUCIE AUBRAC","2E"
