"","NATURE","NOM_1_G","case","creche"
"276","Route à 1 chaussée","ALL DE LA VILLA JEANNETTE","3B","Cabane des petits"
"277","Sentier","2","3B","Cabane des petits"
"282","Sentier","11","3B","Cabane des petits"
"287","Sentier","3","3B","Cabane des petits"
"289","Route à 1 chaussée","AV MARIE CURIE","3B","Cabane des petits"
"295","Route à 1 chaussée","ALL CLAUDE DEBUSSY","3B","Cabane des petits"
"296","Route à 1 chaussée","SEN BLERIOT","3B","Cabane des petits"
"299","Route à 1 chaussée","R DU LEVANT","3B","Cabane des petits"
"302","Sentier","R JACQUELINE AURIOL","3B","Cabane des petits"
"303","Route à 1 chaussée","R FRANCOIS COLLET","3B","Cabane des petits"
"306","Sentier","4","3B","Cabane des petits"
"308","Route à 1 chaussée","R DE LA SOLIDARITE","3B","Cabane des petits"
"309","Sentier","14","3B","Cabane des petits"
"310.1","Route à 1 chaussée","ALL MONTPLAISIR","3B","Cabane des petits"
"314","Route à 1 chaussée","ALL DE LA CONCORDE","3B","Cabane des petits"
"315","Route à 1 chaussée","R RUDYARD KIPLING","3B","Cabane des petits"
"316","Route à 1 chaussée","AV DENISE","3B","Cabane des petits"
"319.1","Route à 1 chaussée","R RENE CHAR","3B","Cabane des petits"
"324","Route à 1 chaussée","AV GENEVIEVE ANTHONIOZ DE GAULLE","3B","Cabane des petits"
"326","Sentier","5","3B","Cabane des petits"
"327","Sentier","R MARGUERITE DURAS","3B","Cabane des petits"
"330","Route à 1 chaussée","ALL DE LA PAIX","3B","Cabane des petits"
"331","Route à 1 chaussée","R HENRI DUNANT","3B","Cabane des petits"
"332","Sentier","13","3B","Cabane des petits"
"333","Route à 1 chaussée","R DU MOLERET","3B","Cabane des petits"
"334","Route à 1 chaussée","ALL DES COLOMBES","3B","Cabane des petits"
"335.2","Route à 1 chaussée","R PAULINE ROGER","3B","Cabane des petits"
"341","Route à 1 chaussée","ALL C GOUNOD","3B","Cabane des petits"
"344","Sentier","6","3B","Cabane des petits"
"351.1","Route à 1 chaussée","R BORDIER","3B","Cabane des petits"
"353","Sentier","7","3B","Cabane des petits"
"358","Route à 1 chaussée","IMP DE LA LIBERTE","3B","Cabane des petits"
"359","Route à 1 chaussée","ALL MARIE LAURENCIN","3B","Cabane des petits"
"368","Route à 1 chaussée","R ALEXANDRA DAVID NEEL","3B","Cabane des petits"
"369","Sentier","9","3B","Cabane des petits"
"371.1","Route à 1 chaussée","ALL DU GROS BUISSON","3B","Cabane des petits"
"372","Route à 1 chaussée","AV BLERIOT","3B","Cabane des petits"
"373","Chemin","IMP DE LA SOLIDARITE","3B","Cabane des petits"
"374","Route à 1 chaussée","ALL DES SYLPHES","3B","Cabane des petits"
"377","Rond-point","R SIMONE DE BEAUVOIR","3B","Cabane des petits"
"379.1","Route à 1 chaussée","R EDOUARD VAILLANT","3B","Cabane des petits"
"382","Sentier","10","3B","Cabane des petits"
"385","Route à 1 chaussée","AV CADERAS","3B","Cabane des petits"
"387","Sentier","12","3B","Cabane des petits"
"392","Sentier","8","3B","Cabane des petits"
"393","Route à 1 chaussée","ALL VICTOR HUGO","3B","Cabane des petits"
"394.2","Route à 1 chaussée","ALL DE L'ORME","3B","Cabane des petits"
"397","Route à 1 chaussée","ALL GABRIEL FAURE","3B","Cabane des petits"
"398","Route à 1 chaussée","ALL HECTOR BERLIOZ","3B","Cabane des petits"
"164","Route à 1 chaussée","ALL MOLIERE","4B","Crèche Arc en Ciel"
"196","Route à 1 chaussée","R EUGENE MASSON","4B","Crèche Arc en Ciel"
"231.3","Route à 1 chaussée","R DU CHEMIN DE FER PROLONGEE","4B","Cabane des petits"
"238.1","Route à 1 chaussée","ALL DES LETTRES","4B","Cabane des petits"
"242","Route à 1 chaussée","ALL DES COURTS SILLONS","4B","Cabane des petits"
"243","Route à 1 chaussée","ALL DES ALOUETTES","4B","Cabane des petits"
"262","Route à 1 chaussée","AV DES SCIENCES","4B","Cabane des petits"
"265","Route à 1 chaussée","ALL MARYSE BASTIE","4B","Cabane des petits"
"266","Route à 1 chaussée","ALL BOILEAU","4B","Cabane des petits"
"268","Route à 1 chaussée","ALL DES ARTS","4B","Cabane des petits"
"269","Route à 1 chaussée","ALL DES CHENES","4B","Cabane des petits"
"270.1","Route à 1 chaussée","ALL GABRIELLE","4B","Cabane des petits"
"279","Route empierrée","ALL POQUE","4B","Cabane des petits"
"285.1","Route à 1 chaussée","R DE LA PHILOSOPHIE","4B","Cabane des petits"
"290","Route à 1 chaussée","R DU BEL AIR","4B","Cabane des petits"
"299.1","Route à 1 chaussée","R DU LEVANT","4B","Cabane des petits"
"301","Route à 1 chaussée","ALL LOUISE","4B","Cabane des petits"
"304","Route à 1 chaussée","R CHARLES MAGNE","4B","Cabane des petits"
"311.1","Route à 1 chaussée","AV ANATOLE FRANCE","4B","Cabane des petits"
"312","Route à 1 chaussée","ALL RACINE","4B","Cabane des petits"
"317","Route à 1 chaussée","AV DUMESNIL","4B","Cabane des petits"
"324.1","Route à 1 chaussée","AV GENEVIEVE ANTHONIOZ DE GAULLE","4B","Cabane des petits"
"330.1","Route à 1 chaussée","ALL DE LA PAIX","4B","Cabane des petits"
"338","Route à 1 chaussée","AV DE L'IDEAL","4B","Cabane des petits"
"340","Route à 1 chaussée","R DESIRE LEON","4B","Cabane des petits"
"354","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI","4B","Cabane des petits"
"356.1","Route à 1 chaussée","R DE LA BUTTE","4B","Cabane des petits"
"363","Route à 1 chaussée","R DE PLAISANCE","4B","Cabane des petits"
"364","Route à 1 chaussée","R DU PROGRES","4B","Cabane des petits"
"365","Route à 1 chaussée","ALL JOACHIM DU BELLAY","4B","Cabane des petits"
"376","Route à 1 chaussée","ALL BECQUEREL","4B","Cabane des petits"
"379.2","Route à 1 chaussée","R EDOUARD VAILLANT","4B","Cabane des petits"
"380","Route à 1 chaussée","AV DE L'ESPERANCE","4B","Cabane des petits"
"383","Route à 1 chaussée","R GEORGES GRAFF","4B","Cabane des petits"
"391","Route à 1 chaussée","ALL CORNEILLE","4B","Cabane des petits"
"143","Route à 1 chaussée","ALL RULHIERE","1C","Crèche Arc en Ciel"
"161","Route à 1 chaussée","R MICHELET","1C","Crèche Arc en Ciel"
"163","Route à 1 chaussée","R FREMIN","1C","Crèche Arc en Ciel"
"167","Route à 1 chaussée","AV DE ROSNY (à partir 195 / 204)","1C","Crèche Arc en Ciel"
"168","Route à 1 chaussée","R PHILEAS COLLARDEAU","1C","Crèche Arc en Ciel"
"171","Route à 1 chaussée","R DE CRONSTADT","1C","Crèche Arc en Ciel"
"186","Route à 1 chaussée","R DU POTAGER","1C","Crèche Arc en Ciel"
"210","Route à 1 chaussée","VLA GABRIEL SEAILLES","1C","Crèche Arc en Ciel"
"257","Route à 1 chaussée","R BAUDIN","1C","Cabane des petits"
"286","Chemin","PAS MICHELET","1C","Cabane des petits"
"291","Route à 1 chaussée","AV DE ROSNY (JUSQU'AU 187 / 202 )","1C","Cabane des petits"
"388","Route à 1 chaussée","R HENRY ESPAULLARD","1C","Cabane des petits"
"127","Route à 1 chaussée","R JEAN JAURES","2C","Crèche Arc en Ciel"
"131","Route à 1 chaussée","PL CHARLES DE GAULLE","2C","Crèche Arc en Ciel"
"133","Route à 1 chaussée","R ROGER SALENGRO","2C","Crèche Arc en Ciel"
"140","Route à 1 chaussée","R SAINTE-BARBE","2C","Crèche Arc en Ciel"
"143.1","Route à 1 chaussée","ALL RULHIERE","2C","Crèche Arc en Ciel"
"145","Sentier","RLE SAINTE-BARBE","2C","Crèche Arc en Ciel"
"155","Route à 1 chaussée","CRS DE LA REPUBLIQUE","2C","Crèche Arc en Ciel"
"159","Route à 1 chaussée","R PAUL VAILLANT COUTURIER","2C","Crèche Arc en Ciel"
"161.1","Route à 1 chaussée","R MICHELET","2C","Crèche Arc en Ciel"
"162","Route à 1 chaussée","AV CARNOT","2C","Crèche Arc en Ciel"
"163.1","Route à 1 chaussée","R FREMIN","2C","Crèche Arc en Ciel"
"168.1","Route à 1 chaussée","R PHILEAS COLLARDEAU","2C","Crèche Arc en Ciel"
"169","Route à 1 chaussée","PL DE LA DIVISION LECLERC","2C","Crèche Arc en Ciel"
"174","Route à 1 chaussée","R BEAUREGARD IMPAIR","2C","Crèche Arc en Ciel"
"182","Route à 1 chaussée","R DU BREUIL","2C","Crèche Arc en Ciel"
"188","Route à 1 chaussée","R YVONNE (JUSQU'AU 31 / 36)","2C","Crèche Arc en Ciel"
"194","Route à 1 chaussée","R DES DROITS DE L'HOMME","2C","Crèche Arc en Ciel"
"199","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI IMPAIR","2C","Crèche Arc en Ciel"
"201","Route à 1 chaussée","VLA DU BREUIL","2C","Crèche Arc en Ciel"
"205","Route à 1 chaussée","R GUILLAUME APOLLINAIRE","2C","Crèche Arc en Ciel"
"209","Route empierrée","SQ DU 8 MAI 1945","2C","Crèche Arc en Ciel"
"212","Route à 1 chaussée","R DES FRERES DARTY","2C","Crèche Arc en Ciel"
"218","Route à 1 chaussée","PL DU 11 NOVEMBRE 1918","2C","Crèche Arc en Ciel"
"223","Route à 2 chaussées","R AUGUSTE POLISSARD","2C","Crèche Arc en Ciel"
"225","Rond-point","R JULES GUESDE","2C","Crèche Arc en Ciel"
"226","Rond-point","R JULES GUESDE","2C","Crèche Arc en Ciel"
"232","Route à 1 chaussée","ALL DE L'EGALITE","2C","Cabane des petits"
"236.1","Route empierrée","VLA DES MARRONNIERS","2C","Cabane des petits"
"240.1","Route à 1 chaussée","R ROGER SALENGRO (A PARTIR DE 31 et 68)","2C","Cabane des petits"
"252","Route à 1 chaussée","VLA CARNOT","2C","Cabane des petits"
"257.1","Route à 1 chaussée","R BAUDIN","2C","Cabane des petits"
"274","Route à 1 chaussée","VLA PARMENTIER","2C","Cabane des petits"
"278.1","Route à 1 chaussée","AV CARNOT (A PARTIR DE 56 / 59)","2C","Cabane des petits"
"286.1","Chemin","PAS MICHELET","2C","Cabane des petits"
"293","Route à 1 chaussée","VLA LAVIGNE","2C","Cabane des petits"
"298","Route à 1 chaussée","R BEAUREGARD PAIRS","2C","Cabane des petits"
"321","Route à 1 chaussée","R DE L'EGALITE","2C","Cabane des petits"
"323","Route à 1 chaussée","R YVONNE (37 et 39 uniquement)","2C","Cabane des petits"
"328.2","Route à 1 chaussée","R DU VIEUX MOULIN","2C","Cabane des petits"
"337","Route à 1 chaussée","ALL DE FURCI","2C","Cabane des petits"
"339.1","Route à 1 chaussée","AV DE LA REPUBLIQUE","2C","Cabane des petits"
"348","Route à 1 chaussée","R DE LA FRATERNITE","2C","Cabane des petits"
"354.1","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI","2C","Cabane des petits"
"361","Route à 1 chaussée","PL ALBERT THOMAS","2C","Cabane des petits"
"362","Route à 1 chaussée","IMP CARNOT","2C","Cabane des petits"
"390","Route à 1 chaussée","R DU CHAMPART","2C","Cabane des petits"
"118","Route à 1 chaussée","R GASTON DEFFERRE","3C","Crèche Arc en Ciel"
"119","Route à 1 chaussée","ALL DES RENONCULES","3C","Crèche Arc en Ciel"
"121","Route à 1 chaussée","AV PASTEUR","3C","Crèche Arc en Ciel"
"123","Route à 1 chaussée","R NEUVE","3C","Crèche Arc en Ciel"
"136","Route à 1 chaussée","CITE DES SAULES","3C","Crèche Arc en Ciel"
"137","Route à 1 chaussée","PL DES ECOLES","3C","Crèche Arc en Ciel"
"138","Route à 1 chaussée","R DENYS COCHIN","3C","Crèche Arc en Ciel"
"139","Route à 1 chaussée","R NOEMIE","3C","Crèche Arc en Ciel"
"146","Route à 1 chaussée","R DU PROFESSEUR VAILLANT","3C","Crèche Arc en Ciel"
"151","Route à 1 chaussée","PL NICOLE NEUBURGER","3C","Crèche Arc en Ciel"
"162.1","Route à 1 chaussée","AV CARNOT","3C","Crèche Arc en Ciel"
"183","Route à 1 chaussée","R PIERRE BROSSOLETTE","3C","Crèche Arc en Ciel"
"197","Route à 1 chaussée","ALL VOLTAIRE","3C","Crèche Arc en Ciel"
"199.1","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI IMPAIR","3C","Crèche Arc en Ciel"
"202","Route à 1 chaussée","ALL DES PRIMEVERES","3C","Crèche Arc en Ciel"
"203","Route à 1 chaussée","R DE L'ABBE MAURICE BAURIT","3C","Crèche Arc en Ciel"
"204","Route à 1 chaussée","PL GEORGES LYSSANDRE","3C","Crèche Arc en Ciel"
"205.1","Route à 1 chaussée","R GUILLAUME APOLLINAIRE","3C","Crèche Arc en Ciel"
"207","Route à 1 chaussée","R JULES AUFFRET","3C","Crèche Arc en Ciel"
"212.1","Route à 1 chaussée","R DES FRERES DARTY","3C","Crèche Arc en Ciel"
"213","Route à 1 chaussée","R HENRI ALPY","3C","Crèche Arc en Ciel"
"218.1","Route à 1 chaussée","PL DU 11 NOVEMBRE 1918","3C","Crèche Arc en Ciel"
"220","Route à 2 chaussées","AV HENRI BARBUSSE","3C","Crèche Arc en Ciel"
"221","Route à 2 chaussées","AV HENRI BARBUSSE","3C","Crèche Arc en Ciel"
"222","Route à 2 chaussées","R CHARLES FERDINAND","3C","Crèche Arc en Ciel"
"224","Sentier",NA,"3C","Crèche Arc en Ciel"
"226.1","Rond-point","R JULES GUESDE","3C","Crèche Arc en Ciel"
"228","Route à 2 chaussées","AV MAL DE LATTRE DE TASSIGNY","3C","Crèche Arc en Ciel"
"247","Route à 1 chaussée","PL DES ECOLES","3C","Cabane des petits"
"250.1","Route à 1 chaussée","R MARTIN LUTHER KING","3C","Cabane des petits"
"261.1","Route à 1 chaussée","R LOUIS LEON COLLIGNON","3C","Cabane des petits"
"273.1","Route à 1 chaussée","ALL DE LA FAUVETTE","3C","Cabane des petits"
"276.1","Route à 1 chaussée","ALL DE LA VILLA JEANNETTE","3C","Cabane des petits"
"280","Route à 1 chaussée","ALL ALEXANDRE MARTHE","3C","Cabane des petits"
"296.1","Route à 1 chaussée","SEN BLERIOT","3C","Cabane des petits"
"302.1","Sentier","R JACQUELINE AURIOL","3C","Cabane des petits"
"308.1","Route à 1 chaussée","R DE LA SOLIDARITE","3C","Cabane des petits"
"314.1","Route à 1 chaussée","ALL DE LA CONCORDE","3C","Cabane des petits"
"331.1","Route à 1 chaussée","R HENRI DUNANT","3C","Cabane des petits"
"337.1","Route à 1 chaussée","ALL DE FURCI","3C","Cabane des petits"
"351.2","Route à 1 chaussée","R BORDIER","3C","Cabane des petits"
"354.2","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI","3C","Cabane des petits"
"372.1","Route à 1 chaussée","AV BLERIOT","3C","Cabane des petits"
"375","Route à 1 chaussée","R PAUL ELUARD","3C","Cabane des petits"
"122","Route à 1 chaussée","ALL DE LA REGALE","4C","Crèche Arc en Ciel"
"134","Route à 1 chaussée","R RAOUL","4C","Crèche Arc en Ciel"
"135","Route à 1 chaussée","R DU CHALET","4C","Crèche Arc en Ciel"
"138.1","Route à 1 chaussée","R DENYS COCHIN","4C","Crèche Arc en Ciel"
"142","Route à 1 chaussée","R HENRI DOUILLOT","4C","Crèche Arc en Ciel"
"146.1","Route à 1 chaussée","R DU PROFESSEUR VAILLANT","4C","Crèche Arc en Ciel"
"149","Route à 1 chaussée","R DE L'AVIATION","4C","Crèche Arc en Ciel"
"150","Route à 1 chaussée","R DE TREMEUGE","4C","Crèche Arc en Ciel"
"151.1","Route à 1 chaussée","PL NICOLE NEUBURGER","4C","Crèche Arc en Ciel"
"156","Route à 1 chaussée","ALL THERESE","4C","Crèche Arc en Ciel"
"164.1","Route à 1 chaussée","ALL MOLIERE","4C","Crèche Arc en Ciel"
"165","Route à 1 chaussée","R BERNARD DE JUSSIEU","4C","Crèche Arc en Ciel"
"166","Route à 1 chaussée","ALL MARCEL SEMBAT","4C","Crèche Arc en Ciel"
"175","Route à 1 chaussée","ALL DU RENDEZ VOUS","4C","Crèche Arc en Ciel"
"180","Route à 1 chaussée","AV DE VERDUN","4C","Crèche Arc en Ciel"
"185","Route à 1 chaussée","ALL ALICE","4C","Crèche Arc en Ciel"
"193","Route à 1 chaussée","ALL ANDREA","4C","Crèche Arc en Ciel"
"195","Route à 1 chaussée","AV ALBERT THOMAS","4C","Crèche Arc en Ciel"
"196.1","Route à 1 chaussée","R EUGENE MASSON","4C","Crèche Arc en Ciel"
"199.2","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI IMPAIR","4C","Crèche Arc en Ciel"
"200","Route à 1 chaussée","R GUY DE MAUPASSANT","4C","Crèche Arc en Ciel"
"208","Route à 1 chaussée","R CESAR DELAINE","4C","Crèche Arc en Ciel"
"211","Route à 1 chaussée","R DE PRESSENSE","4C","Crèche Arc en Ciel"
"216","Route à 1 chaussée","R DES 5 ORMES","4C","Crèche Arc en Ciel"
"221.1","Route à 2 chaussées","AV HENRI BARBUSSE","4C","Crèche Arc en Ciel"
"266.1","Route à 1 chaussée","ALL BOILEAU","4C","Cabane des petits"
"269.1","Route à 1 chaussée","ALL DES CHENES","4C","Cabane des petits"
"330.2","Route à 1 chaussée","ALL DE LA PAIX","4C","Cabane des petits"
"354.3","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI","4C","Cabane des petits"
"391.1","Route à 1 chaussée","ALL CORNEILLE","4C","Cabane des petits"
"15","Route à 1 chaussée","CHE LATERAL","1D","Maison de la petite enfance"
"17","Route à 2 chaussées","AV GALLIENI IMPAIRS","1D","Maison de la petite enfance"
"27","Route à 2 chaussées","RTE DE STAINS","1D","Maison de la petite enfance"
"94","Chemin","QUAI HUBERTINE AUCLERT","1D","Maison de la petite enfance"
"113","Route à 1 chaussée","CHE DE GROSLAY","1D","Maison de la petite enfance"
"147","Route à 2 chaussées","AV GALLIENI PAIR","1D","Crèche Arc en Ciel"
"152","Route à 2 chaussées","R DE PARIS","1D","Crèche Arc en Ciel"
"163.2","Route à 1 chaussée","R FREMIN","1D","Crèche Arc en Ciel"
"167.1","Route à 1 chaussée","AV DE ROSNY (à partir 195 / 204)","1D","Crèche Arc en Ciel"
"186.1","Route à 1 chaussée","R DU POTAGER","1D","Crèche Arc en Ciel"
"226.2","Rond-point","R JULES GUESDE","1D","Crèche Arc en Ciel"
"6","Sentier","ALL DES ROSES","2D","Maison de la petite enfance"
"15.1","Route à 1 chaussée","CHE LATERAL","2D","Maison de la petite enfance"
"17.1","Route à 2 chaussées","AV GALLIENI IMPAIRS","2D","Maison de la petite enfance"
"18","Route à 1 chaussée","R NADIA MURAD","2D","Maison de la petite enfance"
"28","Sentier","ALL DES GLAIEULS","2D","Maison de la petite enfance"
"32","Sentier","ALL DES HORTENSIAS","2D","Maison de la petite enfance"
"34","Route à 1 chaussée","ALL DES AZALEES","2D","Maison de la petite enfance"
"39","Route à 1 chaussée","ALL DES TULIPES","2D","Maison de la petite enfance"
"42","Route à 1 chaussée","ALL DES LAURIERS","2D","Maison de la petite enfance"
"49","Route à 1 chaussée","AV GUEUGNON","2D","Maison de la petite enfance"
"52","Route à 1 chaussée","R FRANCOIS MARTIN","2D","Maison de la petite enfance"
"67","Route à 1 chaussée","ALL DES DAHLIAS","2D","Maison de la petite enfance"
"83","Sentier","ALL DES GLYCINES","2D","Maison de la petite enfance"
"92","Chemin","R SIMONE VEIL","2D","Maison de la petite enfance"
"93","Chemin","R GISELE HALIMI","2D","Maison de la petite enfance"
"94.1","Chemin","QUAI HUBERTINE AUCLERT","2D","Maison de la petite enfance"
"99","Route à 1 chaussée","R. ARETHA FRANKLIN","2D","Maison de la petite enfance"
