X,Y,Compter - Colonne A,matriceDistance_Distance,identifiant
661740.5,6868297.28,"52","1434.43188950355","68"
661742.63,6867955.78,"9","1113.66222133121","69"
661743.5,6868078.64,"9","1227.18889920502","70"
661747.21,6868121.68,"8","1266.19685587211","71"
661747.3,6867973.87,"9","1128.49587307292","72"
661750.16,6867990.71,"9","1142.96786081712","73"
661755.41,6868011.06,"8","1159.88921981992","74"
661755.75,6868175.02,"10","1313.61782089063","75"
661762.91,6868117.26,"9","1256.71800764327","76"
661767.03,6868074.5,"8","1215.07771215314","77"
661767.99,6867951.39,"9","1099.82328908519","78"
661770.87,6867970.97,"9","1116.92047131126","79"
661775.29,6867984.66,"8","1128.05591821502","80"
661778,6868182.7,"10","1313.86409158586","81"
661778.18,6868005.42,"9","1146.41951611445","82"
661779.01,6868113.23,"8","1247.62003291265","83"
661781.27,6868169.76,"10","1300.54527305284","84"
661781.84,6868024.61,"9","1163.13153968899","85"
661788.4,6868365.2,"51","1485.78012886018","86"
661789.8,6868518.5,"10","1633.7678353559","87"
661793,6868388.5,"52","1507.06426219435","88"
661797.2,6868561.7,"10","1674.01752995745","90"
661797.3,6868411.5,"52","1528.20633285559","91"
661801,6868109.56,"9","1237.19065843245","92"
661802,6868435.5,"52","1550.28448245145","93"
661804.5,6866643.9,"10","475.722452485094","94"
661806.3,6868458.7,"51","1571.75188251884","95"
661806.9,6866652.6,"15","468.564113164819","96"
661807.3,6867404.2,"27","602.556318249884","97"
661813.6,6866672,"15","451.740493851243","99"
661814.35,6868106.73,"8","1230.4385007581","100"
661814.4,6866641,"16","469.69044640808","101"
661819,6868593.4,"10","1700.08985152299","102"
661819.1,6866663.2,"12","452.44756507874","103"
661820.7,6866668.2,"8","448.193788404415","104"
661824.2,6866638.2,"12","463.823217455308","105"
661825,6868608.9,"10","1713.97406708943","106"
661826,6866666.7,"13","444.821923616609","107"
661828.9,6868627.7,"11","1731.56557810188","108"
661829.27,6868102.32,"7","1221.83430919178","109"
661831.3,6866665.1,"11","441.553654738183","110"
661831.4,6868643,"10","1746.04250853936","111"
661834,6866635.3,"17","458.17258344252","112"
661834.2,6868658.7,"10","1760.86966812241","113"
661836.6,6866663.5,"17","438.330954298792","114"
661837.8,6868675,"10","1776.14940772509","115"
661840.7,6868692.7,"10","1792.96219601947","116"
661841.9,6866661.9,"10","435.154834727892","117"
661843.8,6866632.5,"16","452.615864043828","118"
661844.4,6868711,"10","1810.23640990356","119"
661846,6866641.4,"12","445.095323314891","120"
661847.3,6868727,"15","1825.42357296784","121"
661850,6866650,"1","436.458486894069","122"
661853.07,6868502.09,"6","1603.65984350561","123"
661864.3,6868402.2,"12","1503.61690209978","124"
661868.79,6868482.07,"8","1580.87640632653","125"
661872.99,6868327.48,"4","1428.76397892583","126"
661875.08,6868481.44,"7","1579.02225386303","127"
661883.1,6868399.1,"12","1496.71327140375","128"
661884.11,6868479.61,"6","1575.49203937831","129"
661885.95,6868325.05,"4","1423.63566957802","130"
661886,6868376.11,"10","1473.60735471564","131"
661893.45,6867398.11,"35","547.852054666803","132"
661893.86,6868476.22,"6","1570.34198609414","133"
661895.58,6868803.15,"17","1892.41566194172","134"
661899.6,6868395.9,"11","1490.35800949483","135"
661900.29,6868322.4,"4","1418.12056447283","136"
661902.3,6868373.3,"10","1467.65580391655","137"
661904.9,6866643.6,"12","400.826308043792","138"
661910.47,6868803.12,"17","1890.18575170408","139"
661912.69,6868324.48,"4","1417.74719458784","140"
661913.4,6867321.5,"25","472.823328059026","141"
661913.9,6867272.6,"19","433.195074497323","142"
661917.2,6867255.64,"20","417.916197112671","144"
661920.4,6868370,"10","1461.0612593882","145"
661921.4,6868391.9,"12","1482.43621572253","146"
661922.32,6867303.76,"12","453.166860976555","147"
661924.62,6868801.46,"17","1886.55676082943","148"
661926.44,6868322.82,"4","1413.56220511821","149"
661928,6866636.6,"12","390.471358170559","150"
661930.88,6867303.54,"14","448.125054607139","151"
661931,6866364,"1","621.892565096836","152"
661938.21,6868319.8,"4","1408.50312579124","153"
661938.4,6868366.7,"10","1454.68634096677","154"
661939.5,6866636.8,"1","382.920781387425","155"
661941.3,6868388.4,"12","1475.60781058689","156"
661943.47,6868798.98,"17","1881.61262457168","157"
661950,6866650,"1","366.054760996239","158"
661956.5,6868363.4,"10","1448.49900332254","159"
661957.28,6868177.22,"54","1264.78090246117","160"
661957.66,6868317.91,"4","1403.39468250926","161"
661960.76,6868199.15,"54","1285.76316204251","162"
661962.44,6867366.81,"10","486.68510717419","163"
661966.03,6868222.64,"52","1308.02667148945","164"
661966.6,6868777.3,"16","1857.27845482751","165"
661969.74,6868249.67,"54","1334.09664300555","166"
661974.6,6868360.1,"10","1442.51983297423","167"
661975.04,6868277.47,"53","1360.73188325871","168"
661976.13,6867266,"12","391.992748981693","169"
661976.57,6867362.8,"10","476.841479302093","170"
661977.7,6868383.7,"11","1465.44255670487","171"
661977.83,6867238.97,"12","368.336041256125","172"
661978.44,6867211.91,"12","345.801497015282","173"
661979.78,6867282.44,"12","404.221301919269","174"
661981.7,6868403.9,"12","1484.9021978132","175"
661983.11,6867310.26,"12","426.954740478512","176"
661985.9,6868425.4,"12","1505.65482548451","177"
661986.9,6868773.6,"11","1851.34884447671","178"
661987.56,6867359.59,"9","469.277563906232","179"
661991.99,6868705.27,"5","1782.86049399324","180"
661992.77,6868722.71,"40","1800.12035301926","181"
662001.31,6867357.93,"10","462.207169514403","182"
662001.63,6868228.17,"10","1308.085782146","183"
662002.5,6868208.39,"10","1288.37550037074","184"
662003.43,6868248.51,"10","1327.99088471047","185"
662007.1,6868769.9,"12","1845.64042299191","186"
662008.6,6868402.2,"12","1479.81629843927","187"
662009.14,6868266.96,"10","1345.52842279135","188"
662009.75,6868285.75,"10","1364.08786101074","189"
662011,6868300.43,"10","1378.49586106197","190"
662012.09,6867202.24,"12","318.86095638389","191"
662016.29,6868319.84,"10","1397.11933355588","192"
662017.33,6867221.81,"12","332.936982116614","193"
662018.19,6867353.9,"10","452.09812102962","194"
662018.63,6868340.43,"10","1417.29418772753","195"
662021.59,6868740.95,"24","1815.48023868963","196"
662023,6868399.3,"12","1475.31022506744","197"
662027.4,6868766.2,"12","1840.13508932879","198"
662033.69,6868728.32,"22","1801.86000277955","199"
662039.1,6868395.9,"12","1470.27271616064","200"
662044.3,6867153.57,"12","260.509190005772","201"
662046.34,6867178.49,"12","280.952875095176","202"
662047.6,6868762.5,"12","1834.85268178342","203"
662050.01,6866632.09,"8","328.55213097086","204"
662051,6866618.8,"8","340.373674305608","205"
662053.74,6866783.36,"10","197.198023910026","206"
662056.1,6868393.2,"12","1466.02224576181","207"
662057.5,6866644.8,"8","313.904826600475","208"
662059.4,6866652.1,"8","306.45348013444","209"
662060.6,6868240.4,"22","1313.42181394874","210"
662061.81,6866806.42,"10","174.688226893291","211"
662063.4,6866556.3,"8","394.844574979781","212"
662064.6,6866672.1,"8","286.065916621789","213"
662065.4,6867127.9,"2","227.593913822471","214"
662065.9,6866564.9,"8","385.890393453524","215"
662066.2,6866678.5,"8","279.577160575385","216"
662066.55,6866695.12,"8","264.397992204306","217"
662068.37,6866830.82,"12","152.990826928568","218"
662069,6867147.6,"2","242.997445187785","219"
662070.2,6866583.6,"8","366.766848190432","220"
662071.7,6866589.9,"7","360.309949880132","221"
662072.2,6866705.5,"8","252.591339233827","222"
662074.4,6868725.01,"22","1795.65179284385","223"
662076.1,6868230.3,"11","1302.00716595817","224"
662076.31,6866855.39,"12","131.347424518589","225"
662077.86,6866875.16,"10","119.405345242316","226"
662078.2,6867010.5,"7","130.074078704598","227"
662078.44,6867115.81,"2","210.575850062461","228"
662079.2,6868388.4,"12","1459.42355181259","229"
662079.45,6867113.24,"2","207.842561276032","230"
662080.69,6867242.02,"9","325.620538403315","231"
662081.24,6867252.71,"34","335.626025562811","232"
662083.71,6867270.73,"13","352.149344689223","233"
662084.37,6867264.74,"30","346.215767326071","234"
662085.5,6868207.8,"22","1278.83509992129","235"
662085.8,6867147,"2","235.074051472308","236"
662086.04,6867328.2,"2","407.077799098848","237"
662088.46,6867287.65,"43","367.177351048094","238"
662088.8,6868226.8,"24","1297.54005403405","239"
662089.24,6867195.77,"10","279.083844723879","240"
662091.55,6867310.38,"42","388.46008784778","241"
662095.87,6867375.94,"10","451.615949433945","242"
662096.68,6867342.5,"42","418.67641683297","243"
662099.13,6867355.81,"43","431.233417479874","244"
662103.18,6868727.62,"12","1796.75731857335","245"
662106.3,6868218.9,"24","1288.50745010197","246"
662107.94,6867397.03,"10","470.27020216592","247"
662111.29,6867411.42,"10","483.980750969844","248"
662111.4,6868382.9,"12","1452.00523566016","249"
662111.43,6868712.5,"6","1781.30314746348","250"
662116.04,6868676.04,"6","1744.68886218245","251"
662120.52,6866820.19,"21","128.472751694007","252"
662121.15,6868578.1,"12","1646.61968793646","253"
662132.72,6866818.34,"21","124.749864778006","254"
662132.87,6868714.86,"6","1782.93627081361","255"
662137.61,6868570.15,"11","1638.14141882135","256"
662145.68,6868718.94,"6","1786.70533768539","257"
662146.96,6868674.24,"6","1741.98568632983","258"
662150.01,6866810.95,"21","126.04366108848","259"
662153.9,6868581.73,"6","1649.35534501506","260"
662156.01,6868602.89,"4","1670.47881525892","261"
662157.97,6867391.06,"10","459.011275377042","262"
662159.57,6868678.86,"12","1746.39422084609","263"
662159.64,6868616.59,"6","1684.12488227637","264"
662159.84,6866812,"21","122.845267256552","265"
662162,6867306.87,"10","374.720405654177","266"
662163.68,6867323.33,"10","391.073798192448","267"
662164.42,6868698.43,"12","1765.90758495549","268"
662165.34,6867337.44,"10","405.095556795224","269"
662167.67,6868714.09,"11","1781.53781487573","270"
662168.22,6867356.63,"10","424.164123416546","271"
662169.54,6867377.4,"10","444.884167067494","272"
662173.09,6868683.7,"5","1751.10958490788","273"
662174.79,6867437.21,"6","504.569120091457","274"
662175.2,6866686.6,"12","246.261492838229","275"
662175.74,6868704.1,"22","1771.49854752052","276"
662176.13,6866806.6,"21","126.304011331251","277"
662178.1,6866509.6,"1","423.190568762807","278"
662181.7,6867394.9,"10","462.19845667024","279"
662184.93,6867424.6,"6","491.90617730621","280"
662185.36,6866804.78,"21","127.998490996592","281"
662189.94,6867396.24,"54","463.59833899622","282"
662198.6,6867408.3,"10","475.87272622321","283"
662200.27,6866800.56,"21","133.380885045473","284"
662201.68,6868204.69,"23","1272.1888662242","285"
662204.12,6867313.66,"10","381.567536694733","286"
662209.45,6866798.93,"21","136.511753858303","287"
662209.5,6866255.9,"1","677.428085618109","288"
662210.9,6866677.5,"12","256.835280027217","289"
662211.6,6866261.3,"1","672.119792846773","290"
662213.8,6866266.9,"1","666.624493383059","291"
662217.15,6866522.78,"21","411.45258444222","292"
662217.58,6866232.28,"1","701.389982054257","293"
662218.1,6866277.8,"1","655.95551813704","294"
662218.15,6867420.51,"10","489.113948519211","295"
662221.4,6866231.7,"1","702.170830799344","296"
662221.59,6866540.59,"21","394.123638071858","297"
662222.3,6866288.7,"1","645.316769308689","298"
662222.9,6866245.5,"1","688.47790640693","299"
662224.56,6867311.96,"10","381.582124113379","300"
662226.3,6866221,"1","713.139967632886","301"
662226.99,6866553.7,"21","381.672064367534","302"
662228.28,6866792.54,"21","147.505694355479","303"
662229.8,6868772.1,"22","1840.09928449676","304"
662230.22,6866567.01,"21","368.859632633647","305"
662231.1,6867199,"8","270.690787195088","306"
662232.52,6866230.22,"1","704.35172903236","307"
662233.05,6868190.93,"24","1259.2995500762","308"
662234.66,6866584.63,"21","352.0251475843","309"
662236.69,6866593.24,"21","343.826476461338","310"
662239.92,6866225.35,"1","709.77071666739","311"
662240.32,6866607.34,"21","330.52565663419","312"
662240.7,6866214.2,"1","720.948161377468","313"
662240.75,6866790.3,"21","153.914407323441","314"
662242.1,6866238.9,"1","696.448329961388","315"
662243.46,6867315.75,"10","387.870098107478","316"
662243.93,6866618.1,"20","320.60923998471","317"
662245.1,6867392.11,"10","463.659474073488","318"
662246.6,6866246.6,"1","689.180641255653","319"
662246.7,6867183.8,"11","259.172232900219","320"
662250,6866250,"1","686.121612318961","321"
662250.05,6866273.6,"1","662.643574435525","322"
662251.04,6866278.84,"1","657.533255567164","323"
662251.5,6866217.4,"1","718.715552741379","324"
662252.5,6867184.4,"10","261.248736474726","325"
662254.53,6866276.25,"1","660.481162334728","326"
662254.94,6866262.26,"1","674.434381650272","327"
662255.23,6867377.92,"10","451.125855157461","328"
662256.52,6866222.88,"1","713.764159892307","329"
662260.11,6866272.58,"1","664.758448897134","330"
662261.12,6866242.13,"1","695.125038079595","331"
662261.2,6866255.27,"1","682.079277590353","332"
662265.4,6867197.4,"10","277.376936659692","333"
662266.72,6867363.68,"10","439.13696667596","334"
662267.86,6866236.01,"1","701.994724161072","335"
662268.8,6866243.45,"1","694.72621882159","336"
662273.18,6866272.25,"1","666.738846920959","337"
662280.25,6866269.71,"1","670.250661106723","338"
662281.3,6867214,"10","298.148495661592","339"
662281.94,6867346.33,"10","425.421486633681","340"
662282.5,6867220.7,"10","304.869825394182","341"
662284.69,6866225.33,"1","714.81009309255","342"
662289.01,6866263.57,"1","677.648309042264","343"
662289.93,6866219.26,"1","721.580626989097","344"
662292.2,6867993.1,"21","1066.10369824892","345"
662295.1,6867115,"10","214.278903849938","346"
662302.2,6867321,"10","406.339267716398","347"
662305.4,6867083,"10","194.164566689192","348"
662307.1,6867314.9,"10","402.006186733673","349"
662307.2,6867842.5,"10","918.342117170008","350"
662307.6,6867015.12,"10","149.837462019657","351"
662307.8,6867042.2,"10","166.425310350763","352"
662308.6,6867836.4,"10","912.491135922199","353"
662308.64,6867023.94,"10","155.704709179771","354"
662309.9,6867988.4,"22","1063.40452141561","355"
662311.5,6867000,"10","145.532556497922","356"
662311.8,6867009,"10","150.163897712567","357"
662313.8,6867075.5,"10","194.005579768519","359"
662314.1,6867134.9,"10","241.265036529085","360"
662319.5,6867260,"10","354.825431652893","361"
662326.4,6867147.9,"6","258.892046287564","362"
662327.4,6867181.8,"6","288.190321212635","363"
662327.97,6867847.74,"10","926.568612098619","364"
662328,6867020.8,"10","170.12458034144","365"
662331.3,6867982.7,"20","1060.53703187013","366"
662332.6,6867154.4,"5","267.747072780797","367"
662343.3,6867831.1,"10","912.714540105945","368"
662344.7,6867872.9,"10","954.128634480036","369"
662347.1,6867978.5,"22","1058.72059711445","370"
662348.2,6867158.04,"6","279.721737540481","371"
662348.3,6867188.3,"53","304.681168515417","372"
662349.6,6867893.9,"10","975.658311958434","373"
662351.6,6867018.2,"10","189.522642079387","374"
662353.5,6867027,"10","195.312882278046","375"
662355.31,6867790.32,"10","874.893410489496","376"
662363.3,6867974.2,"22","1057.12376225959","377"
662364.5,6867912.1,"9","996.210467789388","378"
662367.95,6866380.84,"12","582.27887605776","379"
662378.19,6866352.24,"23","612.653635333158","380"
662379.4,6867930.4,"10","1016.98950294226","381"
662380.6,6867969.6,"22","1055.70185487532","382"
662387.39,6866377.18,"12","592.193919236056","383"
662390.8,6867022.8,"10","226.993478065398","384"
662392.5,6867013.6,"10","225.088054262526","385"
662394.3,6867948.6,"10","1037.79127933411","386"
662396.4,6867177.9,"6","325.411574564024","387"
662398.5,6867066,"10","253.857220499424","388"
662399.82,6866487.92,"10","495.121467840123","389"
662401.4,6866801.9,"10","255.076253670368","390"
662408.4,6867081.4,"10","270.484991384099","391"
662409.2,6867966.8,"10","1058.70698351786","392"
662409.5,6866825.4,"10","251.155401352817","393"
662410.58,6866373.5,"12","604.020544333087","394"
662414.21,6866485.21,"10","504.011560501293","395"
662416.5,6867148,"6","318.009012628643","396"
662419.2,6867145.6,"10","318.391873378787","397"
662421.5,6866860.65,"20","249.694459928432","398"
662423.4,6867114,"10","301.535558936562","399"
662428.34,6866481.19,"10","514.191118712796","400"
662434,6866897.25,"20","254.05281335417","401"
662438.04,6866331.06,"9","653.760034796025","402"
662451.2,6866480.7,"10","525.929155142968","403"
662451.34,6866328.05,"10","661.823516723044","404"
662461.17,6866327.99,"10","665.932909665302","405"
662462.5,6868236.89,"10","1333.97603819626","406"
662465.15,6866958.95,"20","283.927072335175","407"
662469.78,6866321.66,"10","675.306086653395","408"
662471.18,6868241.54,"10","1340.36620446054","409"
662472.9,6866516.6,"104","507.509097977006","410"
662479.9,6866740.7,"20","354.074959795708","411"
662484.73,6866321.56,"10","681.891757884237","412"
662498.88,6866319.9,"10","689.756797372675","413"
662500.14,6866584.97,"19","471.059809731059","414"
662504.3,6866741.4,"10","374.450976657049","415"
662504.31,6866369.72,"43","648.56822665271","416"
662510.74,6866390.46,"42","633.951450920099","417"
662514.87,6866420.24,"42","610.90715365491","418"
662516.2,6866770.7,"10","371.026685712967","419"
662525.09,6866480.96,"43","567.051950715565","420"
662528.1,6866800,"10","370.281744734437","421"
662528.48,6866578.2,"20","495.444189561248","422"
662532.8,6866835.8,"10","363.533597163146","423"
662533.04,6866507.78,"43","550.946674075458","424"
662533.7,6866814.1,"20","370.765195413544","425"
662546.4,6866871.6,"10","369.069871045642","426"
662551.55,6866569.69,"20","517.757414660298","427"
662556.1,6866896.7,"10","375.404879058886","428"
662564.2,6866898.89,"10","383.269226311838","429"
662582.06,6866893.68,"10","401.537184408384","430"
662597.8,6866799.3,"18","436.283877823355","431"
662606.8,6866833.1,"10","435.916134521906","432"
662610.2,6866878.5,"10","431.200087547681","433"
662613.1,6866791.8,"18","453.152582523436","434"
662613.5,6866334.7,"4","737.243816771076","435"
662619.5,6866865.8,"10","442.172320014707","436"
662628.5,6866784.3,"18","470.128583271302","437"
662643.3,6866931.1,"16","460.880400069313","438"
662643.8,6866776.8,"18","487.020660585503","439"
662649.9,6866947.9,"8","467.723880190619","440"
662655.8,6866962.3,"8","474.300805093881","441"
662657.89,6866941.1,"8","475.542141157259","442"
662661.5,6866976.5,"8","481.073857718694","443"
662667.2,6866990.7,"8","488.232719043734","444"
662672.69,6866980.22,"17","492.564067438704","445"
662675.22,6867009.24,"16","498.703653276721","446"
662679.5,6866808.8,"11","512.300059037954","447"
662684.9,6866718.3,"20","546.330321486497","448"
662685.47,6868251.89,"10","1411.90282658668","449"
662688.4,6866729.1,"10","545.427195178518","450"
662689,6866832.4,"10","516.423466691045","451"
662691.9,6867076.8,"15","529.460377381266","452"
662692,6866739.9,"10","544.852790412925","453"
662695.6,6866750.8,"20","544.482449152018","454"
662699.1,6867094.5,"10","541.415859682966","455"
662699.91,6866268.72,"9","841.892997252309","456"
662701.1,6866767.7,"10","544.308804275914","457"
662702.01,6868255.7,"10","1421.42641168647","458"
662704.55,6866287.51,"12","830.062366125005","459"
662706.4,6867112.3,"10","553.899848517174","460"
662707.1,6866787.1,"10","544.522500166475","461"
662710.77,6866306.5,"9","819.383430892902","462"
662713.2,6866806.5,"10","545.589983654649","463"
662713.7,6867130,"10","566.727314594585","464"
662721,6867147.8,"10","579.940453814345","465"
662722.09,6866905.17,"8","540.377089497858","466"
662724.1,6866193.6,"1","916.421673898633","467"
662728.3,6867165.5,"10","593.44402190633","468"
662731.3,6866192,"1","921.981325525924","469"
662735.6,6867183.3,"10","607.292399703724","470"
662738.6,6866190.4,"1","927.626270435734","471"
662740.4,6866939.75,"8","558.028816091929","472"
662742.9,6867201.1,"10","621.427932723445","473"
662745.8,6866188.9,"1","933.156820325612","474"
662749.35,6866404.31,"1","775.044219404291","475"
662766.3,6867559.8,"1","856.848059667387","476"
662766.6,6866965.1,"8","585.082565777957","477"
662774.9,6867553.7,"1","858.307683814115","478"
662776.2,6867559.9,"1","863.697766838628","479"
662780.1,6867560.8,"1","867.035626341294","480"
662780.12,6867000.08,"16","601.490012214834","481"
662785.7,6867564.5,"1","873.578123035325","482"
662793,6867566.3,"1","879.93100472957","483"
662793.72,6866317.17,"1","867.571000826995","484"
662797.7,6866388.7,"1","821.341778597147","485"
662800.5,6867031.4,"10","625.915393408119","486"
662801.3,6867560.4,"1","881.499667457035","487"
662806.5,6867043.2,"10","633.79156751637","488"
662807.4,6867562.5,"1","887.282836109481","489"
662812.6,6867055,"10","641.942357380827","490"
662815.2,6866379.3,"1","840.692138567005","491"
662817.4,6867564.1,"1","895.482891973856","492"
662818.6,6867066.8,"10","650.164535000445","493"
662820.2,6866304.9,"1","894.995611137071","494"
662824.7,6867078.6,"10","658.647738106122","495"
662830,6867566.9,"1","906.41891915048","496"
662830.8,6867090.4,"11","667.287579542161","497"
662834,6867567.9,"1","909.979044834856","498"
662836.04,6866335.89,"1","885.164397849356","499"
662837.5,6866800,"34","668.406588816262","500"
662846.4,6867571.2,"1","921.183922988451","501"
662852.6,6867572.4,"1","926.491404666316","502"
662854.1,6866004.5,"1","1145.83179437856","503"
662857.9,6867573.6,"1","931.158318074966","504"
662870.3,6867583,"1","946.626283537952","505"
662872,6867591.6,"1","953.783674542677","506"
662872.8,6867588,"1","951.880161500325","507"
663124.7,6865984.8,"11","1336.66844715581","508"
