Numéro,Type,Adresse,Ville ,Code Postal,Latitude,Longitude,Nom d'arrêt
7,Planimètre,1 Rue Jules Guesde,Bondy,93140,48.90416,2.473218,
8,Planimètre,21 Avenue Galliéni,Bondy,93140,48.904893,2.473104,
9,Planimètre,50 Avenue Galliéni,Bondy,93140,48.904824,2.47536,
10,Planimètre,41 Avenue Galliéni,Bondy,93140,48.905506,2.475765,
11,Planimètre,39 Avenue Galliéni,Bondy,93140,48.905648,2.476957,
12,Planimètre,93 Avenue Galliéni,Bondy,93140,48.905835,2.478489,
13,Planimètre,88 Avenue Galliéni,Bondy,93140,48.905441,2.478643,
14,Planimètre,95 Avenue Galliéni,Bondy,93140,48.905801,2.479342,
15,Planimètre,107 Avenue Galliéni,Bondy,93140,48.906118,2.480444,
16,Planimètre,2 Rue Auguste Polissard,Bondy,93140,48.905712,2.480403,
17,Planimètre,114 Avenue Galliéni,Bondy,93140,48.906033,2.481747,
18,Planimètre,130 Avenue Galliéni,Bondy,93140,48.9061,2.48302,
19,Planimètre,135 Avenue Galliéni,Bondy,93140,48.906349,2.482289,
20,Planimètre,33 Avenue Marguerite,Bondy,93140,48.906587,2.484582,
21,Planimètre,178 Avenue Galliéni,Bondy,93140,48.906744,2.487294,
22,Planimètre,2 Avenue de Verdun,Bondy,93140,48.906734,2.488572,
23,Planimètre,207 Avenue Galliéni,Bondy,93140,48.907307,2.489411,
24,Planimètre,190 Avenue Galliéni,Bondy,93140,48.906977,2.488894,
25,Planimètre,3 Chemin du Pont,Bondy,93140,48.908601,2.489937,
26,Planimètre,Rue Auguste Polissard,Bondy,93140,48.9043,2.48033,
27,Planimètre,Rue Auguste Polissard,Bondy,93140,48.90455,2.48046,
28,Planimètre,2 Rue Roger Salengro,Bondy,93140,48.90307,2.480091,
29,Planimètre,73 Rue Jules Guesde,Bondy,93140,48.903305,2.480031,
30,Planimètre,1 Rue du Breuil,Bondy,93140,48.90381,2.476268,
31,Planimètre,93bis Rue Jules Guesde,Bondy,93140,48.902759,2.481697,
32,Planimètre,72 Av du Mal de Lattre de Tassigny,Bondy,93140,48.902439,2.482431,
33,Planimètre,11 Avenue Henri Barbusse,Bondy,93140,48.90227,2.48231,
34,Planimètre,26 Avenue Henri Barbusse,Bondy,93140,48.90185,2.48579,
35,Planimètre,8 Place Georges Lyssandre,Bondy,93140,48.900787,2.490458,
36,Planimètre,27bis Avenue Carnot,Bondy,93140,48.901306,2.482103,
37,Planimètre,37 Rue Paul Vaillant-couturier,Bondy,93140,48.901035,2.478667,
38,Planimètre,13 Rue de la Liberté,Bondy,93140,48.894933,2.478905,
39,Planimètre,22 Place de la République,Bondy,93140,48.89516,2.47797,
40,Planimètre,5 Avenue Jules Ferry,Bondy,93140,48.893768,2.476002,
41,Planimètre,2 Rue Etienne Dolet,Bondy,93140,48.894,2.47651,
42,Planimètre,31 Allee Marguerite Duras,Bondy,93140,48.89502,2.4888,
43,Planimètre,36b Rue Saint-louis Prolongée,Bondy,93140,48.890489,2.496032,
44,Planimètre,46 Rue Saint-louis Prolongée,Bondy,93140,48.890369,2.495855,
45,Planimètre,RN3 avant MCDO,Bondy,93140,48.90744,2.49044,
46,Planimètre,Avenue de Rosny face rue Alexandre Pottier,Bondy,93140,48.90323,2.47075,
47,Planimètre,Bd de Strasbourg,Bondy,93140,48.9182765,2.4796055,
48,Planimètre,Chemin du Pont,Bondy,93140,48.9082654,2.4899333,
49,Planimètre,75 rue Roger Salengro,Bondy,93140,48.8970731,2.4770823,
50,Planimètre,Av. Anatole France,Bondy,93140,48.8898804,2.4958785,
P1,Panneau grand format,48 Avenue Galiéni ,Bondy,93140,48.9045754,2.4741182,
P2,Panneau grand format,60 avenue Galliéni ,Bondy,93140,48.9052143,2.4771385,
P3,Panneau grand format,176 Avenue Galiéni ,Bondy,93140,48.90676,2.48754,
P4,Panneau grand format,205 Avenue Galiéni ,Bondy,93140,48.9072008,2.4887703,
P5,Panneau grand format,141 Avenue Galiéni ,Bondy,93140,48.9064454,2.4831162,
P6,Panneau grand format,14 Route d'Aulnay,Bondy,93140,48.9069147,2.4804259,
