fid,nomnumero,nature,importance,nom,nom_1_g,usage
144,,R,"5",MOLERET,R DU MOLERET,public
145,,IMP,"5",FERNAND POTTIER,IMP FERNAND POTTIER,public
146,,R,"5",ROBERT DOUVILLEZ,R ROBERT DOUVILLEZ,public
147,,ALL,"5",COLOMBES,ALL DES COLOMBES,public
148,,R,"5",PAULINE ROGER,R PAULINE ROGER,public
149,,AV,"5",PLATANES,AV DES PLATANES,public
150,,ALL,"5",FURCI,ALL DE FURCI,privé
151,,ALL,"5",VIGNES,ALL DES VIGNES,public
152,,AV,"5",IDEAL,AV DE L'IDEAL,public
153,,AV,"5",REPUBLIQUE,AV DE LA REPUBLIQUE,public
154,,R,"5",SIRE LEON,R DESIRE LEON,public
155,,ALL,"5",ANDREA,ALL ANDREA,public
156,,Sans,"6",Sans nom,,privé
157,,ALL,"6",C GOUNOD,ALL C GOUNOD,privé
158,,R,"5",DAVID LEDER,R DAVID LEDER,public
159,,R,"5",JULES LECOMTE,R JULES LECOMTE,public
160,,AV,"3",ALBERT THOMAS,AV ALBERT THOMAS,public
161,,CH,"5",MARE A LA VEUVE PROLONGEE,CH DE LA MARE A LA VEUVE PROLONGEE,public
162,,R,"5",ARTHUR GROUSSIER,R ARTHUR GROUSSIER,public
163,,R,"5",ESCHOLIERS,R DES ESCHOLIERS,public
164,,AV,"5",VILLEGIATURE,AV DE LA VILLEGIATURE,public
165,,R,"5",BOREL,R BOREL,public
166,,R,"5",EUGENE MASSON,R EUGENE MASSON,public
167,,CH,"4",CARROUGES,CH DES CARROUGES,public
168,,ALL,"5",VOLTAIRE,ALL VOLTAIRE,public
169,,ALL,"5",HETRES,ALL DES HETRES,public
170,,R,"6",ERIC TABARLY,R ERIC TABARLY,public
171,,R,"5",HENRI ROL TANGUY,R HENRI ROL TANGUY,public
172,,R,"5",FRATERNITE,R DE LA FRATERNITE,public
173,,R,"4",HELENE BOUCHER,R HELENE BOUCHER,privé
174,,CH,"4",GROSLAY,CH DE GROSLAY,public
175,,RPE,"4",PONT,RPE DU PONT,public
176,,IMP,"5",PARISIENNE,IMP DE LA PARISIENNE,privé
177,,R,"5",CLOS VAILLANT,R DU CLOS VAILLANT,privé
203,,ALL,"5",PENSEES,ALL DES PENSEES,privé
178,,AV,"5",MARIE CURIE,AV MARIE CURIE,public
179,,R,"5",BEL AIR,R DU BEL AIR,public
180,,R,"5",FLORALIES,R DES FLORALIES,privé
182,,R,"5",JEAN-MARIE TJIBAOU,R JEAN-MARIE TJIBAOU,public
183,,IMP,"5",GEORGES BRASSENS,IMP GEORGES BRASSENS,public
184,,ALL,"6",HORTENSIAS,ALL DES HORTENSIAS,privé
185,,VLA,"5",LAVIGNE,VLA LAVIGNE,public
186,,AV,"5",EST,AV DE L'EST,public
187,,R,"5",PHILEAS COLLARDEAU,R PHILEAS COLLARDEAU,public
188,,PL,"6",DIVISION LECLERC,PL DE LA DIVISION LECLERC,public
189,,ALL,"5",GEORGES SAND,ALL GEORGES SAND,public
190,,ALL,"5",CLAUDE DEBUSSY,ALL CLAUDE DEBUSSY,privé
191,,ALL,"5",PABLO NERUDA,ALL PABLO NERUDA,public
192,,R,"5",CRONSTADT,R DE CRONSTADT,public
193,,R,"5",GATINE,R GATINE,public
194,,R,"5",GAZELLES,R DES GAZELLES,public
195,,SEN,"5",BLERIOT,SEN BLERIOT,public
196,,ALL,"5",AZALEES,ALL DES AZALEES,privé
197,,PL,"4",REPUBLIQUE,PL DE LA REPUBLIQUE,public
198,,R,"5",BEAUREGARD,R BEAUREGARD,public
199,,R,"5",LEVANT,R DU LEVANT,public
200,,ALL,"5",RENDEZ VOUS,ALL DU RENDEZ VOUS,public
201,,AV,"5",METZ,AV DE METZ,public
202,,ALL,"5",LOUISE,ALL LOUISE,public
304,,R,"5",BUTTE,R DE LA BUTTE,public
204,,PAS,piéton,DEUX VILLES,PAS DES DEUX VILLES,public
205,,R,"5",LAUG,R LAUG,public
206,,R,"5",FRANCOIS COLLET,R FRANCOIS COLLET,public
207,,R,"5",MEAUX,R DE MEAUX,public
208,,R,"5",FER A CHEVAL,R DU FER A CHEVAL,privé
209,,R,"5",CHARLES MAGNE,R CHARLES MAGNE,privé
210,,R,"5",EUGENE VARLIN,R EUGENE VARLIN,public
211,,IMP,"5",VIOLETTES,IMP DES VIOLETTES,privé
212,,R,"5",VIEUX CHATEAU,R DU VIEUX CHATEAU,public
213,,ALL,"5",GROS BUISSON,ALL DU GROS BUISSON,public
214,,ALL,"5",TULIPES,ALL DES TULIPES,privé
215,,R,"5",HENRI MOULY,R HENRI MOULY,privé
216,,ALL,"5",ESPERANTO,ALL ESPERANTO,public
217,,ALL,"5",PINSONS,ALL DES PINSONS,public
218,,ALL,"5",ANEMONES,ALL DES ANEMONES,privé
219,,ALL,"5",LAURIERS,ALL DES LAURIERS,privé
220,,R,"5",ARTHUR RIMBAUD,R ARTHUR RIMBAUD,public
221,,R,"5",SOLIDARITE,R DE LA SOLIDARITE,public
222,,R,"5",PRESSENSE,R DE PRESSENSE,public
223,,R,"5",RABELAIS,R RABELAIS,public
224,,ALL,"5",MONTPLAISIR,ALL MONTPLAISIR,public
225,,AV,"4",VERDUN,AV DE VERDUN,public
226,,ALL,"5",RACINE,ALL RACINE,public
227,,ALL,"5",LILAS,ALL DES LILAS,privé
228,,ALL,"5",JEAN COURTADE,ALL JEAN COURTADE,privé
229,,ALL,"5",CONCORDE,ALL DE LA CONCORDE,public
230,,MAIL,"6",PANTAGRUEL,MAIL PANTAGRUEL,public
231,,R,"5",BREUIL,R DU BREUIL,public
232,,R,"5",RUDYARD KIPLING,R RUDYARD KIPLING,public
280,,AV,"3",SUZANNE BUISSON,AV SUZANNE BUISSON,public
233,,R,"4",VERGER,R DU VERGER,public
234,,ALL,"5",ANNE SYLVESTRE,ALL ANNE SYLVESTRE,public
235,,AV,"5",NISE,AV DENISE,public
236,,AV,"5",DUMESNIL,AV DUMESNIL,public
237,,R,"5",VERSAILLES,R DE VERSAILLES,public
238,,R,"5",PIERRE BROSSOLETTE,R PIERRE BROSSOLETTE,public
239,,ALL,"5",SURCOUF,ALL SURCOUF,public
240,,R,"5",RENE CHAR,R RENE CHAR,public
241,,R,"5",MARCEL DASSAULT,R MARCEL DASSAULT,public
242,,R,"5",EGALITE,R DE L'EGALITE,public
243,,R,"5",COMPAGNON,R COMPAGNON,public
244,,ALL,"5",SAN MARTIN,ALL SAN MARTIN,public
245,,ALL,"5",ALICE,ALL ALICE,public
246,,ALL,"5",VICTOR HUGO,ALL VICTOR HUGO,privé
247,,AV,"4",JULES FERRY,AV JULES FERRY,public
248,,R,"5",CYCLE,R DU CYCLE,public
249,,R,"5",YVONNE,R YVONNE,public
250,,AV,"5",GENEVIEVE ANTHONIOZ DE GAULLE,AV GENEVIEVE ANTHONIOZ DE GAULLE,public
251,,R,"5",JULES LELONG,R JULES LELONG,public
252,,AV,"5",GUEUGNON,AV GUEUGNON,public
253,,ALL,"6",GLYCINES,ALL DES GLYCINES,privé
254,,R,"6",MARGUERITE DURAS,R MARGUERITE DURAS,public
255,,R,"5",PAUL RENAUD,R PAUL RENAUD,public
256,,ALL,"5",BOSQUETS,ALL DES BOSQUETS,public
257,,R,"5",FRANCOIS MARTIN,R FRANCOIS MARTIN,privé
258,,Sans,"6",Sans nom,,privé
259,,IMP,"5",ETIENNE DOLET,R ETIENNE DOLET,privé
260,,ALL,"5",PAIX,ALL DE LA PAIX,public
261,,Sans,"6",Sans nom,,privé
262,,AV,"3",HENRI BARBUSSE,AV HENRI BARBUSSE,public
264,,Sans,"6",Sans nom,,privé
265,,Sans,"6",Sans nom,,privé
266,,Sans,"5",Sans nom,,privé
267,,QUAI,"5",HUBERTINE AUCLERT,QUAI HUBERTINE AUCLERT,public
268,,R,"6",PALAIS DES SPORTS,R PALAIS DES SPORTS,public
269,,AV,"4",MARX DORMOY,AV MARX DORMOY,public
270,,IMP,"6",JARDINIERE,IMP DE LA JARDINIERE,public
271,,IMP,"5",MAURICE BENHAMOU,IMP MAURICE BENHAMOU,public
272,,ALL,"5",GABRIEL FAURE,ALL GABRIEL FAURE,privé
273,,ALL,"5",HECTOR BERLIOZ,ALL HECTOR BERLIOZ,privé
274,,R,"5",BENOITE GROULT,R BENOITE GROULT,public
275,,R,"5",ARETHA FRANKLIN,R ARETHA FRANKLIN,public
276,,PISTE,"5",piste cyclable canal,piste cyclable canal,public
277,,RPT,"4",JOUHAUX,RPT JOUHAUX,public
278,,Sans,"6",Sans nom,,privé
279,,RTE,"1",AULNAY,RTE D'AULNAY,public
281,,AV,"4",JEAN MOULIN,AV JEAN MOULIN,public
282,,R,"5",JEAN PIERRE LEVY,R JEAN PIERRE LEVY,public
283,,R,"4",ETIENNE DOLET,R ETIENNE DOLET,public
284,,PASS,"6",PIERRE-MARIE TAILLEPIED,PASS TAILLEPIED,public
285,,R,"6",LIMITES,R DES LIMITES,public
286,,AV,"4",QUATORZE JUILLET,AV DU QUATORZE JUILLET,public
287,,Sans,"6",Sans nom,,privé
288,,PASS,"6",CADERAS,PASS CADERAS,public
289,,R,"5",SERGENT BOBILLOT,R DU SERGENT BOBILLOT,public
290,,ESPL,parking,ESPL CLAUDE FUZIER,CLAUDE FUZIER,public
291,,R,"6",ROGEPANNEQUIN,R ROGER PANNEQUIN,public
292,,R,"4",LIBERTE,R DE LA LIBERTE,public
293,,R,"4",ROMAIN ROLLAND,R ROMAIN ROLLAND,public
294,,AV,"4",MAL DE LATTRE DE TASSIGNY,AV MAL DE LATTRE DE TASSIGNY,public
295,,RPT,"5",BUISSON,RPT BUISSON,public
296,,R,"5",FRANCOIS VILLON,R FRANCOIS VILLON,public
297,,R,"5",BORDIER,R BORDIER,public
298,,R,"5",LUCIE AUBRAC,R LUCIE AUBRAC,public
299,,PL,"5",GARE,PL DE LA GARE,public
300,,R,"6",COQ GAULOIS,R DU COQ GAULOIS,public
301,,AV,"5",CLARA GRANDET,AV CLARA GRANDET,public
302,,R,"5",GUY DE MAUPASSANT,R GUY DE MAUPASSANT,public
303,,ALL,"5",SIMON BOLIVAR,ALL SIMON BOLIVAR,public
305,,AV,"5",NANCY,AV DE NANCY,public
306,,ALL,"5",DAHLIAS,ALL DES DAHLIAS,privé
307,,IMP,"5",LIBERTE,IMP DE LA LIBERTE,public
308,,VLA,"5",BREUIL,VLA DU BREUIL,privé
309,,AV,"5",PARISIENNE,AV DE LA PARISIENNE,public
310,,ALL,"5",PRIMEVERES,ALL DES PRIMEVERES,privé
311,,ALL,"5",MARIE LAURENCIN,ALL MARIE LAURENCIN,privé
312,,CH,"4",PONT,CH DU PONT,public
313,,RPT,"4",VERGER,RPT DU VERGER,public
314,,R,"5",ABBE MAURICE BAURIT,R DE L'ABBE MAURICE BAURIT,privé
315,,R,"5",MARCEL PAUL,R MARCEL PAUL,public
317,,PL,"5",ALBERT THOMAS,PL ALBERT THOMAS,public
318,,IMP,"5",CARNOT,IMP CARNOT,public
319,,AV,"4",LEON BLUM,AV LEON BLUM,public
320,,R,"5",PLAISANCE,R DE PLAISANCE,public
321,,R,"5",PROGRES,R DU PROGRES,public
322,,ALL,"6",JOACHIM DU BELLAY,ALL JOACHIM DU BELLAY,privé
346,,ALL,"5",JARDINIERE,ALL DE LA JARDINIERE,public
347,,R,"5",PANURGE,R DE PANURGE,public
323,,R,"5",GUILLAUME APOLLINAIRE,R GUILLAUME APOLLINAIRE,privé
324,,VLA,"5",THOREL,VLA THOREL,public
325,,R,"5",LION,R DU LION,public
326,,QUAI,"6",LYON,QUAI DE LYON,public
327,,AV,"5",JEAN LEBAS,AV JEAN LEBAS,public
328,,R,"5",ALEXANDRA DAVID NEEL,R ALEXANDRA DAVID NEEL,public
329,,ALL,"5",SORBIERS,ALL DES SORBIERS,privé
330,,PL,"6",11 NOVEMBRE 1918,PL DU 11 NOVEMBRE 1918,public
331,,IMP,"5",JACQUES BREL,IMP JACQUES BREL,public
332,,R,"5",JULES AUFFRET,R JULES AUFFRET,public
