"","id","id_fantoir","numero","rep","nom_voie","code_postal","code_insee","nom_commune","code_insee_ancienne_commune","nom_ancienne_commune","x","y","lon","lat","type_position","alias","nom_ld","libelle_acheminement","nom_afnor","source_position","source_nom_voie","certification_commune","cad_parcelles"
"225590","93010_i7xf1o_00023","",23,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662544.95,6866158.13,2.489157,48.894341,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225591","93010_i7xf1o_00025","",25,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662547.74,6866170.68,2.489194,48.894454,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225592","93010_i7xf1o_00027","",27,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662549.57,6866180.89,2.489218,48.894546,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225593","93010_i7xf1o_00029","",29,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662554.12,6866193.32,2.489279,48.894658,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225594","93010_i7xf1o_00031","",31,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662554.53,6866200.55,2.489284,48.894723,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225595","93010_i7xf1o_00033","",33,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662551.67,6866199.12,2.489245,48.89471,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225596","93010_tt7py3_00001","",1,"","Rue du Vieux Chateau",93140,93010,"Bondy",NA,NA,662032.7,6866322.82,2.482156,48.895792,"",NA,NA,"BONDY","RUE DU VIEUX CHATEAU","inconnue","inconnue",0,""
"225597","93010_tt7py3_00002","",2,"","Rue du Vieux Chateau",93140,93010,"Bondy",NA,NA,662015.06,6866294.36,2.481918,48.895535,"",NA,NA,"BONDY","RUE DU VIEUX CHATEAU","inconnue","inconnue",0,""
"225598","93010_tt7py3_00003","",3,"","Rue du Vieux Chateau",93140,93010,"Bondy",NA,NA,662027.32,6866307.84,2.482084,48.895657,"",NA,NA,"BONDY","RUE DU VIEUX CHATEAU","inconnue","inconnue",0,""
"225599","93010_tt7py3_00004","",4,"","Rue du Vieux Chateau",93140,93010,"Bondy",NA,NA,662024.17,6866318.65,2.48204,48.895754,"",NA,NA,"BONDY","RUE DU VIEUX CHATEAU","inconnue","inconnue",0,""
