organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1
ICF LA SABLIERE,93/2015/2011-1191/111,2,2,RUE,GASTON DEFFERRE,GASTON DEFFERRE,L,4,bondy,93140,2 Rue Gaston Defferre 93140 Bondy,0.97
IMMOBILIERE 3F,93/2016/2011-1191/131,4-16,4,RUE,GASTON DEFFERRE,GASTON DEFFERRE,L,7,bondy,93140,16 Rue Gaston Defferre 93140 Bondy,0.92
ICF LA SABLIERE,93/2015/2011-1191/112,3,3,RUE,GASTON DEFFERRE,GASTON DEFFERRE,L,19,bondy,93140,3 Rue Gaston Defferre 93140 Bondy,0.97
IMMOBILIERE 3F,93/2011/2002-844/116,18,18,RUE,GASTON DEFFERRE,GASTON DEFFERRE,L,29,bondy,93140,18 Rue Gaston Defferre 93140 Bondy,0.97
ADEF RESIDENCES,93/2005/79-297/027,58,58,AVENUE,GENEVIÈVE ANTHONIOZ DE GAULLE             ,GENEVIÈVE ANTHONIOZ DE GAULLE             ,F,26,bondy,93140,58 Av Genevieve Anthonioz de Gaulle 93140 Bondy,0.87
BONDY HABITAT,93/2017/2011-1191/061,"2-4
28",4,"ALLEE
 AVENUE","GEORGE SAND
DE LATTRE DE TASSIGNY",GEORGE SAND,L,62,bondy,93140,28 Av du Mal de Lattre de Tassigny 93140 Bondy,0.55
VILOGIA,93/1996/80-415/050,28,28,RUE,GEORGES ELIE,GEORGES ELIE,L,8,bondy,93140,28 Rue Georges Elie 93140 Bondy,0.97
BONDY HABITAT,93/1992/85-1231/012,12 à 14,12,PLACE,"GEORGESLYSSANDRE 
NICOLE NEUBURGER",NICOLE NEUBURGER,L,611,bondy,93140,Place Nicole Neuburger 93140 Bondy,0.58
BONDY HABITAT,93/2012/2002-844/189 BIS,7,7,RUE,GERMAINE TILLON,GERMAINE TILLON,L,4,bondy,93140,7 Rue Germaine Tillion 93140 Bondy,0.88
BONDY HABITAT,93/2012/2002-844/189,7,7,RUE,GERMAINE TILLON,GERMAINE TILLON,L,46,bondy,93140,7 Rue Germaine Tillion 93140 Bondy,0.88
IMMOBILIERE 3F,93/1998/85-1231/054,42,42,AVENUE,H. BARBUSSE,H. BARBUSSE,L,80,bondy,93140,42 Avenue Henri Barbusse 93140 Bondy,0.82
CDC HABIT AT SOCIAL,93/2017/2011-1191/121,3,5,ALLEE AVENUE,"HANNAH ARENDT
GALLIENI",HANNAH ARENDT,L,18,bondy,93140,Allée Hannah Arendt 93140 Bondy,0.53
CDC HABITAT SOCIAL,93/2017/2011-1191/120,"1 et 5
158",5,ALLEE AVENUE,"HANNAH ARENDT 
GALLIENI",HANNAH ARENDT,L,11,bondy,93140,Allée Hannah Arendt 93140 Bondy,0.53
CDC HABITAT SOCIAL,93/2017/2011-1191/119,"1 et 5
158",3,"ALLEE
AVENUE","HANNAH ARENDT 
GALLIENI",HANNAH ARENDT,L,28,bondy,93140,Allée Hannah Arendt 93140 Bondy,0.53
IMMOBILIERE 3F,93/2009/2002-844/101,121,121,AVENUE,HENRI BARBUSSE,HENRI BARBUSSE,L,4,bondy,93140,121 Avenue Henri Barbusse 93140 Bondy,0.97
