"clé","type","Nom court","Nom long","Type de périmètre (court)","Type de périmètre (long)","Date de début de validité","Date de fin de validité","Commentaires
(Vérification importante)","Source de la donnée"
"PROTEC DECORS","BASOL","Site BASOL n°SSP000009101 (PROTEC DECORS ; instruction en cours)","Site BASOL n°SSP000009101 (PROTEC DECORS ; instruction en cours)","PAU","Périmètre autre",18/04/23,,"- Site BASOL n°SSP000009101 (PROTEC DECORS ; instruction en cours)","Géorisques"
" ANTAR","BASIAS","Site BASIAS IDF9302125 (activité terminée) : ANTAR ; GARAGE PRINCE","Site BASIAS IDF9302125 (activité terminée) : ANTAR ; GARAGE PRINCE","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302125 (activité terminée) : ANTAR ; GARAGE PRINCE","BRGM / InfoTerre"
" ASOPEM","BASIAS","Site BASIAS IDF9302134 (état de l'activité inconnu) : ASOPEM - Atelier Spécialisé en Outillage de Précision et Emboutissage des Métaux","Site BASIAS IDF9302134 (état de l'activité inconnu) : ASOPEM - Atelier Spécialisé en Outillage de Précision et Emboutissage des Métaux","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302134 (état de l'activité inconnu) : ASOPEM - Atelier Spécialisé en Outillage de Précision et Emboutissage des Métaux","BRGM / InfoTerre"
" AUTO FORUM 93","BASIAS","Site BASIAS IDF9303359 (activité terminée) : AUTO FORUM 93","Site BASIAS IDF9303359 (activité terminée) : AUTO FORUM 93","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303359 (activité terminée) : AUTO FORUM 93","BRGM / InfoTerre"
" AVR ENVIRONNEMENT ","BASIAS","Site BASIAS IDF9304541 (état de l'activité inconnu) : AVR ENVIRONNEMENT (RECUPERATION TRAITEMENT DE DECHETS INDUSTRIELS)","Site BASIAS IDF9304541 (état de l'activité inconnu) : AVR ENVIRONNEMENT (RECUPERATION TRAITEMENT DE DECHETS INDUSTRIELS)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9304541 (état de l'activité inconnu) : AVR ENVIRONNEMENT (RECUPERATION TRAITEMENT DE DECHETS INDUSTRIELS)","BRGM / InfoTerre"
" AXTO","BASIAS","Site BASIAS IDF9303348 (en activité) : AXTO","Site BASIAS IDF9303348 (en activité) : AXTO","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303348 (en activité) : AXTO","BRGM / InfoTerre"
" BONDINOISE ","BASIAS","Site BASIAS IDF9304977 (état de l'activité inconnu) : BONDINOISE (La) (BISCUITERIE)","Site BASIAS IDF9304977 (état de l'activité inconnu) : BONDINOISE (La) (BISCUITERIE)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9304977 (état de l'activité inconnu) : BONDINOISE (La) (BISCUITERIE)","BRGM / InfoTerre"
" BONDY AUTO TECHNIC","BASIAS","Site BASIAS IDF9302144 (activité terminée) : BONDY AUTO TECHNIC ; ARGEPHOT","Site BASIAS IDF9302144 (activité terminée) : BONDY AUTO TECHNIC ; ARGEPHOT","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302144 (activité terminée) : BONDY AUTO TECHNIC ; ARGEPHOT","BRGM / InfoTerre"
" BP FRANCE ; MOBIL OIL FRANÇAISE","BASIAS","Site BASIAS IDF9302126 (en activité) : BP FRANCE ; MOBIL OIL FRANÇAISE","Site BASIAS IDF9302126 (en activité) : BP FRANCE ; MOBIL OIL FRANÇAISE","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302126 (en activité) : BP FRANCE ; MOBIL OIL FRANÇAISE","BRGM / InfoTerre"
" CALIXTE Longston ","BASIAS","Site BASIAS IDF9304538 (état de l'activité inconnu) : CALIXTE Longston (CARROSSERIE PEINTURE AUTOMOBILE)","Site BASIAS IDF9304538 (état de l'activité inconnu) : CALIXTE Longston (CARROSSERIE PEINTURE AUTOMOBILE)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9304538 (état de l'activité inconnu) : CALIXTE Longston (CARROSSERIE PEINTURE AUTOMOBILE)","BRGM / InfoTerre"
" CARROSSERIE GATINE ","BASIAS","Site BASIAS IDF9304540 (état de l'activité inconnu) : CARROSSERIE GATINE (CARROSSERIE PEINTURE AUTOMOBILE)","Site BASIAS IDF9304540 (état de l'activité inconnu) : CARROSSERIE GATINE (CARROSSERIE PEINTURE AUTOMOBILE)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9304540 (état de l'activité inconnu) : CARROSSERIE GATINE (CARROSSERIE PEINTURE AUTOMOBILE)","BRGM / InfoTerre"
" CHAUVET","BASIAS","Site BASIAS IDF9302158 (activité terminée) : CHAUVET","Site BASIAS IDF9302158 (activité terminée) : CHAUVET","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302158 (activité terminée) : CHAUVET","BRGM / InfoTerre"
" CHRIS ; STATION ESSO","BASIAS","Site BASIAS IDF9302121 (en activité) : CHRIS ; STATION ESSO","Site BASIAS IDF9302121 (en activité) : CHRIS ; STATION ESSO","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302121 (en activité) : CHRIS ; STATION ESSO","BRGM / InfoTerre"
" COMPTOIR de RECUPERATION de PANTIN","BASIAS","Site BASIAS IDF9302128 (activité terminée) : COMPTOIR de RECUPERATION de PANTIN","Site BASIAS IDF9302128 (activité terminée) : COMPTOIR de RECUPERATION de PANTIN","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302128 (activité terminée) : COMPTOIR de RECUPERATION de PANTIN","BRGM / InfoTerre"
" COURTHEOUX","BASIAS","Site BASIAS IDF9302156 (activité terminée) : COURTHEOUX","Site BASIAS IDF9302156 (activité terminée) : COURTHEOUX","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302156 (activité terminée) : COURTHEOUX","BRGM / InfoTerre"
" DANIEL REGENT ","BASIAS","Site BASIAS IDF9302130 (activité terminée) : DANIEL REGENT (Ets) ; DANIEL (Ets)","Site BASIAS IDF9302130 (activité terminée) : DANIEL REGENT (Ets) ; DANIEL (Ets)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302130 (activité terminée) : DANIEL REGENT (Ets) ; DANIEL (Ets)","BRGM / InfoTerre"
" DELASSUE","BASIAS","Site BASIAS IDF9302139 (activité terminée) : DELASSUE","Site BASIAS IDF9302139 (activité terminée) : DELASSUE","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302139 (activité terminée) : DELASSUE","BRGM / InfoTerre"
" DYNAMETAL","BASIAS","Site BASIAS IDF9302157 (activité terminée) : DYNAMETAL ; RUCHO et Cie ; CONSTRUCTIONS METALLIQUES de BONDY ; BENNES AVIA ; CONSTRUCTION d'APPAREILS de LEVAGE et de MANUTENTION","Site BASIAS IDF9302157 (activité terminée) : DYNAMETAL ; RUCHO et Cie ; CONSTRUCTIONS METALLIQUES de BONDY ; BENNES AVIA ; CONSTRUCTION d'APPAREILS de LEVAGE et de MANUTENTION","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302157 (activité terminée) : DYNAMETAL ; RUCHO et Cie ; CONSTRUCTIONS METALLIQUES de BONDY ; BENNES AVIA ; CONSTRUCTION d'APPAREILS de LEVAGE et de MANUTENTION","BRGM / InfoTerre"
" ELF STATION SERVICE","BASIAS","Site BASIAS IDF9302147 (activité terminée) : ELF STATION SERVICE","Site BASIAS IDF9302147 (activité terminée) : ELF STATION SERVICE","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302147 (activité terminée) : ELF STATION SERVICE","BRGM / InfoTerre"
" ESNAULT et Cie ","BASIAS","Site BASIAS IDF9302129 (activité terminée) : ESNAULT et Cie (Sté)","Site BASIAS IDF9302129 (activité terminée) : ESNAULT et Cie (Sté)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302129 (activité terminée) : ESNAULT et Cie (Sté)","BRGM / InfoTerre"
" ESSO SERVICE GALLIENI","BASIAS","Site BASIAS IDF9302117 (activité terminée) : ESSO SERVICE GALLIENI","Site BASIAS IDF9302117 (activité terminée) : ESSO SERVICE GALLIENI","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302117 (activité terminée) : ESSO SERVICE GALLIENI","BRGM / InfoTerre"
" FORD GREUET","BASIAS","Site BASIAS IDF9302118 (activité terminée) : FORD GREUET ; SCI ""LA FLACHE"" ; PINSARD et GREUET (SA)","Site BASIAS IDF9302118 (activité terminée) : FORD GREUET ; SCI ""LA FLACHE"" ; PINSARD et GREUET (SA)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302118 (activité terminée) : FORD GREUET ; SCI ""LA FLACHE"" ; PINSARD et GREUET (SA)","BRGM / InfoTerre"
" GARAGE BECQUEREL","BASIAS","Site BASIAS IDF9303349 (en activité) : GARAGE BECQUEREL","Site BASIAS IDF9303349 (en activité) : GARAGE BECQUEREL","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303349 (en activité) : GARAGE BECQUEREL","BRGM / InfoTerre"
" GARAGE BLANQUI","BASIAS","Site BASIAS IDF9303350 (activité terminée) : GARAGE BLANQUI","Site BASIAS IDF9303350 (activité terminée) : GARAGE BLANQUI","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9303350 (activité terminée) : GARAGE BLANQUI","BRGM / InfoTerre"
" GARAGE de l'AVENIR ; VIVENOT ","BASIAS","Site BASIAS IDF9302145 (activité terminée) : GARAGE de l'AVENIR ; VIVENOT (M.)","Site BASIAS IDF9302145 (activité terminée) : GARAGE de l'AVENIR ; VIVENOT (M.)","PAU","Périmètre autre",03/08/23,,"- Site BASIAS IDF9302145 (activité terminée) : GARAGE de l'AVENIR ; VIVENOT (M.)","BRGM / InfoTerre"
