Fichier encodé en UTF-8 sans BOM, champs séparés par un point-virgule
depcom;id_ea;principal;numero;repetition;complement;type_voie;libelle;rivoli;categorie;type;nombre_logements;actualité;numero_permis;commentaire;annee_construction;nombre_immeubles;nombre_niveaux;sous_type;enseigne;lien_cmt;x;y;code_epsg;type_localisation;numero_parcelle;iris;ilot;qp;canton;liste_insee;id_rp;dernier_tirage;echantillon;grp_rotation;datemaj_ea;com_anc_idft;com_sous_categorie;com_statut;com_nb_log;com_nom;com_date_creation;com_date_fermeture;com_capacite;envoi_modif_importante;envoi_commentaire
93010;930100000877049;O;53;;;R;EDOUARD VAILLANT;3115;HABIT;0023;87;3;PC9301019B0008;MAIRIE 01/12/2022: 3 étages montées fin prévu 2024.¶MAIRIE 06/04/2022: idem¶MAIRIE 22/10/2021: en construction¶MAIRIE 09/03/2021:  pas de travaux visibles;0;0;0;;;1;662005.79446;6866360.61608;2154;MAN;AK0140;0303;;;06;O;;;N;;;;;;;;;;;;
93010;930100000273006;O;20;;;R;NOEMIE;6660;HABIT;0023;4;3;PC9301014B0057;MAIRIE 01/12/2022: Suite à vérification photo, les fenêtres ont été posées¶MAIRIE 01/12/2022: Les travaux semblent abandonnés mais il y a une brouette sur le devant¶MAIRIE 30/03/2022: 2e étage en cours¶MAIRIE 12/03/2021: travaux en cours fondation et murs construits¶INSEE 16/02/2021: Suite contrôles sur PC au vu des images de google maps de sept 2020 EA ancien bâti périmée.¶insee le 12/12/16 : merci de vérifier si ce pc créé une nouvelle EA avec maintien ou non de l'ancienne EA. PAS DE PC AFFICHE. CONSTRUCTION EN COURS J'AI VU LE PROPRIETAIRE QUI M'A SIGNALE QU'IL Y AURAIT BIEN 4 APPARTEMENTS ET QU'IL LES METTRAIT EN LOCATION, IL A AJOUTE QUE POUR LE MOMENT LES TRAVAUX N'AVANCAIENT PAS TROP VITE CAR LE FINANCEMENT NE SUIVAIT PAS. CONSTRUCTION QUI RISQUE DONC DE DURER UN CERTAIN TEMPS. SEUL LE RC EST CONSTRUIT A CE JOUR. JE N'AVAIS PAS NOTE VOS INDICATIONS CI-DESSUS ET JE N'AI DONC PAS PU POSER LA QUESTION AU PROPRIETAIRE SUR LE MAINTIEN OU NON DE L'ANCIENNE EA. PAR CONTRE, LE TERRAIN N'EST PAS TRES LARGE ET A MOINS QUE L'ANCIENNE MAISON NE SOIT SITUEE DERRIERE LA NOUVELLE CONSTRUCTION, JE NE L'AI PAS VU. JE PEUX Y RETOURNER POUR ESSAYER DE VOIR LE PROPRIETAIRE OU DEMANDER A SON VOISIN.¶MAIRIE 26/03/2019: Travaux non terminés, fenêtres pas encore posées et le toit n'est pas terminé. PC non affiché.¶MAIRIE 07/10/2020: les  travaux semblent abandonnés;0;1;3;;;1;662325.60000;6866764.80000;2154;BDA2;AB0019;0402;;;06;O;;;N;;;;;;;;;;;;
93010;930100000847428;O;9;;9-11;R;DES CINQ ORMES;1520;HABIT;0023;22;3;PC9301018B0070;MAIRIE 02/12/2022: En construction reste 6 moix.¶MAIRIE 30/03/2022: petite maison¶MAIRIE 05/11/2021: murs¶MAIRIE 19/10/2020:  démolition de tous les pavillons existants¶INSEE 27/11/2019: Création EA suite 2eme flux de pc.DEMOLITION DU PAVILLON EXISTANT - CONSTRUCTION D'UN IMMEUBLE DE 22 LOGEMENTS + 22 PARKINGS¶MAIRIE 18/06/2020:  grandes parcelles abandonnées  qui va du 9 au 15 pas de PC affiché ( arraché) pas de travaux commencés destruction des maisons pourconstruire immeuble collectif 22 logements;0;;;;;1;662774.90000;6866882.30000;2154;BDA1;V0021;0405;;;06;O;;;N;;;;;;;;;;;;
93010;930100000010562;O;27;BIS;;R;DES CINQ ORMES;1520;HABIT;0021;1;3;PC9301096B0010;MAIRIE 02/12/2022: Oui les travaux sont abandonnés¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: idem¶MAIRIE 09/03/2021:  travaux abandonnés¶MAIRIE 19/10/2020:  travaux abandonnés¶MAIRIE 30/05/2018: PC pas affiché - RAS depuis des années - Travaux semblent arrêtés.¶MAIRIE 26/03/2019: Travaux arrêtés depuis des années. Rien de plus de visible que l'année dernière.¶MAIRIE 18/06/2020: maison sur deux étages les travaux sont à l'abandon;2011;1;0;;;1;662819.50000;6866969.10000;2154;BDA2;V0121;0405;;;06;O;;;N;;;;;;;;;;;;
93010;930100000001866;O;20;;;R;EMMANUEL FAIRON;3135;HABIT;0021;1;3;;MAIRIE 02/12/2022: Non pas de permis¶MAIRIE 30/03/2022: pas de permis connu¶INSEE 07/02/2022:Suite FN RP 2022 EA actu 3 - Pouvz-vous nous donner le n°de PC - Merci -;1967;1;1;;;1;662833.00000;6867268.60000;2154;BDA1;S0076;0405;;;06;O;93010    S08 009;2022;N;4;;;;;;;;;;;
93010;930100001063706;O;8;;;R;DE L'AVIATION;0090;HABIT;0023;9;3;PC9301020B0044;MAIRIE 02/12/2022: En travaux toiture¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour la construction de 9 logts, pas de numéro de parcelle cadastrale.¶Avant de rendre habitable, merci de vérifier l'adresse exacte attribuée à cette résidence ainsi que la positionnement et la réf cadastrale.¶Périmer les EA qui seront détruites suite à la nouvelle construction.;0;;0;;;1;663032.49599;6866832.57632;2154;MAN;0X0006;0401;;;06;O;;;N;;;;;;;;;;;;
93010;930100000738285;O;142;;;AV;HENRI BARBUSSE;4436;HABIT;0023;47;3;PC9301017B0040;MAIRIE 02/12/2022: Habitable dans 3 mois¶MAIRIE 30/03/2022: 4e étage monté¶MAIRIE 05/11/2021: en construction¶MAIRIE 03/03/2021:  bâtiment détruit¶MAIRIE 19/10/2020:  panneaux site protégé ADN protection ¶BAL pas de nom  pas de sonnette, pas de travaux visibles jardin  sans entretien¶INSEE 02/05/2018: Création Ea suite 4ème flux 2018¶MAIRIE 21/06/2018:  PC affiché - démolition totale de la construction existante et construction de 49 logements collectifs en un bâtiment et un commerce. Cette adresse se trouve à l'angle de l'avenue Barbusse et de la rue Guy de Maupassant. Il y a une entrée dans le jardin sur la rue G de Maupassant mais pas de numéro de rue qui soit indiqué - Pour information, l'habitation qui est juste à côté est le numéro 10. Travaux pas commencés.;0;;;;;1;662850.65859;6866759.94126;2154;MAN;Y0021;0401;;;06;O;;;N;;;;;;;;;;;;
93010;930100000272755;O;24;;24-32;RTE;D'AULNAY;0082;HABIT;0023;181;3;PC9301015B0069;MAIRIE 02/12/2022: Travaux en cours 3 étages¶MAIRIE 03/03/2021: Travaux en cours fondations¶insee le 09/12/16 : Merci de préciser l'adresse complète et la répartition des 181 logements sur les adresses du 24 au 32.¶MAIRIE 18/06/2018:  PC affiché - construction d'un ensemble de 8 bâtiments - Terrain vague, le terrain est  bien délimité mais les travaux ne semblent pas vraiment commencés. Je ne connais pas encore la répartition des logements et le nombre de logements n'est pas affiché.¶MAIRIE 09/04/2019: Travaux non commencés. PC affiché + 2 PC modificatifs : PC9301015B0069MO1 où il est indiqué que le terrain d'assiette du PC provient bien d'une division foncière ainsi que le PC....M02 ou il est indiqué 'régularisation des locaux commerciaux prévus en RC dans 6 des 8 bâtiments de l'ensemble immobilier'.¶MAIRIE 19/06/2020:  plusieurs immeubles sont en construction;0;;;;;1;661910.63400;6867683.83616;2154;MAN;0G0132;0106;;;06;O;;;N;;;;;;;;;;;;
93010;930100000738297;O;2;;;R;DE TREMEUGE;9180;HABIT;0023;27;2;PC9301017B0033;MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: idem¶MAIRIE 03/03/2021:   Les travaux de démolition n'ont pas commencés¶INSEE 02/05/2018: Création EA 4ème flux de pc 2018.merci de preciser que devient EA existante.et de mettre a jour¶MAIRIE 26/03/2019: Je n'ai pas vu de n° 164 sur le terrain mais un n° 2 rue de Trémeuge, il n'y a pas d'entrée sur la rue Henri Barbusse.;0;;;;;1;663010.90000;6866730.50000;2154;BDA1;Y0064;0401;;;06;O;;;N;;;;;;;;;;;;
93010;930100000738297;N;164;;;AV;HENRI BARBUSSE;4436;HABIT;0023;0;2;PC9301017B0033;MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: idem¶MAIRIE 03/03/2021:   Les travaux de démolition n'ont pas commencés¶INSEE 02/05/2018: Création EA 4ème flux de pc 2018.merci de preciser que devient EA existante.et de mettre a jour¶MAIRIE 26/03/2019: Je n'ai pas vu de n° 164 sur le terrain mais un n° 2 rue de Trémeuge, il n'y a pas d'entrée sur la rue Henri Barbusse.;0;;;;;1;663005.10000;6866733.04000;2154;CAD2;Y0064;0401;;;06;O;;;N;;;;;;;;;;;;
